ae_id,speaker,start_time,end_time,sentence,source,targets
ES2002a.D.argumentstructs.Erik.1,D,548.28,565.35,"Well right away I'm wondering if there's um th th uh, like with D_V_D_ players, if there are zones. Um f frequencies or something um as well as uh characters, um different uh keypad styles and s symbols.",NONE,"{ES2002a.B.argumentstructs.Erik.3,ES2002a.B.argumentstructs.Erik.1,ES2002a.A.argumentstructs.Erik.1}"
ES2002a.B.argumentstructs.Erik.3,B,553.78,558.06,"Oh yeah, regions and stuff, yeah. Yeah. Okay.",ES2002a.D.argumentstructs.Erik.1,NONE
ES2002a.A.argumentstructs.8,A,565.05,565.32,Hmm.,NONE,NONE
ES2002a.B.argumentstructs.21,B,565.13,565.93,Yeah.,NONE,NONE
ES2002a.B.argumentstructs.Erik.1,B,565.93,571.01,"Well for a remote control, do you think that will be  I suppose it's depends on how complicated our remote control is.",ES2002a.D.argumentstructs.Erik.1,"{ES2002a.D.argumentstructs.Erik.2,ES2002a.D.argumentstructs.Erik.3}"
ES2002a.D.argumentstructs.26,D,566.17,566.7,Um.,NONE,NONE
ES2002a.D.argumentstructs.Erik.2,D,568.46,568.83,I don't know.,ES2002a.B.argumentstructs.Erik.1,NONE
ES2002a.D.argumentstructs.Erik.3,D,571.22,571.58,Yeah.,ES2002a.B.argumentstructs.Erik.1,NONE
ES2002a.A.argumentstructs.Erik.1,A,571.74,580.21,"It does make sense from maybe the design point of view 'cause you have more complicated characters like European languages, then you need more buttons.",ES2002a.D.argumentstructs.Erik.1,"{ES2002a.B.argumentstructs.Erik.2,ES2002a.D.argumentstructs.Erik.4}"
ES2002a.B.argumentstructs.Erik.2,B,580.42,583.9,"Yeah, yeah. Okay.",ES2002a.A.argumentstructs.Erik.1,NONE
ES2002a.D.argumentstructs.Erik.4,D,580.66,580.94,Yeah.,ES2002a.A.argumentstructs.Erik.1,NONE
ES2002a.D.argumentstructs.Erik.13,D,753.67,773.41,"Yeah, interesting thing about discussing um production of a remote control for me is that l as you point out, I just don't think of remote controls as somethin something people consciously assess in their purchasing habits. It's just like getting shoelaces with shoes or something. It just comes along.",NONE,"{ES2002a.B.argumentstructs.Erik.8,ES2002a.D.argumentstructs.Erik.14,ES2002a.C.argumentstructs.Erik.2}"
ES2002a.B.argumentstructs.Erik.8,B,767.69,768.25,"Yeah, yeah.",ES2002a.D.argumentstructs.Erik.13,NONE
ES2002a.B.argumentstructs.25,B,772.01,776.97,"Oh. Five minutes to end of meeting. Oh, okay. We're a bit behind.",NONE,NONE
ES2002a.D.argumentstructs.Erik.14,D,776.12,793.63,"Do you know what I mean ? Like so sort of like how do you I I mean one one way of looking at it would be, well the people producing television sets, maybe they have to buy remote controls. Or another way is maybe people who have T_V_ sets are really fed up with their remote control and they really want a better one or something.",ES2002a.D.argumentstructs.Erik.13,"{ES2002a.C.argumentstructs.Erik.1,ES2002a.A.argumentstructs.Erik.5}"
ES2002a.C.argumentstructs.Erik.1,C,777.32,777.89,Yeah.,ES2002a.D.argumentstructs.Erik.14,NONE
ES2002a.A.argumentstructs.Erik.5,A,777.7,778.02,Yeah.,ES2002a.D.argumentstructs.Erik.14,NONE
ES2002a.C.argumentstructs.3,C,792.52,793.22,I know um,NONE,NONE
ES2002a.C.argumentstructs.Erik.2,C,794.52,804.33,My parents went out and bought um remote controls because um they got fed up of having four or five different remote controls for each things the house. So um for them it was just how many devices control.,ES2002a.D.argumentstructs.Erik.13,"{ES2002a.D.argumentstructs.Erik.15,ES2002a.D.argumentstructs.Erik.16,ES2002a.B.argumentstructs.Erik.10}"
ES2002a.D.argumentstructs.28,D,794.53,794.97,But,NONE,NONE
