ae_id,speaker,start_time,end_time,sentence,source,targets
ES2004b.B.argumentstructs.30,B,1041.72,1044.86,"we have new project requirements, um",NONE,NONE
ES2004b.B.argumentstructs.Erik.1,B,1051.11,1060.35,"we're not going to be using teletext, um apparently the consumers consider it outdated with the internet now.",NONE,"{ES2004b.A.argumentstructs.Erik.1,ES2004b.B.argumentstructs.Erik.2}"
ES2004b.A.argumentstructs.Erik.1,A,1054.19,1054.57,Okay.,ES2004b.B.argumentstructs.Erik.1,NONE
ES2004b.B.argumentstructs.31,B,1060.35,1061.39,Um,NONE,NONE
ES2004b.B.argumentstructs.Erik.2,B,1062.4,1078.44,"our control is only going to be for T_V_, it's not going to be a combined control, which limits you know all of the different things that   it limits the cost for us, but it also makes it easier to understand for the consumer.",ES2004b.B.argumentstructs.Erik.1,{ES2004b.D.argumentstructs.Erik.1}
ES2004b.A.argumentstructs.15,A,1074.54,1074.9,Mm-hmm.,NONE,NONE
ES2004b.D.argumentstructs.Erik.1,D,1076.84,1080.59,"Mm-hmm, so can we not programme a video with this remote control ?",ES2004b.B.argumentstructs.Erik.2,"{ES2004b.B.argumentstructs.Erik.3,ES2004b.D.argumentstructs.Erik.2,ES2004b.B.argumentstructs.Erik.6}"
ES2004b.B.argumentstructs.Erik.3,B,1080.57,1091.31,"It says for T_V_ only, so  looks like it's just  yeah, I think maybe Sky things like that might be incorporated into it",ES2004b.D.argumentstructs.Erik.1,{ES2004b.B.argumentstructs.Erik.4}
ES2004b.D.argumentstructs.Erik.2,D,1084.48,1085.36,Just channel-hopping.,ES2004b.D.argumentstructs.Erik.1,NONE
ES2004b.B.argumentstructs.32,B,1091.31,1091.8,", but",NONE,NONE
ES2004b.B.argumentstructs.Erik.4,B,1094.192,1102.13,"I don't know, what do you think ? It just said, for T_V_ only. But I mean, general T_V_ controls do do video as well.",ES2004b.B.argumentstructs.Erik.3,{ES2004b.D.argumentstructs.Erik.3}
ES2004b.D.argumentstructs.Erik.3,D,1097.68,1099.31,Would that imply video use ?,ES2004b.B.argumentstructs.Erik.4,"{ES2004b.C.argumentstructs.Erik.1,ES2004b.B.argumentstructs.Erik.5}"
ES2004b.C.argumentstructs.28,C,1099.29,1100.22,T,NONE,NONE
ES2004b.C.argumentstructs.Erik.1,C,1100.22,1100.99,yeah yeah.,ES2004b.D.argumentstructs.Erik.3,NONE
ES2004b.C.argumentstructs.29,C,1103.65,1105.87,I d well I dunno 'cause uh the w if you've g,NONE,NONE
ES2004b.B.argumentstructs.Erik.5,B,1104.44,1108.88,I mean you bu well som you get com you get combined T_V_ and videos don't you ?,ES2004b.D.argumentstructs.Erik.3,"{ES2004b.C.argumentstructs.Erik.2,ES2004b.D.argumentstructs.Erik.4}"
ES2004b.C.argumentstructs.Erik.2,C,1108.34,1122.32,"Yeah. If yeah  and if you got if you got a Sky box, they have one of those plus boxes, you can record straight off the T_V_ anyway so on to on to like the T_V_ hard drive or so.",ES2004b.B.argumentstructs.Erik.5,NONE
ES2004b.D.argumentstructs.Erik.4,D,1108.66,1110.06,"Mm-hmm, yes.",ES2004b.B.argumentstructs.Erik.5,NONE
ES2004b.B.argumentstructs.33,B,1117.94,1118.4,Mm.,NONE,NONE
ES2004b.B.argumentstructs.Erik.6,B,1122.45,1127.0,I think we assume that it's still got play and stop functions and  programming.,ES2004b.D.argumentstructs.Erik.1,"{ES2004b.D.argumentstructs.Erik.5,ES2004b.A.argumentstructs.Erik.2}"
