ae_id,speaker,start_time,end_time,sentence,source,targets
ES2009d.A.argumentstructs.Erik.1,A,534.93,536.629,"No, no I think that's",ES2009d.D.argumentstructs.Erik.1,NONE
ES2009d.D.argumentstructs.Erik.1,D,536.17,545.41,"Do we have um other, for lack of a better word, skins ? Covers ? In play now or are those ones gonna be developed later once we see how the couple we have g go or ?",NONE,"{ES2009d.A.argumentstructs.Erik.1,ES2009d.B.argumentstructs.Erik.1,ES2009d.D.argumentstructs.Erik.2,ES2009d.B.argumentstructs.Erik.3,ES2009d.B.argumentstructs.Erik.4}"
ES2009d.B.argumentstructs.Erik.1,B,545.33,547.98,"Um, do you wanna answer this one or do you want me to answer it ?",ES2009d.D.argumentstructs.Erik.1,NONE
ES2009d.D.argumentstructs.Erik.2,D,546.53,547.85,Do we know where we stand on that yet ?,ES2009d.D.argumentstructs.Erik.1,{ES2009d.C.argumentstructs.Erik.1}
ES2009d.C.argumentstructs.Erik.1,C,548.01,551.4,Well we didn't quite have enough material uh.,ES2009d.D.argumentstructs.Erik.2,{ES2009d.D.argumentstructs.Erik.3}
ES2009d.D.argumentstructs.Erik.3,D,551.29,554.11,Oh I wasn't expecting a prototype I just didn't know  if you guys had any in mind yet.,ES2009d.C.argumentstructs.Erik.1,"{ES2009d.B.argumentstructs.Erik.2,ES2009d.C.argumentstructs.Erik.2}"
ES2009d.B.argumentstructs.Erik.2,B,552.33,553.18,"Yeah, yeah.",ES2009d.D.argumentstructs.Erik.3,NONE
ES2009d.C.argumentstructs.Erik.2,C,552.52,555.2,"Oh I see, right, um.",ES2009d.D.argumentstructs.Erik.3,NONE
ES2009d.B.argumentstructs.Erik.3,B,554.77,567.105,"Um, well  as you can see this is just a most superficial layer and um it'd be very easy to put another layer of something else like",ES2009d.D.argumentstructs.Erik.1,"{ES2009d.D.argumentstructs.Erik.4,ES2009d.D.argumentstructs.Erik.5,ES2009d.C.argumentstructs.Erik.3}"
ES2009d.D.argumentstructs.Erik.4,D,562.8,563.38,Okay.,ES2009d.B.argumentstructs.Erik.3,NONE
ES2009d.D.argumentstructs.Erik.5,D,564.5,567.72,"Just veneer really, yeah. Okay.",ES2009d.B.argumentstructs.Erik.3,NONE
ES2009d.C.argumentstructs.Erik.3,C,566.77,596.18,Right. Actually this bottom red ring here just unclips and then you put a a new a new uh a new plate on top of that. So I mean there are  I  we definitely priced out a spongy  even spongier non-natural look um materials which I think worked out fine. We also continued on with the ideas that f following uh Apple's colour schemes with the kind of the uh light orange and the green.,ES2009d.B.argumentstructs.Erik.3,{ES2009d.D.argumentstructs.Erik.6}
ES2009d.D.argumentstructs.14,D,570.34,572.76,Mm-hmm. And the whole thing,NONE,NONE
ES2009d.D.argumentstructs.Erik.6,D,573.76,574.45,Okay.,ES2009d.C.argumentstructs.Erik.3,NONE
