ae_id,speaker,start_time,end_time,sentence,source,targets
IS1008d.B.argumentstructs.Daan.1,B,266.28,280.112,We haven't um uh specified where the speaker or the microphone will be placed. That depends on the uh s design of the circuit board inside and uh what room is left um,NONE,"{IS1008d.A.argumentstructs.Daan.1,IS1008d.C.argumentstructs.Daan.1,IS1008d.A.argumentstructs.Daan.3}"
IS1008d.C.argumentstructs.18,C,279.99,280.24,Yeah.,NONE,NONE
IS1008d.A.argumentstructs.Daan.1,A,281.35,286.27,"I think the microphone is on on the top, uh on the middle, the  under the flip.",IS1008d.B.argumentstructs.Daan.1,{IS1008d.A.argumentstructs.Daan.2}
IS1008d.B.argumentstructs.20,B,283.97,287.01,"Yes, okay. Uh-huh.",NONE,NONE
IS1008d.A.argumentstructs.Daan.2,A,288.04,295.341,"So that will be the safe, so p any  the chip  it's not on the chip because you need to have microphone  to",IS1008d.A.argumentstructs.Daan.1,{IS1008d.B.argumentstructs.Daan.2}
IS1008d.B.argumentstructs.Daan.2,B,294.87,297.15,"No, I mean it depends on the design of the circuit board.",IS1008d.A.argumentstructs.Daan.2,NONE
IS1008d.C.argumentstructs.Daan.1,C,298.02,305.82,"But it shouldn't be under the flip either, because you can have the remote control closed, but you still might want to activate it by voice.",IS1008d.B.argumentstructs.Daan.1,NONE
IS1008d.A.argumentstructs.24,A,304.11,305.05,Uh it's it's,NONE,NONE
IS1008d.A.argumentstructs.Daan.3,A,305.91,324.85,"Yeah, but uh uh my opinion I think it's better under the flip because whenever you want to uh the talk, okay, so then you can speak then you can close it. But if you put it on the on the flip, okay, then uh technical I don't think it's uh feasible, 'cause most of the time you speak then it will be recognised.",IS1008d.B.argumentstructs.Daan.1,"{IS1008d.C.argumentstructs.Daan.2,IS1008d.C.argumentstructs.Daan.4}"
IS1008d.C.argumentstructs.Daan.2,C,324.72,338.66,"But if you've already got the remote control in your hand you need to open the flip to use the voice, why use the voice, why not just use your hand ? I mean the whole point of the voice is that if the remote control is sitting there and I'm too lazy to reach over and pick it up, I can just use my voice.",IS1008d.A.argumentstructs.Daan.3,{IS1008d.B.argumentstructs.Daan.3}
IS1008d.B.argumentstructs.Daan.3,B,338.28,343.93,Maybe I've got my hand in the popcorn bowl and I'm holding my cup of Coca-Cola in the other hand.,IS1008d.C.argumentstructs.Daan.2,{IS1008d.C.argumentstructs.Daan.3}
IS1008d.C.argumentstructs.Daan.3,C,344.6,348.776,Yeah. And you don't wanna let go of either one.,IS1008d.B.argumentstructs.Daan.3,{IS1008d.D.argumentstructs.Daan.1}
IS1008d.D.argumentstructs.Daan.1,D,345.49,350.14,I don't wanna say. Louder.  Yeah.,IS1008d.C.argumentstructs.Daan.3,NONE
IS1008d.C.argumentstructs.Daan.4,C,350.13,352.93,"I mean it doesn't have to be on the flip, it can be on the side somewhere.",IS1008d.A.argumentstructs.Daan.3,"{IS1008d.A.argumentstructs.Daan.4,IS1008d.D.argumentstructs.Daan.2}"
IS1008d.D.argumentstructs.Daan.2,D,352.21,353.25,Can also be on the side.,IS1008d.C.argumentstructs.Daan.4,NONE
IS1008d.A.argumentstructs.Daan.4,A,352.87,355.35,"Yeah, the sides maybe is good. So That's good idea.",IS1008d.C.argumentstructs.Daan.4,NONE
IS1008d.C.argumentstructs.19,C,353.49,353.9,Yeah.,NONE,NONE
IS1008d.B.argumentstructs.21,B,354.97,355.41,Mm-hmm.,NONE,NONE
IS1008d.D.argumentstructs.Daan.3,D,821.08,839.47,"So, obviously we w w I just did a run down the evaluation of the form, the fan uh the fancy stylishness of the  of the unit, the ease of use, speech recognition, cost, we've gone through these. Now, the company must evaluate the feasibility of being able to take enough of the market to justify in production.",NONE,{IS1008d.D.argumentstructs.Daan.4}
IS1008d.D.argumentstructs.Daan.4,D,840.59,856.22,"Or we project this over two years, but being that the market changes very very quickly, maybe there's no more interest in buying this thing in eighteen months from now. So, now we have to come up with a decision. Can the company sell two million units ? Can it sell it for fifty Euros ?",IS1008d.D.argumentstructs.Daan.3,"{IS1008d.A.argumentstructs.Daan.5,IS1008d.B.argumentstructs.Daan.4}"
IS1008d.A.argumentstructs.25,A,845.45,848.49,Yes. Yep.,NONE,NONE
IS1008d.A.argumentstructs.Daan.5,A,849.42,850.21,Of course.,IS1008d.D.argumentstructs.Daan.4,NONE
IS1008d.C.argumentstructs.20,C,849.59,849.84,Mm.,NONE,NONE
IS1008d.A.argumentstructs.26,A,853.4,891.27,Yep. Yep. Yes. Yes.,NONE,NONE
IS1008d.B.argumentstructs.Daan.4,B,855.18,893.22,"Could could I go to findings ? Uh uh um I would uh like to explore the possibility of using um alternative um delivery and sales channel which would be um to use the internet for promotion and ordering and then to drop-ship the p product to the customer's residence. That way you have no storage, you have no um  you do have transportation, still have the labour cost, but you don't have the transport to the uh point of sale. The point of sale is online.",IS1008d.D.argumentstructs.Daan.4,"{IS1008d.C.argumentstructs.Daan.5,IS1008d.B.argumentstructs.Daan.9}"
IS1008d.C.argumentstructs.Daan.5,C,872.408,874.55,"I was thinking the same thing, yeah.",IS1008d.B.argumentstructs.Daan.4,{IS1008d.C.argumentstructs.Daan.6}
IS1008d.C.argumentstructs.Daan.6,C,878.72,879.41,Directly.,IS1008d.C.argumentstructs.Daan.5,{IS1008d.A.argumentstructs.Daan.6}
IS1008d.C.argumentstructs.21,C,884.57,891.44,Um-hmm. Yeah.,NONE,NONE
IS1008d.A.argumentstructs.Daan.6,A,892.39,893.27,To the agents.,IS1008d.C.argumentstructs.Daan.6,{IS1008d.C.argumentstructs.Daan.7}
IS1008d.C.argumentstructs.Daan.7,C,894.08,901.12,"Yeah. You can do a shipping centre somewhere, or strategically place shipping centres to minimise distance costs.",IS1008d.A.argumentstructs.Daan.6,{IS1008d.B.argumentstructs.Daan.5}
