ae_id,speaker,start_time,end_time,sentence,source,targets
TS3006c.C.argumentstructs.Daan.1,C,609.37,631.36,"Yeah. I think this is about it. Yeah I was working on some per personal preferences. I first uh chose for the battery, 'cause yeah I'm traditional and that's the most obvious, easiest choice to go to. But I really think that we should maybe uh think about the kinetic energy, where you have to move the thing to be able to use it.",NONE,"{TS3006c.B.argumentstructs.Daan.1,TS3006c.B.argumentstructs.Daan.2,TS3006c.C.argumentstructs.Daan.2}"
TS3006c.B.argumentstructs.Daan.1,B,628.18,632.22,Yeah. Yeah. As an optional uh feature.,TS3006c.C.argumentstructs.Daan.1,NONE
TS3006c.A.argumentstructs.30,A,630.14,630.5,Yeah.,NONE,NONE
TS3006c.D.argumentstructs.25,D,630.53,631.08,Yeah.,NONE,NONE
TS3006c.B.argumentstructs.Daan.2,B,633.33,635.93,Or combine uh both with a with one uh,TS3006c.C.argumentstructs.Daan.1,"{TS3006c.D.argumentstructs.Daan.1,TS3006c.A.argumentstructs.Daan.1}"
TS3006c.D.argumentstructs.Daan.1,D,636.33,638.05,I guess we can only choose one.,TS3006c.B.argumentstructs.Daan.2,NONE
TS3006c.A.argumentstructs.Daan.1,A,636.35,640.681,Uh I think you can only fit one uh source of energy on the,TS3006c.B.argumentstructs.Daan.2,NONE
TS3006c.C.argumentstructs.26,C,636.69,637.31,Yeah maybe we,NONE,NONE
TS3006c.C.argumentstructs.Daan.2,C,640.28,651.06,"I can imagine that the kinetic uh type energy source would be more expensive to make. But it is more longlasting, that the people don't have to ever buy batteries again.",TS3006c.C.argumentstructs.Daan.1,{TS3006c.D.argumentstructs.Daan.2}
TS3006c.D.argumentstructs.Daan.2,D,650.88,652.38,Yeah. And it's more fun.,TS3006c.C.argumentstructs.Daan.2,"{TS3006c.C.argumentstructs.Daan.3,TS3006c.D.argumentstructs.Daan.3}"
TS3006c.A.argumentstructs.31,A,651.07,654.46,Yeah I didn't receive any info uh.,NONE,NONE
