ae_id,speaker,start_time,end_time,sentence,source,targets
ES2002b.C.argumentstructs.Erik.1,C,460.53,463.55,えっと、それに欲しい機能はありますか？,NONE,"{ES2002b.C.argumentstructs.Erik.2, ES2002b.B.argumentstructs.Erik.1, ES2002b.B.argumentstructs.Erik.4}"
ES2002b.C.argumentstructs.Erik.2,C,463.55,470.85,つまり、これまでのところ、電源のオン/オフ、チャンネルの切り替え、音量の上げ下げなど、テレビで使用できる基本的な機能はすべて揃っています。,ES2002b.C.argumentstructs.Erik.1,NONE
ES2002b.B.argumentstructs.22,B,465.62,468.87,うんうん。ああ。,NONE,NONE
ES2002b.B.argumentstructs.Erik.1,B,470.95,474.41,そうですね、そしてチャンネルの実際の数もそうですね。,ES2002b.C.argumentstructs.Erik.1,{ES2002b.C.argumentstructs.Erik.3}
ES2002b.C.argumentstructs.Erik.3,C,474.16,483.41,わかりました。えーっと、それは必須のものですか、それともリクエストされたものですか？番号のようなチャンネルは必要ですか、えーっと,ES2002b.B.argumentstructs.Erik.1,"{ES2002b.D.argumentstructs.Erik.1, ES2002b.B.argumentstructs.Erik.2}"
ES2002b.D.argumentstructs.Erik.1,D,477.66,478.27,それはどれでしたか？,ES2002b.C.argumentstructs.Erik.3,{ES2002b.D.argumentstructs.Erik.2}
ES2002b.D.argumentstructs.Erik.2,D,481.12,482.38,数字を上げるか、下げるか？,ES2002b.D.argumentstructs.Erik.1,NONE
ES2002b.B.argumentstructs.Erik.2,B,482.97,490.14,ああ、それは必須だと思います。チャンネルを個別に選択できないのに、今どきリモコンを買う人はいないでしょう。,ES2002b.C.argumentstructs.Erik.3,"{ES2002b.B.argumentstructs.Erik.3, ES2002b.D.argumentstructs.Erik.3}"
ES2002b.D.argumentstructs.Erik.3,D,489.24,489.59,うん。,ES2002b.B.argumentstructs.Erik.2,NONE
ES2002b.B.argumentstructs.23,B,490.14,490.47,、 つまり,NONE,NONE
ES2002b.B.argumentstructs.Erik.3,B,490.47,491.8,これに反対する人はいますか?,ES2002b.B.argumentstructs.Erik.2,NONE
