ae_id,speaker,start_time,end_time,sentence,source,targets
ES2006a.C.argumentstructs.9,C,1007.83,1012.84,これで最後です。あと数分しかありません。,NONE,NONE
ES2006a.C.argumentstructs.Erik.1,C,1012.84,1021.29,このリモコンについて私たちが考えていることについて、何か最初のアイデアを持っている人はいますか?,NONE,"{ES2006a.D.argumentstructs.Erik.1, ES2006a.A.argumentstructs.Erik.1}"
ES2006a.D.argumentstructs.Erik.1,D,1020.27,1032.2,はい。既存のリモコンとは違って、このリモコンに何か特別な機能が欲しいと思うことがあるかどうか知りたいだけです。,ES2006a.C.argumentstructs.Erik.1,{ES2006a.C.argumentstructs.Erik.2}
ES2006a.C.argumentstructs.10,C,1032.45,1033.3,うんうん。,NONE,NONE
ES2006a.C.argumentstructs.Erik.2,C,1040.05,1057.03,それはおそらく持ち帰るのが最善だと思いますが、会議から帰るときに、このリモコンに通常とは異なる具体的なものは何が含まれている可能性があるか、私たち全員で考えてみましょう。,ES2006a.D.argumentstructs.Erik.1,NONE
ES2006a.A.argumentstructs.7,A,1044.88,1045.34,うんうん。,NONE,NONE
ES2006a.A.argumentstructs.Erik.1,A,1055.43,1072.89,最初に言及されたことの 1 つは、トレンディで、ユーザー フレンドリーで、独創的であるべきだということでした。ですから、独創性に関する限り、これに特有の機能をいくつか提供する必要があるというあなたの意見は的を射ていると思います。,ES2006a.C.argumentstructs.Erik.1,"{ES2006a.C.argumentstructs.Erik.3, ES2006a.B.argumentstructs.Erik.1}"
ES2006a.C.argumentstructs.Erik.3,C,1072.22,1073.64,何か新しいもの。,ES2006a.A.argumentstructs.Erik.1,NONE
ES2006a.B.argumentstructs.Erik.1,B,1073.8,1103.75,ええ、私はウェブサイトや彼らが作った他のものを見ていて、写真を見て得たインスピレーションの言葉をいくつか書き留めました。つまり、モットーは、ええと、私たちは電子機器にファッションを取り入れることです。ええと、それは洗練されていてスタイリッシュでありながら機能的なものなのです。つまり、彼らが持っている新世代の携帯電話のようなもので、実際にはボタンなどはありません。,ES2006a.A.argumentstructs.Erik.1,"{ES2006a.A.argumentstructs.Erik.2, ES2006a.B.argumentstructs.Erik.2, ES2006a.C.argumentstructs.Erik.4}"
ES2006a.A.argumentstructs.8,A,1074.46,1074.75,うーん。,NONE,NONE
ES2006a.C.argumentstructs.11,C,1084.03,1113.79,うん。うん。うん。うん。,NONE,NONE
ES2006a.A.argumentstructs.Erik.2,A,1104.28,1104.69,大丈夫。,ES2006a.B.argumentstructs.Erik.1,NONE
ES2006a.B.argumentstructs.Erik.2,B,1104.76,1113.04,そういう方向に向かっているものなので、過度にではなく、つまり、リモコンのボタンのほとんどが何をするのか分からないので、いくつ必要なのかを推測するのです。,ES2006a.B.argumentstructs.Erik.1,NONE
ES2006a.A.argumentstructs.9,A,1115.29,1116.25,うーん。,NONE,NONE
ES2006a.B.argumentstructs.8,B,1115.31,1115.75,わかった。,NONE,NONE
ES2006a.C.argumentstructs.Erik.4,C,1115.45,1117.43,おそらくメニューベースのものでしょう,ES2006a.B.argumentstructs.Erik.1,"{ES2006a.B.argumentstructs.Erik.3, ES2006a.C.argumentstructs.Erik.7}"
ES2006a.B.argumentstructs.Erik.3,B,1119.58,1134.42,これより少し混雑が少ないもの、つまり、ご存知のとおり、理論的にはテレビでいろいろなことができるはずですよね？でも、ほとんどの人は何をするのでしょうか？テレビをオンにして、特定のチャンネルを視聴し、その後またオフにします。映画を再生することもあります。,ES2006a.C.argumentstructs.Erik.4,"{ES2006a.C.argumentstructs.Erik.5, ES2006a.A.argumentstructs.Erik.3, ES2006a.A.argumentstructs.Erik.4}"
ES2006a.C.argumentstructs.12,C,1121.71,1122.06,うんうん。,NONE,NONE
ES2006a.C.argumentstructs.Erik.5,C,1126.29,1126.54,うん。,ES2006a.B.argumentstructs.Erik.3,NONE
ES2006a.A.argumentstructs.Erik.3,A,1128.64,1128.99,うん。,ES2006a.B.argumentstructs.Erik.3,NONE
ES2006a.C.argumentstructs.13,C,1130.44,1130.86,うん。,NONE,NONE
ES2006a.A.argumentstructs.Erik.4,A,1132.94,1139.72,そこには、90 パーセントは使用されないが、10 パーセントは使用される機能がたくさんあります。,ES2006a.B.argumentstructs.Erik.3,"{ES2006a.B.argumentstructs.Erik.4, ES2006a.C.argumentstructs.Erik.6, ES2006a.B.argumentstructs.Erik.5}"
ES2006a.B.argumentstructs.Erik.4,B,1137.15,1137.97,そうだね,ES2006a.A.argumentstructs.Erik.4,NONE
ES2006a.C.argumentstructs.Erik.6,C,1137.27,1137.57,うん。,ES2006a.A.argumentstructs.Erik.4,NONE
ES2006a.B.argumentstructs.Erik.5,B,1139.08,1141.35,そのためにボタンを設置する必要はありません,ES2006a.A.argumentstructs.Erik.4,NONE
ES2006a.C.argumentstructs.Erik.7,C,1139.43,1146.37,つまり、いいえ。本当に必要な場合は、メニューなどのボタンを 1 つにすることができます。,ES2006a.C.argumentstructs.Erik.4,"{ES2006a.A.argumentstructs.Erik.5, ES2006a.B.argumentstructs.Erik.6, ES2006a.A.argumentstructs.Erik.6, ES2006a.B.argumentstructs.Erik.7}"
ES2006a.B.argumentstructs.9,B,1141.35,1142.3,多分する,NONE,NONE
ES2006a.A.argumentstructs.Erik.5,A,1141.87,1142.09,はい。,ES2006a.C.argumentstructs.Erik.7,NONE
ES2006a.B.argumentstructs.Erik.6,B,1144.63,1145.07,うん。,ES2006a.C.argumentstructs.Erik.7,NONE
ES2006a.D.argumentstructs.2,D,1144.87,1145.31,うんうん。,NONE,NONE
ES2006a.A.argumentstructs.Erik.6,A,1145.15,1146.359,そして、,ES2006a.C.argumentstructs.Erik.7,NONE
ES2006a.B.argumentstructs.Erik.7,B,1145.93,1157.06,したがって、リモコンの使い方を知っているような悲しい人であれば、それが問題なく、他の人がボタンを使って操作するのではなく、画面上で操作できることがわかっています。ボタンがあると、他の人は混乱するだけです。,ES2006a.C.argumentstructs.Erik.7,{ES2006a.C.argumentstructs.Erik.8}
ES2006a.A.argumentstructs.10,A,1150.51,1150.87,うーん。,NONE,NONE
ES2006a.C.argumentstructs.14,C,1155.9,1156.32,うんうん。,NONE,NONE
ES2006a.B.argumentstructs.10,B,1157.06,1157.26,ふーむ。,NONE,NONE
ES2006a.C.argumentstructs.Erik.8,C,1157.8,1158.41,素晴らしい。,ES2006a.B.argumentstructs.Erik.7,NONE
