ae_id,speaker,start_time,end_time,sentence,source,targets
ES2008d.A.argumentstructs.17,A,618.32,619.51,うんうん。,NONE,NONE
ES2008d.A.argumentstructs.Erik.1,A,619.51,621.82,メニューの使い方とかが心配です。,NONE,{ES2008d.A.argumentstructs.Erik.2}
ES2008d.A.argumentstructs.Erik.2,A,622.99,630.69,えっと、メニューの中にサブメニューがあるのですが、メインメニューに戻るにはどうすればいいですか?,ES2008d.A.argumentstructs.Erik.1,"{ES2008d.C.argumentstructs.Erik.1, ES2008d.B.argumentstructs.Erik.1, ES2008d.C.argumentstructs.Erik.3}"
ES2008d.B.argumentstructs.14,B,628.36,628.62,ふーむ。,NONE,NONE
ES2008d.C.argumentstructs.Erik.1,C,628.96,629.1,うん。,ES2008d.A.argumentstructs.Erik.2,NONE
ES2008d.B.argumentstructs.Erik.1,B,631.08,636.81,たとえば、iPod では、戻りたいときにはメニュー ボタンをもう一度押すだけで、1 レベル戻ります。,ES2008d.A.argumentstructs.Erik.2,{ES2008d.A.argumentstructs.Erik.3}
ES2008d.A.argumentstructs.Erik.3,A,637.17,642.28,しかし、あれには選択ボタンとは別にメニュー ボタンがありますが、これはメニューと選択ボタンの両方なのでしょうか?,ES2008d.B.argumentstructs.Erik.1,"{ES2008d.C.argumentstructs.Erik.2, ES2008d.B.argumentstructs.Erik.2}"
ES2008d.C.argumentstructs.Erik.2,C,640.48,640.65,うん。,ES2008d.A.argumentstructs.Erik.3,NONE
ES2008d.B.argumentstructs.Erik.2,B,641.16,641.85,いい指摘ですね。,ES2008d.A.argumentstructs.Erik.3,NONE
ES2008d.C.argumentstructs.Erik.3,C,642.9,654.75,これは、上ボタンと下ボタンで、選択肢のリストを上下にスクロールするために使用されます。必要な選択肢を見つけたら、右のボタンを押します。,ES2008d.A.argumentstructs.Erik.2,"{ES2008d.A.argumentstructs.Erik.4, ES2008d.A.argumentstructs.Erik.5}"
ES2008d.A.argumentstructs.Erik.4,A,648.53,648.88,わかった。,ES2008d.C.argumentstructs.Erik.3,NONE
ES2008d.A.argumentstructs.Erik.5,A,656.97,660.066,これらはサブメニューに移動したり、,ES2008d.C.argumentstructs.Erik.3,"{ES2008d.C.argumentstructs.Erik.4, ES2008d.B.argumentstructs.Erik.3}"
ES2008d.C.argumentstructs.11,C,657.72,657.9,うん。,NONE,NONE
ES2008d.C.argumentstructs.Erik.4,C,658.95,661.96,はい、サブメニューに出入りするために使用されます。,ES2008d.A.argumentstructs.Erik.5,NONE
ES2008d.B.argumentstructs.15,B,661.56,664.3,ええ、多分それはそれの1つかもしれません、押し続けると,NONE,NONE
ES2008d.A.argumentstructs.Erik.6,A,662.27,662.67,わかった。,ES2008d.B.argumentstructs.Erik.3,NONE
ES2008d.B.argumentstructs.Erik.3,B,665.81,668.51,2 秒間、その後 1 レベルほど戻ります。,ES2008d.A.argumentstructs.Erik.5,{ES2008d.A.argumentstructs.Erik.6}
ES2008d.A.argumentstructs.18,A,668.49,669.01,うんうん。,NONE,NONE
ES2008d.D.argumentstructs.18,D,813.0,814.79,ええ、彼女はそう言っていました。,NONE,NONE
ES2008d.D.argumentstructs.Erik.1,D,814.79,816.81,えっと、技術的に革新的なんですか？,NONE,"{ES2008d.D.argumentstructs.Erik.2, ES2008d.D.argumentstructs.Erik.5, ES2008d.B.argumentstructs.Erik.6, ES2008d.C.argumentstructs.Erik.5}"
ES2008d.D.argumentstructs.19,D,818.5,818.53,うーん。,NONE,NONE
ES2008d.D.argumentstructs.Erik.2,D,820.2,830.636,いや、そうでもないよ。だって、液晶画面もなければ、高性能なチップもないんだから。見た目以外は、本当に,ES2008d.D.argumentstructs.Erik.1,{ES2008d.A.argumentstructs.Erik.7}
ES2008d.A.argumentstructs.Erik.7,A,829.84,830.88,そうですね、運動電池ですね。,ES2008d.D.argumentstructs.Erik.2,"{ES2008d.B.argumentstructs.Erik.4, ES2008d.D.argumentstructs.Erik.3}"
ES2008d.B.argumentstructs.Erik.4,B,830.85,832.13,バッテリーの中にあります。,ES2008d.A.argumentstructs.Erik.7,NONE
ES2008d.D.argumentstructs.Erik.3,D,831.67,833.7,キネティックバッテリーは大きいものなので。,ES2008d.A.argumentstructs.Erik.7,{ES2008d.B.argumentstructs.Erik.5}
ES2008d.B.argumentstructs.Erik.5,B,834.71,836.19,しかし、それに気づく人は何人いるでしょうか?,ES2008d.D.argumentstructs.Erik.3,"{ES2008d.D.argumentstructs.Erik.4, ES2008d.A.argumentstructs.Erik.8}"
ES2008d.D.argumentstructs.20,D,835.01,835.04,うーん。,NONE,NONE
ES2008d.D.argumentstructs.Erik.4,D,836.87,838.73,しかし、私たちはそれがそこにあることを知っています。,ES2008d.B.argumentstructs.Erik.5,NONE
ES2008d.A.argumentstructs.Erik.8,A,837.38,841.11,しかし、1年くらい経つと、彼らはそれに気づき、バッテリーを一度も交換していないことに気づくでしょう。,ES2008d.B.argumentstructs.Erik.5,NONE
ES2008d.D.argumentstructs.Erik.5,D,840.56,844.65,そして、それがラテックスで作られていたら、そのアイデア全体はかなりクールです。私はそれに 3 点を付けます。,ES2008d.D.argumentstructs.Erik.1,{ES2008d.A.argumentstructs.Erik.9}
ES2008d.A.argumentstructs.19,A,842.42,842.84,うーん。,NONE,NONE
ES2008d.A.argumentstructs.Erik.9,A,844.0,844.73,素材だけ。,ES2008d.D.argumentstructs.Erik.5,{ES2008d.D.argumentstructs.Erik.6}
ES2008d.D.argumentstructs.Erik.6,D,845.81,848.432,なぜなら、本当に素晴らしい機能をたくさん選ぶことができたからです,ES2008d.A.argumentstructs.Erik.9,NONE
ES2008d.B.argumentstructs.Erik.6,B,848.71,852.992,そうですね。,ES2008d.D.argumentstructs.Erik.1,{ES2008d.B.argumentstructs.Erik.7}
ES2008d.B.argumentstructs.16,B,854.56,857.82,ええ、派手さと創造性の対立ですね,NONE,NONE
ES2008d.B.argumentstructs.Erik.7,B,858.68,862.88,違う。でもそれは革新的ということでしょうか？ 分かりません。私は 3 点を付けます。,ES2008d.B.argumentstructs.Erik.6,"{ES2008d.D.argumentstructs.Erik.7, ES2008d.D.argumentstructs.Erik.8}"
ES2008d.D.argumentstructs.Erik.7,D,863.58,863.86,大丈夫。,ES2008d.B.argumentstructs.Erik.7,NONE
ES2008d.D.argumentstructs.Erik.8,D,865.27,865.57,他の人は？,ES2008d.B.argumentstructs.Erik.7,NONE
ES2008d.C.argumentstructs.Erik.5,C,866.27,875.45,技術的にはユニークではないと思います。つまり、単なるボタン操作なので、4 点を付けます。,ES2008d.D.argumentstructs.Erik.1,"{ES2008d.A.argumentstructs.Erik.10, ES2008d.D.argumentstructs.Erik.9, ES2008d.A.argumentstructs.Erik.11}"
ES2008d.A.argumentstructs.Erik.10,A,877.71,878.94,私も4つにしようと思います。,ES2008d.C.argumentstructs.Erik.5,NONE
ES2008d.D.argumentstructs.Erik.9,D,879.42,879.88,ああ、そうだ。,ES2008d.C.argumentstructs.Erik.5,NONE
ES2008d.A.argumentstructs.Erik.11,A,880.48,881.91,私はそのキネティックバッテリーが本当に好きです。,ES2008d.C.argumentstructs.Erik.5,NONE
ES2008d.D.argumentstructs.Erik.10,D,926.83,934.51,さて、次は、果物や野菜の概念が統合されているかどうかです。,NONE,"{ES2008d.D.argumentstructs.Erik.11, ES2008d.B.argumentstructs.Erik.12, ES2008d.D.argumentstructs.Erik.17}"
ES2008d.C.argumentstructs.12,C,933.39,933.39,。,NONE,NONE
ES2008d.D.argumentstructs.Erik.11,D,934.51,936.37,さて、黄色になるのでしょうか？,ES2008d.D.argumentstructs.Erik.10,{ES2008d.B.argumentstructs.Erik.8}
ES2008d.B.argumentstructs.Erik.8,B,937.56,939.74,それはそうかもしれません、なぜならそれが私たちの企業カラーだからです。,ES2008d.D.argumentstructs.Erik.11,{ES2008d.A.argumentstructs.Erik.12}
ES2008d.A.argumentstructs.Erik.12,A,940.28,958.86,そうです、コーポレートカラーは、ええと、それを維持しませんでした。そうすると、少しは混乱が少なくなるか、少しは混乱しなくなることはわかっていますが、すべてのボタンを黒にして、内側と外側のデザインを黄色にすれば、それがコーポレートカラーになります。また、より保守的な色や、よりフルーティーな色など、代替の色を使用することもできます。,ES2008d.B.argumentstructs.Erik.8,"{ES2008d.C.argumentstructs.Erik.6, ES2008d.B.argumentstructs.Erik.9, ES2008d.D.argumentstructs.Erik.12, ES2008d.A.argumentstructs.Erik.13}"
ES2008d.C.argumentstructs.Erik.6,C,941.46,941.61,うん。,ES2008d.A.argumentstructs.Erik.12,NONE
ES2008d.B.argumentstructs.Erik.9,B,943.22,944.37,黄色のままにしておくといいかもしれません。,ES2008d.A.argumentstructs.Erik.12,NONE
