ae_id,speaker,start_time,end_time,sentence,source,targets
ES2014c.A.argumentstructs.31,A,843.29,847.61,はい、わかりました,NONE,NONE
ES2014c.D.argumentstructs.Rutger.1,D,847.11,847.39,うん,ES2014c.A.argumentstructs.Rutger.1,NONE
ES2014c.D.argumentstructs.34,D,847.39,857.08,。 ただ,NONE,NONE
ES2014c.A.argumentstructs.Rutger.1,A,847.61,854.16,音声認識は音声認識にしますか？いいえ？それは高度な,NONE,"{ES2014c.D.argumentstructs.Rutger.1, ES2014c.C.argumentstructs.Rutger.2, ES2014c.B.argumentstructs.Rutger.2, ES2014c.A.argumentstructs.Rutger.3}"
ES2014c.C.argumentstructs.Rutger.2,C,854.32,856.69,えっと、それを見つけると役に立つと思います,ES2014c.A.argumentstructs.Rutger.1,"{ES2014c.C.argumentstructs.Rutger.3, ES2014c.B.argumentstructs.Rutger.1}"
ES2014c.C.argumentstructs.Rutger.3,C,856.69,859.264,でも、それは,ES2014c.C.argumentstructs.Rutger.2,NONE
ES2014c.B.argumentstructs.Rutger.1,B,858.21,858.58,ああそうだ,ES2014c.C.argumentstructs.Rutger.2,NONE
ES2014c.B.argumentstructs.Rutger.2,B,858.58,861.644,回路基板には影響がないと判断したと思いますが、,ES2014c.A.argumentstructs.Rutger.1,"{ES2014c.C.argumentstructs.Rutger.4, ES2014c.D.argumentstructs.Rutger.2, ES2014c.A.argumentstructs.Rutger.2, ES2014c.B.argumentstructs.Rutger.5}"
ES2014c.C.argumentstructs.Rutger.4,C,861.73,862.65,そうですね、そう思います。,ES2014c.B.argumentstructs.Rutger.2,NONE
ES2014c.D.argumentstructs.Rutger.2,D,861.86,864.95,ただ電話して探すためだけに。,ES2014c.B.argumentstructs.Rutger.2,{ES2014c.B.argumentstructs.Rutger.3}
ES2014c.B.argumentstructs.Rutger.3,B,862.41,863.053,それはただ,ES2014c.D.argumentstructs.Rutger.2,NONE
ES2014c.A.argumentstructs.Rutger.2,A,863.8,867.76,音声認識には高度な要件が必要でした,ES2014c.B.argumentstructs.Rutger.2,NONE
ES2014c.B.argumentstructs.Rutger.5,B,867.1,868.57,ああ、そうか、そう思ったんだ,ES2014c.B.argumentstructs.Rutger.2,"{ES2014c.B.argumentstructs.Rutger.6, ES2014c.B.argumentstructs.Rutger.7}"
ES2014c.B.argumentstructs.Rutger.6,B,868.57,869.74,、でももしかしたらそうではないかもしれません。,ES2014c.B.argumentstructs.Rutger.5,NONE
ES2014c.B.argumentstructs.Rutger.7,B,870.44,871.64,うーん、それは間違っていたかもしれないと思う。,ES2014c.B.argumentstructs.Rutger.5,NONE
ES2014c.A.argumentstructs.Rutger.3,A,870.55,884.56,ああ、わかりました。音声認識は簡単だと思います。それで、あまりコストがかからないので、追加機能として追加したいです。,ES2014c.A.argumentstructs.Rutger.1,"{ES2014c.D.argumentstructs.Rutger.3, ES2014c.A.argumentstructs.Rutger.4, ES2014c.B.argumentstructs.Rutger.11}"
ES2014c.D.argumentstructs.Rutger.3,D,871.84,874.373,それは別物だから、それは一部ではない,ES2014c.A.argumentstructs.Rutger.3,{ES2014c.B.argumentstructs.Rutger.8}
ES2014c.B.argumentstructs.Rutger.8,B,876.72,879.23,それは単なる追加事項です、ええ。,ES2014c.D.argumentstructs.Rutger.3,NONE
ES2014c.B.argumentstructs.38,B,883.94,889.49,「わかった。それでは、あなたに引き継いでもいいですか？」,NONE,NONE
ES2014c.D.argumentstructs.35,D,884.37,908.43,うん。そうだね。,NONE,NONE
ES2014c.A.argumentstructs.Rutger.4,A,892.3,894.76,実際のところ、それ以上費用はかからないのではないでしょうか？,ES2014c.A.argumentstructs.Rutger.3,"{ES2014c.C.argumentstructs.Rutger.5, ES2014c.B.argumentstructs.Rutger.10}"
ES2014c.C.argumentstructs.30,C,894.63,907.01,何が書いてあるか確認します。実際、コストについては何も書かれていないと思いますが、コーヒーマシンにはすでに入っていると書いてあるので,NONE,NONE
ES2014c.C.argumentstructs.Rutger.5,C,908.26,909.692,すでに,ES2014c.A.argumentstructs.Rutger.4,NONE
ES2014c.B.argumentstructs.Rutger.10,B,909.28,910.7,追加料金がかかると思います,ES2014c.A.argumentstructs.Rutger.4,NONE
ES2014c.B.argumentstructs.39,B,910.7,910.94,、 しかし,NONE,NONE
ES2014c.B.argumentstructs.Rutger.11,B,912.0,915.94,たぶん、それがいくらかかるかがわかって、後で決めることになるだろう,ES2014c.A.argumentstructs.Rutger.3,"{ES2014c.A.argumentstructs.Rutger.5, ES2014c.A.argumentstructs.Rutger.6}"
ES2014c.A.argumentstructs.Rutger.5,A,914.336,919.79,そして最後の最後ですべてを変えなければならなくなります。,ES2014c.B.argumentstructs.Rutger.11,NONE
ES2014c.B.argumentstructs.40,B,915.94,915.94,。,NONE,NONE
ES2014c.A.argumentstructs.Rutger.6,A,921.73,922.63,わかった。,ES2014c.B.argumentstructs.Rutger.11,NONE
ES2014c.A.argumentstructs.32,A,922.63,923.96,S,NONE,NONE
ES2014c.D.argumentstructs.36,D,1438.42,1488.92,何よりもまず、リモコンの凝ったデザインを強調する必要があります。また、手をたたいて物を探すような技術革新も取り入れる必要があります。そして、使いやすさも第 3 の優先事項として必要です。そのため、これまで議論してきたように、ボタンや機能の数を減らす必要があるかもしれません。そして、人々の想像力をかきたてるようなトレンドを取り入れる方法を見つける必要があるかもしれません。たとえば、ボタンを果物や野菜の形にしたり、ボタンをスポンジ状にしたりすることができます。硬いプラスチックではなく、ゴムで作ることもできます。さらに、それよりも奇抜なことに、果物や野菜の形、たとえばバナナなどの形をしたリモコンもあります。,NONE,NONE
