ae_id,speaker,start_time,end_time,sentence,source,targets
IS1001a.A.argumentstructs.Rutger.1,A,604.68,619.99,落下時に起こり得る様々な衝撃に耐えられるように。防水性もあります。他の製品では使用できないのに対し、お風呂で使用できるのが独創的かもしれません。,NONE,"{IS1001a.B.argumentstructs.Rutger.1, IS1001a.C.argumentstructs.Rutger.1, IS1001a.A.argumentstructs.Rutger.2}"
IS1001a.C.argumentstructs.5,C,607.55,607.91,うんうん。,NONE,NONE
IS1001a.B.argumentstructs.Rutger.1,B,608.82,610.543,防水。,IS1001a.A.argumentstructs.Rutger.1,NONE
IS1001a.C.argumentstructs.Rutger.1,C,612.016,614.76,そして、デバイスが必要だと思う,IS1001a.A.argumentstructs.Rutger.1,NONE
IS1001a.A.argumentstructs.Rutger.2,A,621.33,623.65,防水性は非常に独創的かもしれません。,IS1001a.A.argumentstructs.Rutger.1,"{IS1001a.C.argumentstructs.Rutger.2, IS1001a.A.argumentstructs.Rutger.3, IS1001a.B.argumentstructs.Rutger.2, IS1001a.A.argumentstructs.Rutger.5}"
IS1001a.C.argumentstructs.Rutger.2,C,623.88,625.216,ごめん。,IS1001a.A.argumentstructs.Rutger.2,NONE
IS1001a.A.argumentstructs.Rutger.3,A,624.84,629.94,防水リモコンが付いているので、お風呂でも使えます。,IS1001a.A.argumentstructs.Rutger.2,NONE
IS1001a.B.argumentstructs.5,B,630.25,630.63,うーん。,NONE,NONE
IS1001a.A.argumentstructs.9,A,631.29,632.11,それは、うーん,NONE,NONE
IS1001a.B.argumentstructs.Rutger.2,B,631.52,655.47,B そうですね、でも防水リモコンがない場合は、プラスチックで覆って、なんとかできるということです。そして、それがショックの1つです。リモコンを持っていて、壊れるのではないかと心配して、余分なプラスチックを巻き付ける人もいます。そういう人は実際に自分でやります。,IS1001a.A.argumentstructs.Rutger.2,{IS1001a.A.argumentstructs.Rutger.4}
IS1001a.A.argumentstructs.Rutger.4,A,638.36,646.246,ええ、でも、それはまだ買わなければならないもので、それはあまり,IS1001a.B.argumentstructs.Rutger.2,NONE
IS1001a.A.argumentstructs.Rutger.5,A,652.4,663.7,そうですね、そうかもしれません。B でも、このプラスチックのものと防水加工のものを組み合わせて、かさばらせることもできるかもしれません。,IS1001a.A.argumentstructs.Rutger.2,"{IS1001a.C.argumentstructs.Rutger.3, IS1001a.B.argumentstructs.Rutger.3, IS1001a.A.argumentstructs.Rutger.7}"
IS1001a.C.argumentstructs.Rutger.3,C,659.92,662.97,はい、直接です。,IS1001a.A.argumentstructs.Rutger.5,NONE
IS1001a.B.argumentstructs.Rutger.3,B,662.68,664.33,その場合はかさばって見えると思います。,IS1001a.A.argumentstructs.Rutger.5,NONE
IS1001a.A.argumentstructs.Rutger.7,A,664.87,670.62,うん。全部まとめて売ってもいいかもしれないね。プラスチックの保護とか,IS1001a.A.argumentstructs.Rutger.5,"{IS1001a.C.argumentstructs.Rutger.4, IS1001a.A.argumentstructs.Rutger.8}"
IS1001a.C.argumentstructs.Rutger.4,C,665.65,665.82,うん。,IS1001a.A.argumentstructs.Rutger.7,NONE
IS1001a.A.argumentstructs.Rutger.8,A,672.28,680.19,それと防水ボックスも。これは良い方法かもしれません。,IS1001a.A.argumentstructs.Rutger.7,NONE
IS1001a.B.argumentstructs.Rutger.4,B,680.6,681.57,オプションのようなものとして。,NONE,NONE
