ae_id,speaker,start_time,end_time,sentence,source,targets
TS3006c.C.argumentstructs.Daan.1,C,609.37,631.36,そうですね。これくらいだと思います。個人的な好みで作業していました。最初はバッテリーを選びました。私は伝統的な人間なので、それが最も明白で簡単な選択です。でも、運動エネルギーについて考える必要があると思います。運動エネルギーを使うには、物を動かす必要があります。,NONE,"{TS3006c.B.argumentstructs.Daan.1, TS3006c.B.argumentstructs.Daan.2, TS3006c.C.argumentstructs.Daan.2}"
TS3006c.B.argumentstructs.Daan.1,B,628.18,632.22,はい、はい。オプション機能として。,TS3006c.C.argumentstructs.Daan.1,NONE
TS3006c.A.argumentstructs.30,A,630.14,630.5,うん。,NONE,NONE
TS3006c.D.argumentstructs.25,D,630.53,631.08,うん。,NONE,NONE
TS3006c.B.argumentstructs.Daan.2,B,633.33,635.93,または両方を1つに組み合わせて,TS3006c.C.argumentstructs.Daan.1,"{TS3006c.D.argumentstructs.Daan.1, TS3006c.A.argumentstructs.Daan.1}"
TS3006c.D.argumentstructs.Daan.1,D,636.33,638.05,おそらく1つしか選べないのでしょう。,TS3006c.B.argumentstructs.Daan.2,NONE
TS3006c.A.argumentstructs.Daan.1,A,636.35,640.681,ええと、エネルギー源は1つしか置けないと思います,TS3006c.B.argumentstructs.Daan.2,NONE
TS3006c.C.argumentstructs.26,C,636.69,637.31,ええ、多分私たちは,NONE,NONE
TS3006c.C.argumentstructs.Daan.2,C,640.28,651.06,運動エネルギー型のエネルギー源は製造コストが高くなることは想像できます。しかし、より長持ちするので、人々は二度と電池を買う必要がありません。,TS3006c.C.argumentstructs.Daan.1,{TS3006c.D.argumentstructs.Daan.2}
TS3006c.D.argumentstructs.Daan.2,D,650.88,652.38,そうです。そして、もっと楽しいです。,TS3006c.C.argumentstructs.Daan.2,"{TS3006c.C.argumentstructs.Daan.3, TS3006c.D.argumentstructs.Daan.3}"
TS3006c.A.argumentstructs.31,A,651.07,654.46,ええ、何の情報も受け取っていません。,NONE,NONE
TS3006c.C.argumentstructs.Daan.3,C,652.64,657.136,そして、もっと楽しいです。私はいつもリモコンを投げ回しているので,TS3006c.D.argumentstructs.Daan.2,NONE
TS3006c.D.argumentstructs.Daan.3,D,655.82,665.76,ええ、ただ遊んでるだけです。特に素材がゴムの場合は。それは可能です、つまり、傷つけることはできないので、完璧な組み合わせだと思います。,TS3006c.D.argumentstructs.Daan.2,"{TS3006c.A.argumentstructs.Daan.2, TS3006c.C.argumentstructs.Daan.4}"
TS3006c.A.argumentstructs.Daan.2,A,657.59,663.23,はい。安全ですよ。,TS3006c.D.argumentstructs.Daan.3,NONE
TS3006c.C.argumentstructs.Daan.4,C,663.28,672.48,そうです、まさにその通りです。床に跳ね返って壊してしまうことを恐れる必要はありません。それで終わりです。,TS3006c.D.argumentstructs.Daan.3,NONE
TS3006c.D.argumentstructs.26,D,668.95,669.44,うん。,NONE,NONE
TS3006c.B.argumentstructs.17,B,669.85,673.51,はい。そうですね。,NONE,NONE
TS3006c.A.argumentstructs.Daan.5,A,1177.59,1185.03,ええと、二重曲線の代わりに、一重曲線を採用します。そうすることで、一般の人々全員にもう少しアピールできるのです。,NONE,"{TS3006c.C.argumentstructs.Daan.5, TS3006c.C.argumentstructs.Daan.5}"
TS3006c.D.argumentstructs.27,D,1182.74,1183.15,だから,NONE,NONE
TS3006c.C.argumentstructs.Daan.5,C,1183.36,1186.26,これは、ええと、単一の曲線になりますか？,TS3006c.A.argumentstructs.Daan.5,{TS3006c.D.argumentstructs.Daan.4}
TS3006c.A.argumentstructs.32,A,1186.28,1192.46,うん。そうだね。あと。,NONE,NONE
TS3006c.D.argumentstructs.Daan.4,D,1186.45,1195.99,ええ、この次元には 1 つしかありません。このように。曲線かどうかはわかりません。ええ、では単一の曲線のままにしておきますね。,TS3006c.C.argumentstructs.Daan.5,"{TS3006c.C.argumentstructs.Daan.6, TS3006c.A.argumentstructs.Daan.6}"
TS3006c.C.argumentstructs.27,C,1189.75,1190.12,うん。,NONE,NONE
TS3006c.C.argumentstructs.Daan.6,C,1191.9,1194.11,ええ、その通りです。その通りです。,TS3006c.D.argumentstructs.Daan.4,NONE
TS3006c.A.argumentstructs.Daan.6,A,1195.94,1198.26,はい、それは選択肢の一つです。あなたがどう思うかは分かりません。,TS3006c.D.argumentstructs.Daan.4,{TS3006c.C.argumentstructs.Daan.7}
TS3006c.D.argumentstructs.28,D,1198.6,1219.19,うん。うん。うん。,NONE,NONE
TS3006c.C.argumentstructs.Daan.7,C,1198.88,1221.251,私たちの目標は何か違うものを作ることだと思います。新しいものを作ることです。私はダブルカーブを選びます。そして、親指の形をした描画パレットを考えています。それで、それはうまく保持されます。まあ、これは本当にあなたの決定ですが,TS3006c.A.argumentstructs.Daan.6,"{TS3006c.A.argumentstructs.Daan.7, TS3006c.B.argumentstructs.Daan.3}"
TS3006c.A.argumentstructs.33,A,1205.03,1207.09,うん。わかりました。,NONE,NONE
TS3006c.A.argumentstructs.Daan.7,A,1208.12,1208.95,はい、同意します。,TS3006c.C.argumentstructs.Daan.7,NONE
TS3006c.A.argumentstructs.34,A,1213.91,1214.36,うんうん。,NONE,NONE
TS3006c.B.argumentstructs.Daan.3,B,1218.33,1233.0,そうですが、もっとカーブさせれば、ボタンのオプションをもっと増やすことができます。手に持った場合、ボタンを押すのに 1 つの次元だけでなく、他の次元も使用できます。,TS3006c.C.argumentstructs.Daan.7,NONE
TS3006c.C.argumentstructs.Daan.8,C,1310.54,1322.032,ノートパソコンのようにポップアップ画面を作るのはどうでしょうか。最初はシンプルな機能だけが表示されるようにし、その後、,NONE,"{TS3006c.A.argumentstructs.Daan.8, TS3006c.A.argumentstructs.Daan.9}"
TS3006c.A.argumentstructs.Daan.8,A,1315.98,1317.17,ひっくり返せるなら。,TS3006c.C.argumentstructs.Daan.8,{TS3006c.D.argumentstructs.Daan.5}
TS3006c.D.argumentstructs.Daan.5,D,1319.75,1323.391,ええ？それを押すと出てくるんですか？それとも,TS3006c.A.argumentstructs.Daan.8,NONE
TS3006c.A.argumentstructs.Daan.9,A,1323.074,1327.65,ええと、横からの眺めですね。,TS3006c.C.argumentstructs.Daan.8,{TS3006c.C.argumentstructs.Daan.9}
TS3006c.C.argumentstructs.Daan.9,C,1323.11,1324.35,うん。そんな感じ。,TS3006c.A.argumentstructs.Daan.9,"{TS3006c.D.argumentstructs.Daan.6, TS3006c.C.argumentstructs.Daan.10}"
TS3006c.D.argumentstructs.Daan.6,D,1328.38,1335.642,でも、ポップアップスクリーンがあれば、サイドビューは真っ直ぐになります。でも、それが高すぎるかどうかはわかりません。多分、高すぎると思います,TS3006c.C.argumentstructs.Daan.9,NONE
TS3006c.A.argumentstructs.35,A,1342.767,1342.767,。,NONE,NONE
TS3006c.C.argumentstructs.28,C,1343.2,1344.91,私はこのように描きます。,NONE,NONE
TS3006c.C.argumentstructs.Daan.10,C,1346.9,1357.96,これはサイドビューだとしましょう。ここに画面が表示され、このように下がることができます。私の言っていることがおわかりでしょう。このように表示されます。,TS3006c.C.argumentstructs.Daan.9,{TS3006c.A.argumentstructs.Daan.10}
TS3006c.A.argumentstructs.Daan.10,A,1358.59,1363.2,はい、ボタンはここにあります。このように裏返します。,TS3006c.C.argumentstructs.Daan.10,{TS3006c.C.argumentstructs.Daan.11}
TS3006c.C.argumentstructs.Daan.11,C,1362.45,1370.86,はい、またはできれば、シンプルなボタンをここに残して、画面の下にさらに高度なボタンを配置することもできます。,TS3006c.A.argumentstructs.Daan.10,"{TS3006c.A.argumentstructs.Daan.11, TS3006c.B.argumentstructs.Daan.4}"
TS3006c.A.argumentstructs.36,A,1366.51,1367.16,うん。,NONE,NONE
TS3006c.A.argumentstructs.Daan.11,A,1368.67,1372.79,ああそうだ。そうそうそうそうそう。そうだね。ああ、それはいい考えだね。,TS3006c.C.argumentstructs.Daan.11,NONE
TS3006c.B.argumentstructs.18,B,1372.48,1375.71,より高度なオプションはメニュー用です。,NONE,NONE
TS3006c.A.argumentstructs.37,A,1376.0,1376.38,うん。,NONE,NONE
TS3006c.B.argumentstructs.Daan.4,B,1377.11,1382.6,でも、あなたは大丈夫。ただ全部隠したいだけ？ああ。,TS3006c.C.argumentstructs.Daan.11,{TS3006c.A.argumentstructs.Daan.12}
TS3006c.A.argumentstructs.Daan.12,A,1381.6,1397.84,すべてではありません。ほとんどのボタン、つまり矢印ボタンは必要です。ただし、OK ボタンと戻るボタンは非表示にできます。また、メニュー ボタンも非表示にできます。開くと、メニュー ボタンを削除することもできます。開くと、おそらく amauto が自動的にアクティブになります。,TS3006c.B.argumentstructs.Daan.4,{TS3006c.D.argumentstructs.Daan.7}
TS3006c.D.argumentstructs.29,D,1391.2,1391.69,うん。,NONE,NONE
TS3006c.C.argumentstructs.29,C,1399.54,1399.88,うん。,NONE,NONE
TS3006c.D.argumentstructs.Daan.7,D,1399.77,1406.1,わかりました。でもこれを開くにはボタンが必要です。,TS3006c.A.argumentstructs.Daan.12,{TS3006c.A.argumentstructs.Daan.13}
TS3006c.A.argumentstructs.Daan.13,A,1405.08,1407.66,なぜですか？機械的にすればいいだけです。,TS3006c.D.argumentstructs.Daan.7,{TS3006c.C.argumentstructs.Daan.12}
TS3006c.C.argumentstructs.Daan.12,C,1405.63,1412.052,確かに。でも、トリガーを作ることはできます。,TS3006c.A.argumentstructs.Daan.13,{TS3006c.D.argumentstructs.Daan.8}
TS3006c.D.argumentstructs.Daan.8,D,1409.75,1416.141,そうです。メニューと書いてあって、開くと、それを操作するボタンがあります。,TS3006c.C.argumentstructs.Daan.12,{TS3006c.B.argumentstructs.Daan.5}
TS3006c.B.argumentstructs.19,B,1414.4,1415.15,しかし、それはそうではない,NONE,NONE
TS3006c.C.argumentstructs.30,C,1415.15,1417.67,ええ、その通りです。,NONE,NONE
TS3006c.B.argumentstructs.Daan.5,B,1416.26,1422.04,一度落としたら、それほど強力ではありません。,TS3006c.D.argumentstructs.Daan.8,{TS3006c.C.argumentstructs.Daan.13}
TS3006c.D.argumentstructs.30,D,1420.71,1422.89,本当だ。それは開くことができる。,NONE,NONE
