ae_id,speaker,start_time,end_time,sentence,source,targets
ES2002a.D.argumentstructs.Erik.1,D,548.28,565.35,そうですね、すぐに疑問に思うのは、D_V_D_ プレーヤーのように、ゾーンがあるかどうかです。周波数か何か、文字、さまざまなキーパッド スタイル、記号もあります。,NONE,"ES2002a.B.argumentstructs.Erik.3, ES2002a.B.argumentstructs.Erik.1, ES2002a.A.argumentstructs.Erik.1"
ES2002a.B.argumentstructs.Erik.3,B,553.78,558.06,ああ、そうだ、地域とか、そうだね。そうだね。,ES2002a.D.argumentstructs.Erik.1,NONE
ES2002a.A.argumentstructs.8,A,565.05,565.32,ふーむ。,NONE,NONE
ES2002a.B.argumentstructs.21,B,565.13,565.93,うん。,NONE,NONE
ES2002a.B.argumentstructs.Erik.1,B,565.93,571.01,リモコンに関しては、それはリモコンがどれだけ複雑であるかによって決まると思います。,ES2002a.D.argumentstructs.Erik.1,"ES2002a.D.argumentstructs.Erik.2, ES2002a.D.argumentstructs.Erik.3"
ES2002a.D.argumentstructs.26,D,566.17,566.7,えーと。,NONE,NONE
ES2002a.D.argumentstructs.Erik.2,D,568.46,568.83,わからない。,ES2002a.B.argumentstructs.Erik.1,NONE
ES2002a.D.argumentstructs.Erik.3,D,571.22,571.58,うん。,ES2002a.B.argumentstructs.Erik.1,NONE
ES2002a.A.argumentstructs.Erik.1,A,571.74,580.21,ヨーロッパの言語のように文字が複雑な場合は、より多くのボタンが必要になるため、デザインの観点からは理にかなっているかもしれません。,ES2002a.D.argumentstructs.Erik.1,"ES2002a.B.argumentstructs.Erik.2, ES2002a.D.argumentstructs.Erik.4"
ES2002a.B.argumentstructs.Erik.2,B,580.42,583.9,うんうん。わかった。,ES2002a.A.argumentstructs.Erik.1,NONE
ES2002a.D.argumentstructs.Erik.4,D,580.66,580.94,うん。,ES2002a.A.argumentstructs.Erik.1,NONE
