ae_id,speaker,start_time,end_time,sentence,source,targets
ES2002a.D.argumentstructs.Erik.5,D,1060.99,1073.79,私たちは現在、テレビのリモコンにテレビの機能を超えた機能があるかもしれないという前提で考えていますか? それとも、テレビの機能に対する AA デザインのコミットメントのようなものを維持しているのでしょうか?,NONE,"ES2002a.D.argumentstructs.Erik.6, ES2002a.B.argumentstructs.Erik.4, ES2002a.A.argumentstructs.Erik.2"
ES2002a.D.argumentstructs.Erik.6,D,1073.79,1074.44,分かりません。,ES2002a.D.argumentstructs.Erik.5,NONE
ES2002a.B.argumentstructs.22,B,1075.49,1076.64,もう終わるはずです。,NONE,NONE
ES2002a.D.argumentstructs.Erik.7,D,1076.56,1078.06,はい。ええ、もちろんです。,ES2002a.B.argumentstructs.Erik.4,NONE
ES2002a.B.argumentstructs.Erik.4,B,1076.64,1084.8,それは私たち次第だと思います。つまり、おそらくあなたは何かユニークなセールスポイントが欲しいと思うでしょう。,ES2002a.D.argumentstructs.Erik.5,"ES2002a.D.argumentstructs.Erik.7, ES2002a.D.argumentstructs.Erik.8"
ES2002a.D.argumentstructs.Erik.8,D,1081.99,1082.38,わかった。,ES2002a.B.argumentstructs.Erik.4,NONE
ES2002a.A.argumentstructs.Erik.2,A,1084.36,1086.91,一つの要因は生産コストだと思います。,ES2002a.D.argumentstructs.Erik.5,"ES2002a.D.argumentstructs.Erik.9, ES2002a.A.argumentstructs.Erik.3, ES2002a.A.argumentstructs.Erik.4"
ES2002a.D.argumentstructs.Erik.9,D,1086.96,1087.76,はい、そうです。,ES2002a.A.argumentstructs.Erik.2,NONE
ES2002a.A.argumentstructs.Erik.3,A,1087.57,1094.65,そこには上限があるので、その価格の中にどれだけ詰め込めるかによって決まります。,ES2002a.A.argumentstructs.Erik.2,"ES2002a.B.argumentstructs.Erik.5, ES2002a.D.argumentstructs.Erik.10"
ES2002a.B.argumentstructs.Erik.5,B,1087.59,1088.2,うん。,ES2002a.A.argumentstructs.Erik.3,NONE
ES2002a.D.argumentstructs.Erik.10,D,1089.89,1090.23,わかった。,ES2002a.A.argumentstructs.Erik.3,NONE
ES2002a.B.argumentstructs.23,B,1093.82,1096.16,うん。そうだね。,NONE,NONE
ES2002a.D.argumentstructs.27,D,1093.83,1094.13,わかった。,NONE,NONE
ES2002a.A.argumentstructs.9,A,1094.65,1094.9,えーと。,NONE,NONE
ES2002a.A.argumentstructs.Erik.4,A,1096.03,1098.43,それが主な要因だと思います。,ES2002a.A.argumentstructs.Erik.2,"ES2002a.B.argumentstructs.Erik.7, ES2002a.D.argumentstructs.Erik.11"
ES2002a.B.argumentstructs.Erik.7,B,1098.51,1102.48,はい、わかりました。それでは、これで会議は終了です。,ES2002a.A.argumentstructs.Erik.4,ES2002a.D.argumentstructs.Erik.12
ES2002a.D.argumentstructs.Erik.11,D,1098.52,1098.85,わかった。,ES2002a.A.argumentstructs.Erik.4,NONE
ES2002a.D.argumentstructs.Erik.12,D,1102.4,1102.86,大丈夫。,ES2002a.B.argumentstructs.Erik.7,NONE
ES2002a.B.argumentstructs.24,B,1102.48,1103.2,えーと。,NONE,NONE
