ae_id,speaker,start_time,end_time,sentence,source,targets
ES2002d.B.argumentstructs.Erik.37,B,2028.23,2031.96,デジタルペンについてはどうですか、使いやすいと感じましたか?,NONE,"ES2002d.A.argumentstructs.Erik.28, ES2002d.C.argumentstructs.Erik.30, ES2002d.D.argumentstructs.Erik.14, ES2002d.A.argumentstructs.Erik.29, ES2002d.A.argumentstructs.Erik.30"
ES2002d.D.argumentstructs.Erik.14,D,2032.68,2033.63,ああ、ちょっと不格好ですね。,ES2002d.B.argumentstructs.Erik.37,"ES2002d.B.argumentstructs.Erik.38, ES2002d.C.argumentstructs.Erik.31, ES2002d.B.argumentstructs.Erik.39"
ES2002d.C.argumentstructs.Erik.30,C,2033.07,2033.9,はい、そうです。,ES2002d.B.argumentstructs.Erik.37,NONE
ES2002d.A.argumentstructs.Erik.28,A,2035.21,2038.66,そうですね、不格好ですね。同意します。,ES2002d.B.argumentstructs.Erik.37,NONE
ES2002d.B.argumentstructs.Erik.38,B,2037.65,2037.8,うん。,ES2002d.D.argumentstructs.Erik.14,NONE
ES2002d.C.argumentstructs.Erik.31,C,2037.93,2038.569,うん。,ES2002d.D.argumentstructs.Erik.14,NONE
ES2002d.C.argumentstructs.45,C,2039.35,2046.89,うん。うーん。うーん。,NONE,NONE
ES2002d.B.argumentstructs.Erik.39,B,2039.88,2041.83,不格好だけどね。,ES2002d.D.argumentstructs.Erik.14,NONE
ES2002d.B.argumentstructs.55,B,2041.83,2043.58,えーと,NONE,NONE
ES2002d.A.argumentstructs.Erik.29,A,2043.48,2049.62,出発前にチェックを入れなければならないのも少し邪魔でした。考えを半分ほど書き終えたところで紙がなくなり、飛び降りなければならなくなるからです。,ES2002d.B.argumentstructs.Erik.37,"ES2002d.B.argumentstructs.Erik.40, ES2002d.B.argumentstructs.Erik.41"
ES2002d.B.argumentstructs.Erik.40,B,2046.8,2047.3,うん。,ES2002d.A.argumentstructs.Erik.29,NONE
ES2002d.B.argumentstructs.Erik.41,B,2049.73,2067.29,わかっています。今日の最初に、たくさんのことを書いて、そのうちの 1 つにメモをクリックしなかったと思います。その後戻って別のページに小さなことを 1 つ書きましたが、その後メモをクリックしました。そのため、その上に何かを書きすぎたのではないかと心配していますが、いずれにせよ私の論文は渡されるので、それ以来そんなことはしていません。,ES2002d.A.argumentstructs.Erik.29,ES2002d.C.argumentstructs.Erik.32
ES2002d.C.argumentstructs.Erik.32,C,2050.08,2050.41,うん。,ES2002d.B.argumentstructs.Erik.41,NONE
ES2002d.C.argumentstructs.46,C,2060.69,2072.88,うーん。うーん。うん、うん。うーん。うーん。うーん、うん。うーん、うん、うん。,NONE,NONE
ES2002d.A.argumentstructs.Erik.30,A,2066.76,2075.13,しかし、ペンは非常に直感的で、誰でも使い方がわかるので、心配する必要がありません。だから、ペンは良いと思います。最高のものです。,ES2002d.B.argumentstructs.Erik.37,ES2002d.B.argumentstructs.Erik.42
ES2002d.B.argumentstructs.Erik.42,B,2070.26,2071.53,ええ、ええ。,ES2002d.A.argumentstructs.Erik.30,NONE
