ae_id,speaker,start_time,end_time,sentence,source,targets
ES2002d.B.argumentstructs.43,B,176.44,178.51,これがスケール通りでなかったら、,NONE,NONE
ES2002d.B.argumentstructs.Erik.1,B,179.6,181.76,ここで考えている寸法は何ですか?,NONE,ES2002d.D.argumentstructs.Erik.1
ES2002d.D.argumentstructs.Erik.1,D,182.85,190.84,他のボタンは指で簡単に押せる大きさにしたいので、手のひらと同じくらいの大きさになると思います。,ES2002d.B.argumentstructs.Erik.1,"ES2002d.C.argumentstructs.Erik.1, ES2002d.A.argumentstructs.Erik.1"
ES2002d.B.argumentstructs.44,B,185.42,204.89,うん。6、7、8、9、10。,NONE,NONE
ES2002d.C.argumentstructs.Erik.1,C,189.4,189.77,わかった。,ES2002d.D.argumentstructs.Erik.1,NONE
ES2002d.A.argumentstructs.31,A,190.39,195.09,はい、ボタンの場合は約1センチです。1、2、3,NONE,NONE
ES2002d.A.argumentstructs.Erik.1,A,197.42,201.96,4センチ。プラス5センチくらいかな,ES2002d.D.argumentstructs.Erik.1,ES2002d.C.argumentstructs.Erik.2
ES2002d.C.argumentstructs.33,C,200.85,201.24,うんうん。,NONE,NONE
ES2002d.C.argumentstructs.Erik.2,C,202.44,203.52,全部で9個くらいです。,ES2002d.A.argumentstructs.Erik.1,ES2002d.A.argumentstructs.Erik.2
ES2002d.A.argumentstructs.Erik.2,A,202.92,206.43,6、7、8、合計で9くらいですね。,ES2002d.C.argumentstructs.Erik.2,ES2002d.B.argumentstructs.Erik.2
ES2002d.B.argumentstructs.Erik.2,B,205.42,211.36,つまり、10センチメートルくらいの話です。それがいいでしょう。つまり、高さが10センチメートルです。,ES2002d.A.argumentstructs.Erik.2,"ES2002d.C.argumentstructs.Erik.3, ES2002d.A.argumentstructs.Erik.3, ES2002d.C.argumentstructs.Erik.4"
ES2002d.C.argumentstructs.Erik.3,C,205.99,207.3,それはいいですね。はい。,ES2002d.B.argumentstructs.Erik.2,NONE
ES2002d.C.argumentstructs.34,C,208.76,208.89,はい。,NONE,NONE
ES2002d.A.argumentstructs.32,A,209.73,210.43,9、10。,NONE,NONE
ES2002d.A.argumentstructs.Erik.3,A,211.12,211.71,はい。,ES2002d.B.argumentstructs.Erik.2,NONE
ES2002d.B.argumentstructs.45,B,215.01,221.12,。 うん。,NONE,NONE
ES2002d.C.argumentstructs.Erik.4,C,215.19,222.09,それはいいですね。実際、ペンは通常約 10 センチメートルなので、そこに表示されているのを見ると、本当に良いサイズのように思えます。,ES2002d.B.argumentstructs.Erik.2,ES2002d.B.argumentstructs.Erik.3
ES2002d.B.argumentstructs.Erik.3,B,222.23,226.35,それは素晴らしいですし、とても明るいですね。それで、ええと、わかりました。,ES2002d.C.argumentstructs.Erik.4,NONE
ES2002d.C.argumentstructs.35,C,224.24,224.45,うーん。,NONE,NONE
