ae_id,speaker,start_time,end_time,sentence,source,targets
ES2003a.B.argumentstructs.Erik.1,B,730.78,735.08,新しいリモコンがこの市場に参入できると思われる場所について何かアイデアはありますか?,NONE,ES2003a.A.argumentstructs.Erik.1
ES2003a.A.argumentstructs.Erik.1,A,736.97,790.71,私が認識していることの 1 つは、市場の非常に高価格帯の端に、従来のモデルよりもはるかに洗練された方法でプログラムできるタッチ スクリーン LCD リモコンの市場が出現しているということです。そのため、インターフェイスを自分のニーズに合わせて再設計したり、マクロをプログラムしたりすることができ、3 in 1、5 in 1 など、さまざまな機能が得られますが、制御するように設計されたさまざまなものをより高度に統合することができ、たとえば、1 つのマクロでテレビを正しいチャンネルにしたり、ビデオ レコーダーのテープを巻き戻して巻き戻したら再生したりすることができます。,ES2003a.B.argumentstructs.Erik.1,ES2003a.A.argumentstructs.Erik.2
ES2003a.B.argumentstructs.Erik.2,B,790.07,790.66,わかった。,ES2003a.A.argumentstructs.Erik.2,NONE
ES2003a.A.argumentstructs.Erik.2,A,790.71,811.36,うーん、そういう機能のいくつかを目的にしながらも、従来の押しボタン設計を採用したリモコンのニッチ市場があるかもしれないと思いました。そのため、はるかに低価格帯になります。,ES2003a.A.argumentstructs.Erik.1,"ES2003a.B.argumentstructs.Erik.2, ES2003a.B.argumentstructs.Erik.3, ES2003a.B.argumentstructs.Erik.4"
ES2003a.B.argumentstructs.Erik.3,B,812.69,821.2,はい、確かにそうですね。私たちが検討している価格帯では、タッチスクリーンを採用するのはおそらく無理でしょう。,ES2003a.A.argumentstructs.Erik.2,ES2003a.A.argumentstructs.Erik.3
ES2003a.A.argumentstructs.Erik.3,A,819.18,821.06,そうですね、絶対に禁止です。,ES2003a.B.argumentstructs.Erik.3,NONE
ES2003a.C.argumentstructs.9,C,820.69,820.86,おお。,NONE,NONE
ES2003a.B.argumentstructs.Erik.4,B,821.2,825.7,しかし、もう一度、複数のユニットを簡単な方法で制御できるものを考えてみましょう。,ES2003a.A.argumentstructs.Erik.2,ES2003a.A.argumentstructs.Erik.4
ES2003a.A.argumentstructs.Erik.4,A,825.96,844.61,そうですね、つまり、複数のユニット間で切り替えられるものが欲しいとは言いたくありませんが、より統合された方法で複数のユニット間で操作できるものが欲しいです。理想的には、マクロを実行するための少なくとも限定的な機能を備えたものが欲しいです。,ES2003a.B.argumentstructs.Erik.4,"ES2003a.B.argumentstructs.Erik.5, ES2003a.A.argumentstructs.Erik.5"
ES2003a.B.argumentstructs.Erik.5,B,845.65,854.395,一つのボタンでビデオレコーダー、テレビ、サウンドシステムもすべて同時にオンにできるようなアイデアは、,ES2003a.A.argumentstructs.Erik.4,NONE
ES2003a.A.argumentstructs.Erik.5,A,853.68,869.67,例えば、D_V_D_プレーヤーの再生ボタンを押すと、テレビがオンになり、右チャンネルに切り替わります。,ES2003a.A.argumentstructs.Erik.4,"ES2003a.B.argumentstructs.Erik.6, ES2003a.C.argumentstructs.Erik.1, ES2003a.B.argumentstructs.Erik.7"
ES2003a.B.argumentstructs.Erik.6,B,870.89,874.81,わかりました。それはとても良いアイデアのように思えます。,ES2003a.A.argumentstructs.Erik.5,NONE
ES2003a.C.argumentstructs.Erik.1,C,871.65,871.94,ケイ,ES2003a.A.argumentstructs.Erik.5,NONE
ES2003a.B.argumentstructs.18,B,874.81,875.32,えーと,NONE,NONE
ES2003a.B.argumentstructs.Erik.7,B,877.7,879.72,これについて何か意見はありますか?,ES2003a.A.argumentstructs.Erik.5,ES2003a.C.argumentstructs.Erik.2
