ae_id,speaker,start_time,end_time,sentence,source,targets
ES2003b.A.argumentstructs.Erik.1,A,1163.51,1172.08,リモコンのジョイスティックのデフォルトの機能は、上下で音量、左右でチャンネルになるものだと思っていました。,NONE,ES2003b.D.argumentstructs.Erik.1
ES2003b.B.argumentstructs.25,B,1173.4,1173.85,私たちは,NONE,NONE
ES2003b.D.argumentstructs.Erik.1,D,1173.47,1182.74,人々が混乱してしまうと思いますか？たとえば、この画面とあの画面を見て、すべてを機能させようとすると、少し混乱するでしょうか？,ES2003b.A.argumentstructs.Erik.1,ES2003b.A.argumentstructs.Erik.2
ES2003b.A.argumentstructs.Erik.2,A,1183.07,1192.39,おそらく使い始めて最初の数時間はそうだと思いますが、筋肉の記憶というのは素晴らしいものです。,ES2003b.D.argumentstructs.Erik.1,"ES2003b.D.argumentstructs.Erik.2, ES2003b.C.argumentstructs.Erik.1, ES2003b.A.argumentstructs.Erik.3"
ES2003b.D.argumentstructs.Erik.2,D,1187.97,1188.19,うん。,ES2003b.A.argumentstructs.Erik.2,NONE
ES2003b.A.argumentstructs.22,A,1192.39,1192.94,うーん。,NONE,NONE
ES2003b.C.argumentstructs.Erik.1,C,1193.87,1194.01,うーん。,ES2003b.A.argumentstructs.Erik.2,NONE
ES2003b.A.argumentstructs.Erik.3,A,1194.24,1199.54,そして、ディスプレイのサイズは私が考えていたものとほぼ同じだったと思います,ES2003b.A.argumentstructs.Erik.2,ES2003b.A.argumentstructs.Erik.4
ES2003b.A.argumentstructs.23,A,1199.54,1200.86,えっと、でも,NONE,NONE
ES2003b.A.argumentstructs.Erik.4,A,1201.96,1214.67,つまり、最近見かける携帯電話のディスプレイのほとんどはカラーですが、おそらく白黒にこだわるようにする必要があると思います。,ES2003b.A.argumentstructs.Erik.3,"ES2003b.A.argumentstructs.Erik.5, ES2003b.B.argumentstructs.Erik.1, ES2003b.A.argumentstructs.Erik.6"
ES2003b.B.argumentstructs.Erik.1,B,1214.57,1215.41,私もあなたに同意します。,ES2003b.A.argumentstructs.Erik.4,NONE
ES2003b.A.argumentstructs.Erik.5,A,1214.67,1217.54,それは単にユニットコストを低く抑えるためです。,ES2003b.A.argumentstructs.Erik.4,NONE
ES2003b.A.argumentstructs.Erik.6,A,1218.14,1232.85,えーと、カラーは後から開発されるものかもしれませんが、うーん、余分なお金がかかります。みんなが最初のものを手に入れたら、ああ、カラーがなくなったから交換しないといけないですよね。特別なことは何もしません。,ES2003b.A.argumentstructs.Erik.4,"ES2003b.B.argumentstructs.Erik.2, ES2003b.C.argumentstructs.Erik.2, ES2003b.C.argumentstructs.Erik.3"
ES2003b.B.argumentstructs.Erik.2,B,1230.27,1241.69,そうですね。私もそう思います。かなり便利なユーザー インターフェイスを作成できると思います。ええと、すみません、どうぞ。,ES2003b.A.argumentstructs.Erik.6,NONE
ES2003b.C.argumentstructs.Erik.2,C,1239.21,1239.63,もちろん,ES2003b.A.argumentstructs.Erik.6,NONE
ES2003b.C.argumentstructs.Erik.3,C,1239.63,1264.35,しかし、メニューやジョイスティック付きのリモコンというアイデアは、リモコンを購入する習慣があれば欲しいと思うのですが、私たちには特定の顧客層がいないと思います。つまり、私たちのターゲット顧客層は誰なのか、どのようなニッチを売り込み、獲得しようとしているのかということです。つまり、私が何を言っているのかお分かりでしょう。つまり、これは誰を対象にしているのかということです。すべての人ですか?,ES2003b.A.argumentstructs.Erik.6,"ES2003b.B.argumentstructs.Erik.3, ES2003b.A.argumentstructs.Erik.9"
ES2003b.B.argumentstructs.Erik.3,B,1268.6,1291.59,おそらく、携帯電話を使ったことがあるほとんどの人を対象にできると思います。これは、ほとんどの人をターゲットにしようとしているということの別の言い方かもしれません。ええと、もし私たちがその道を進むとしたら、ええと、私たちは携帯電話の経験にほとんど頼っていることになるかもしれません。しかし、それは世の中の人々の非常に大きな部分をカバーしています。,ES2003b.C.argumentstructs.Erik.3,"ES2003b.C.argumentstructs.Erik.4, ES2003b.A.argumentstructs.Erik.7, ES2003b.C.argumentstructs.Erik.6, ES2003b.B.argumentstructs.Erik.4"
ES2003b.C.argumentstructs.Erik.4,C,1276.64,1277.41,ほとんどの人はそうでしょう。,ES2003b.B.argumentstructs.Erik.3,NONE
ES2003b.A.argumentstructs.Erik.7,A,1277.76,1278.15,うーん。,ES2003b.B.argumentstructs.Erik.3,NONE
ES2003b.C.argumentstructs.20,C,1287.74,1287.95,うんうん。,NONE,NONE
ES2003b.C.argumentstructs.Erik.6,C,1291.61,1293.54,はい。そうですね、それは公平だと思います。,ES2003b.B.argumentstructs.Erik.3,NONE
ES2003b.B.argumentstructs.Erik.4,B,1293.13,1353.17,えっと、実際の L_C_D_ と、ある程度はジョイスティックも追加機能用になると思います。これはあまり使用されないかもしれませんが、周波数などのチャンネルを変更する方法などを簡単に理解して再プログラムできるようにするためかもしれません。また、マシンのオン/オフ、上下など、メインボタンも使用できます。状況によりますが、ジョイスティックを他の機能用に別個に用意し、先ほどおっしゃったように、すでに定義されているボタンが少数あるとします。つまり、上下とボリュームコントロール用の標準的なボタンを使用します。そうすれば、文字通り誰でもリモコンを手に取って、何をすればよいかがわかります。また、T_V_ の実際の所有者や通常ユニットを使用する人向けの機能のほとんどを完全に無視できます。よくわかりません。,ES2003b.B.argumentstructs.Erik.3,"ES2003b.A.argumentstructs.Erik.8, ES2003b.C.argumentstructs.Erik.7"
ES2003b.A.argumentstructs.Erik.8,A,1293.26,1293.71,うーん。,ES2003b.B.argumentstructs.Erik.4,NONE
ES2003b.C.argumentstructs.Erik.7,C,1314.05,1314.29,うんうん。,ES2003b.B.argumentstructs.Erik.4,NONE
ES2003b.C.argumentstructs.21,C,1332.12,1352.51,うんうん。うんうん。うんうん。,NONE,NONE
ES2003b.A.argumentstructs.24,A,1352.52,1355.5,うーん。,NONE,NONE
ES2003b.A.argumentstructs.Erik.9,A,1355.5,1379.15,ジョイスティックの好きなところは、基本的に、T_T_ を TV リモコンだけに置いて、つまり、TV リモコンで行う主な操作は音量とチャンネルですが、これらすべてを 1 つのコントロールにまとめることができることです。,ES2003b.C.argumentstructs.Erik.3,ES2003b.B.argumentstructs.Erik.5
ES2003b.B.argumentstructs.Erik.5,B,1378.6,1380.01,うんうん。,ES2003b.A.argumentstructs.Erik.9,NONE
ES2003b.A.argumentstructs.25,A,1379.15,1379.65,えーと。,NONE,NONE
