ae_id,speaker,start_time,end_time,sentence,source,targets
ES2003b.B.argumentstructs.Erik.6,B,1663.4,1675.22,ここから先に進みます。リモコンで何をするかを正確に決める必要があります。この会議を終える前に、これが私たちが目指すデザインであり、私たちが独自性を出すための方法ですと伝えるのがベストでしょう。,NONE,"ES2003b.B.argumentstructs.Erik.7, ES2003b.B.argumentstructs.Erik.17, ES2003b.B.argumentstructs.Erik.23"
ES2003b.B.argumentstructs.Erik.7,B,1678.59,1694.41,リモコンを使うのでしょうか。すみません、当然リモコンを使うつもりです。チャンネルを上下に変えたり、それから、L_C_D_ を操作するために現在使用されている別のボタンを操作する小さなジョイスティックを使うのでしょうか。,ES2003b.B.argumentstructs.Erik.6,"ES2003b.A.argumentstructs.Erik.11, ES2003b.D.argumentstructs.Erik.3, ES2003b.B.argumentstructs.Erik.8, ES2003b.C.argumentstructs.Erik.8"
ES2003b.A.argumentstructs.26,A,1679.04,1679.23,うーん。,NONE,NONE
ES2003b.A.argumentstructs.Erik.11,A,1695.42,1696.21,ああそうだね。,ES2003b.B.argumentstructs.Erik.7,NONE
ES2003b.D.argumentstructs.Erik.3,D,1697.67,1701.77,音量について言っているだけです。ジョイスティックでは音量は重要だと思いますか?,ES2003b.B.argumentstructs.Erik.7,ES2003b.A.argumentstructs.Erik.12
ES2003b.A.argumentstructs.Erik.12,A,1697.77,1698.928,そうですね、それは,ES2003b.D.argumentstructs.Erik.3,NONE
ES2003b.B.argumentstructs.Erik.8,B,1702.02,1707.7,左右でチャンネルを変え、上下で音量を変えるなど、,ES2003b.B.argumentstructs.Erik.7,ES2003b.A.argumentstructs.Erik.13
ES2003b.A.argumentstructs.Erik.13,A,1702.36,1703.07,うん。,ES2003b.B.argumentstructs.Erik.8,ES2003b.A.argumentstructs.Erik.14
ES2003b.A.argumentstructs.Erik.14,A,1706.32,1706.89,ボリューム用。,ES2003b.A.argumentstructs.Erik.13,ES2003b.D.argumentstructs.Erik.4
ES2003b.D.argumentstructs.Erik.4,D,1707.32,1707.45,はい。,ES2003b.A.argumentstructs.Erik.14,NONE
ES2003b.C.argumentstructs.Erik.8,C,1707.59,1729.21,しかし、人々がリモコンを最もよく使う頻度はわかっています。電源は 1 時間に 1 回、チャンネル選択は 1 時間あたり 168 回使用され、これが圧倒的に多く、次にテレテキストが 14 回、音量選択が 1 時間あたり 1 回使用されています。,ES2003b.B.argumentstructs.Erik.7,"ES2003b.B.argumentstructs.Erik.9, ES2003b.B.argumentstructs.Erik.10, ES2003b.B.argumentstructs.Erik.11, ES2003b.B.argumentstructs.Erik.12"
ES2003b.B.argumentstructs.26,B,1707.7,1708.04,そして,NONE,NONE
ES2003b.B.argumentstructs.Erik.9,B,1713.26,1713.92,わかった。,ES2003b.C.argumentstructs.Erik.8,NONE
ES2003b.D.argumentstructs.10,D,1714.53,1714.67,私,NONE,NONE
