ae_id,speaker,start_time,end_time,sentence,source,targets
ES2003c.C.argumentstructs.Erik.4,C,1629.03,1643.34,それで、プログラム可能なリモコンについてお話ししようと思っていました。すべてのテレビで使えるリモコンが 1 つあればすばらしいと思います。ボタンをクリックするだけで、特定のテレビで機能する周波数が検索されます。,NONE,"ES2003c.C.argumentstructs.Erik.5, ES2003c.A.argumentstructs.Erik.2"
ES2003c.A.argumentstructs.28,A,1643.05,1643.38,うんうん。,NONE,NONE
ES2003c.C.argumentstructs.Erik.5,C,1643.34,1647.7,しかし、なぜそれを標準機能のようにプログラムする必要があるのかはわかりません。,ES2003c.C.argumentstructs.Erik.4,NONE
ES2003c.A.argumentstructs.Erik.2,A,1647.8,1661.96,まあ、基本的には、各メーカーには、テレビが応答する特定のコマンド セットがあります。単に周波数の問題ではありません。,ES2003c.C.argumentstructs.Erik.4,"ES2003c.C.argumentstructs.Erik.6, ES2003c.A.argumentstructs.Erik.4"
ES2003c.B.argumentstructs.22,B,1658.64,1659.18,うんうん。,NONE,NONE
ES2003c.C.argumentstructs.Erik.6,C,1659.92,1660.15,うん。,ES2003c.A.argumentstructs.Erik.2,NONE
ES2003c.A.argumentstructs.29,A,1661.96,1663.61,それで、,NONE,NONE
ES2003c.A.argumentstructs.Erik.4,A,1665.01,1688.76,通常、さまざまな可能性が詰まった大きな小冊子があり、それらはすべてリモコンにプログラムされています。また、コードの小冊子があり、そこからメーカーを見つけて、そのメーカーの名前の下にあるさまざまなコードを試して、正しいコードが見つかるまで続けます。,ES2003c.A.argumentstructs.Erik.2,"ES2003c.C.argumentstructs.Erik.7, ES2003c.A.argumentstructs.Erik.7, ES2003c.B.argumentstructs.Erik.7, ES2003c.C.argumentstructs.Erik.8, ES2003c.C.argumentstructs.Erik.9"
ES2003c.C.argumentstructs.29,C,1677.26,1685.27,うんうん。うんうん。,NONE,NONE
ES2003c.C.argumentstructs.Erik.7,C,1688.63,1693.89,それは、テレビがリモコンに命令を送信しても、何のフィードバックも返さないからです。わかりました。,ES2003c.A.argumentstructs.Erik.4,ES2003c.A.argumentstructs.Erik.5
ES2003c.A.argumentstructs.30,A,1688.76,1689.11,その,NONE,NONE
ES2003c.A.argumentstructs.Erik.5,A,1692.98,1694.31,はい、その通りです。,ES2003c.C.argumentstructs.Erik.7,NONE
ES2003c.A.argumentstructs.Erik.7,A,1694.31,1711.59,これはかなり面倒なので、おそらくまだそうしなければならないでしょう。しかし、オプションとしてコンピューターへの何らかの接続があれば、コンピューターをお持ちであれば、このかなり面倒なことを避けることができます。,ES2003c.A.argumentstructs.Erik.4,NONE
ES2003c.B.argumentstructs.Erik.7,B,1711.57,1738.73,興味深い点は、ユーザーがコンピューターを持っていなくても、コードを検索する代わりに、オプションの 1 つとして、L_C_D_ で会社名を検索し、実際に製造されたさまざまなユニットのさまざまな名前を検索するようにすることができるため、プロセスがさらに簡単になることです。または、リモート コントロールを使用して、これが正しい機能を実行するかどうかなど、コードを検索します。,ES2003c.A.argumentstructs.Erik.4,ES2003c.A.argumentstructs.Erik.8
ES2003c.A.argumentstructs.Erik.8,A,1726.19,1726.5,うん,ES2003c.B.argumentstructs.Erik.7,NONE
ES2003c.A.argumentstructs.31,A,1726.5,1729.17,。 うん。,NONE,NONE
ES2003c.C.argumentstructs.Erik.8,C,1738.91,1743.7,それは実際に名前から数字までが書かれた本ですか、それとも数ページくらいでしょうか？,ES2003c.A.argumentstructs.Erik.4,ES2003c.A.argumentstructs.Erik.9
ES2003c.A.argumentstructs.Erik.9,A,1743.87,1746.94,えっと、小冊子です。数ページです。,ES2003c.C.argumentstructs.Erik.8,NONE
ES2003c.C.argumentstructs.Erik.9,C,1747.12,1750.57,この情報を保存する場合は、何らかのマッピングが必要になると考えていました。,ES2003c.A.argumentstructs.Erik.4,ES2003c.C.argumentstructs.Erik.10
ES2003c.C.argumentstructs.Erik.10,C,1751.81,1758.32,この人は、リモコンを初めて購入したときや、新しいテレビを購入したときなどに、この機能を一度だけ使用する必要があるでしょう。,ES2003c.C.argumentstructs.Erik.9,"ES2003c.A.argumentstructs.Erik.10, ES2003c.B.argumentstructs.Erik.8, ES2003c.A.argumentstructs.Erik.11"
ES2003c.C.argumentstructs.30,C,1758.32,1760.43,、つまり1秒ごとに,NONE,NONE
ES2003c.A.argumentstructs.Erik.10,A,1759.26,1759.66,うん。,ES2003c.C.argumentstructs.Erik.10,NONE
ES2003c.B.argumentstructs.Erik.8,B,1759.44,1761.82,頻繁に使う必要はないですね、その通りです。,ES2003c.C.argumentstructs.Erik.10,ES2003c.C.argumentstructs.Erik.11
ES2003c.C.argumentstructs.Erik.11,C,1761.38,1762.68,ええ、それは,ES2003c.B.argumentstructs.Erik.8,NONE
ES2003c.A.argumentstructs.Erik.11,A,1761.92,1786.03,ええ。でも、それは面倒です。そして、実際に購入するのと非常に近いところで面倒なので、おそらく検討することになると思います。もし、その面倒の多くを回避できるという商品が店頭にあったら、あなたはそれに好意的に傾くかもしれません。うーん。,ES2003c.C.argumentstructs.Erik.10,ES2003c.C.argumentstructs.Erik.12
ES2003c.C.argumentstructs.Erik.12,C,1769.89,1770.04,うーん。,ES2003c.A.argumentstructs.Erik.11,NONE
ES2003c.C.argumentstructs.31,C,1780.27,1780.48,うーん。,NONE,NONE
