ae_id,speaker,start_time,end_time,sentence,source,targets
ES2003c.D.argumentstructs.Erik.1,D,194.82,211.01,3 種類の電池があります。手回し式のダイナモか、時計で使われるキネティック タイプのダイナモか、あるいはソーラー式のダイナモです。,NONE,"ES2003c.B.argumentstructs.Erik.1, ES2003c.B.argumentstructs.Erik.2, ES2003c.D.argumentstructs.Erik.4, ES2003c.D.argumentstructs.Erik.5"
ES2003c.B.argumentstructs.Erik.1,B,208.55,209.0,わかった。,ES2003c.D.argumentstructs.Erik.1,NONE
ES2003c.D.argumentstructs.13,D,212.16,213.13,えーと。,NONE,NONE
ES2003c.B.argumentstructs.Erik.2,B,212.27,219.48,さて、運動学的なものですが、これは動きによって起こるものなので、,ES2003c.D.argumentstructs.Erik.1,ES2003c.B.argumentstructs.Erik.3
ES2003c.C.argumentstructs.28,C,214.95,215.85,費用は,NONE,NONE
ES2003c.C.argumentstructs.Erik.1,C,218.3,218.56,うん。,ES2003c.B.argumentstructs.Erik.3,NONE
ES2003c.D.argumentstructs.Erik.2,D,218.4,218.83,うん。,ES2003c.B.argumentstructs.Erik.3,NONE
ES2003c.B.argumentstructs.Erik.3,B,219.48,231.53,ええと、AA 時計用の電池はそれほど多くの電力を必要としないというのが私の唯一の疑問です。キネティック電池は十分な電力を供給できるでしょうか?,ES2003c.B.argumentstructs.Erik.2,"ES2003c.D.argumentstructs.Erik.2, ES2003c.C.argumentstructs.Erik.1, ES2003c.A.argumentstructs.Erik.1"
ES2003c.A.argumentstructs.27,A,227.38,227.79,うーん。,NONE,NONE
ES2003c.A.argumentstructs.Erik.1,A,232.63,234.77,時計もかなり動き回ります。,ES2003c.B.argumentstructs.Erik.3,ES2003c.B.argumentstructs.Erik.4
ES2003c.B.argumentstructs.Erik.4,B,232.72,233.18,そう思いますか？,ES2003c.A.argumentstructs.Erik.1,"ES2003c.C.argumentstructs.Erik.2, ES2003c.D.argumentstructs.Erik.3"
ES2003c.D.argumentstructs.14,D,232.85,233.52,えーっと。,NONE,NONE
ES2003c.B.argumentstructs.21,B,235.6,235.81,わ,NONE,NONE
ES2003c.D.argumentstructs.Erik.3,D,236.02,238.74,ええ、そうはならないと思います。,ES2003c.B.argumentstructs.Erik.4,NONE
ES2003c.C.argumentstructs.Erik.2,C,236.16,236.78,うん。,ES2003c.B.argumentstructs.Erik.4,NONE
ES2003c.D.argumentstructs.15,D,238.74,239.23,えーと。,NONE,NONE
ES2003c.D.argumentstructs.Erik.4,D,241.56,243.9,太陽電池についてはよく分かりません。,ES2003c.D.argumentstructs.Erik.1,ES2003c.C.argumentstructs.Erik.3
ES2003c.C.argumentstructs.Erik.3,C,245.15,245.31,うん。,ES2003c.D.argumentstructs.Erik.4,NONE
ES2003c.D.argumentstructs.16,D,245.79,246.21,えーっと。,NONE,NONE
ES2003c.D.argumentstructs.Erik.5,D,247.99,251.15,おそらく従来の電池を使うべきでしょう。,ES2003c.D.argumentstructs.Erik.1,"ES2003c.D.argumentstructs.Erik.6, ES2003c.B.argumentstructs.Erik.5"
ES2003c.D.argumentstructs.17,D,252.1,252.73,えーと、,NONE,NONE
ES2003c.D.argumentstructs.Erik.6,D,253.84,255.36,通常のリモコンと同じです。,ES2003c.D.argumentstructs.Erik.5,NONE
ES2003c.B.argumentstructs.Erik.5,B,256.16,259.54,そうすれば、私たちは再び棚から出ることができるようになると思いますか？,ES2003c.D.argumentstructs.Erik.5,ES2003c.D.argumentstructs.Erik.7
ES2003c.D.argumentstructs.18,D,256.45,256.88,えーと。,NONE,NONE
ES2003c.D.argumentstructs.Erik.7,D,259.56,259.79,うん。,ES2003c.B.argumentstructs.Erik.5,NONE
