ae_id,speaker,start_time,end_time,sentence,source,targets
ES2003c.D.argumentstructs.Erik.8,D,2039.17,2040.25,U_S_B_ はどれですか?,NONE,ES2003c.C.argumentstructs.Erik.13
ES2003c.C.argumentstructs.Erik.13,C,2040.66,2041.48,リモコン用。,ES2003c.D.argumentstructs.Erik.8,ES2003c.B.argumentstructs.Erik.9
ES2003c.B.argumentstructs.Erik.9,B,2041.83,2053.56,通常、私たちは非常にシンプルで最小限の設計を採用しているため、P_C_ 上のソフトウェア インターフェイスを接続して、より大規模なプログラミングを行うことができるのではないかという考えでした。,ES2003c.C.argumentstructs.Erik.13,"ES2003c.D.argumentstructs.Erik.9, ES2003c.C.argumentstructs.Erik.14"
ES2003c.D.argumentstructs.Erik.9,D,2047.62,2048.64,ああ、そうだね。,ES2003c.B.argumentstructs.Erik.9,NONE
ES2003c.C.argumentstructs.Erik.14,C,2054.66,2056.944,私たちは間違いなく何らかのタイプの,ES2003c.B.argumentstructs.Erik.9,ES2003c.D.argumentstructs.Erik.10
ES2003c.B.argumentstructs.23,B,2055.0,2055.59,えーと。,NONE,NONE
ES2003c.D.argumentstructs.Erik.10,D,2057.5,2060.832,でも、彼らはただテレビのためだと言ったんじゃないの？それとも,ES2003c.C.argumentstructs.Erik.14,ES2003c.B.argumentstructs.Erik.10
ES2003c.B.argumentstructs.Erik.10,B,2060.74,2068.26,これは T_V_ 専用ですが、T_V_ を使用するようにプログラミングするには、P_C_ に接続する必要があります。,ES2003c.D.argumentstructs.Erik.10,"ES2003c.B.argumentstructs.Erik.11, ES2003c.C.argumentstructs.Erik.15"
ES2003c.C.argumentstructs.32,C,2063.12,2063.67,違う。,NONE,NONE
ES2003c.D.argumentstructs.Erik.11,D,2065.65,2066.49,はい、そうです。,ES2003c.B.argumentstructs.Erik.11,NONE
ES2003c.B.argumentstructs.Erik.11,B,2068.26,2076.4,よく分かりませんが、USB の追加コストが法外に高いのではないかと考えています。それが理にかなっているかどうかは分かりません。,ES2003c.B.argumentstructs.Erik.10,"ES2003c.D.argumentstructs.Erik.11, ES2003c.A.argumentstructs.Erik.12"
ES2003c.A.argumentstructs.Erik.12,A,2074.31,2074.7,うーん。,ES2003c.B.argumentstructs.Erik.11,NONE
ES2003c.C.argumentstructs.Erik.15,C,2076.84,2086.27,しかし、何らかのフラッシュ メモリか何かが必要になります。フラッシュ メモリがなければ、電池を交換したり、電源をオフにしたりしても、すべてをやり直す必要はありません。,ES2003c.B.argumentstructs.Erik.10,"ES2003c.A.argumentstructs.Erik.13, ES2003c.A.argumentstructs.Erik.14"
ES2003c.A.argumentstructs.32,A,2076.91,2078.21,ええ、つまり,NONE,NONE
ES2003c.A.argumentstructs.Erik.13,A,2082.38,2082.83,うん。,ES2003c.C.argumentstructs.Erik.15,NONE
ES2003c.A.argumentstructs.Erik.14,A,2085.33,2113.636,そうですね。もう1つは、とにかく何らかのオンボードメモリが必要になるということです。まず1つは、メニューシステムは、ええと、ええと、つまり、1つのデバイスを制御するだけであればそれほど複雑にはならないと思いますが、メニューシステムは、ええと、カスタマイズ可能であるべきであり、ええと、,ES2003c.C.argumentstructs.Erik.15,"ES2003c.C.argumentstructs.Erik.16, ES2003c.C.argumentstructs.Erik.17, ES2003c.A.argumentstructs.Erik.16"
ES2003c.C.argumentstructs.Erik.16,C,2093.24,2093.67,うん。,ES2003c.A.argumentstructs.Erik.14,NONE
ES2003c.C.argumentstructs.Erik.17,C,2113.12,2117.13,異なる言語、異なるスキンなど。,ES2003c.A.argumentstructs.Erik.14,"ES2003c.B.argumentstructs.Erik.12, ES2003c.A.argumentstructs.Erik.15"
ES2003c.B.argumentstructs.Erik.12,B,2115.93,2117.34,うんうん。,ES2003c.C.argumentstructs.Erik.17,NONE
ES2003c.A.argumentstructs.Erik.15,A,2116.71,2117.53,うんうん。,ES2003c.C.argumentstructs.Erik.17,NONE
ES2003c.B.argumentstructs.24,B,2117.34,2117.64,わ,NONE,NONE
ES2003c.A.argumentstructs.Erik.16,A,2117.53,2127.2,たくさんのチャンネルがある場合に、チャンネルを切り替えるためのメニュー構造をどうしたいか、といったことです。,ES2003c.A.argumentstructs.Erik.14,"ES2003c.C.argumentstructs.Erik.18, ES2003c.B.argumentstructs.Erik.13, ES2003c.C.argumentstructs.Erik.19, ES2003c.C.argumentstructs.Erik.20"
ES2003c.C.argumentstructs.Erik.18,C,2125.38,2132.25,確かに。さまざまな言語などでカスタマイズ可能であれば、国際的になるはずですよね？ そうですね。,ES2003c.A.argumentstructs.Erik.16,ES2003c.B.argumentstructs.Erik.14
ES2003c.B.argumentstructs.Erik.13,B,2132.94,2144.13,それは理にかなっていると思います。そう言うでしょう。そして時間にも注意した方がいいでしょう。すでに5分の警告が出ていますから。ええと、そうだと思います。,ES2003c.A.argumentstructs.Erik.16,NONE
ES2003c.C.argumentstructs.Erik.19,C,2134.17,2135.487,もしそれができたら意味があるだろう,ES2003c.A.argumentstructs.Erik.16,NONE
ES2003c.C.argumentstructs.Erik.20,C,2139.13,2139.41,わかった。,ES2003c.A.argumentstructs.Erik.16,NONE
ES2003c.B.argumentstructs.Erik.14,B,2145.85,2147.67,国際的であれば意味があるでしょう。,ES2003c.C.argumentstructs.Erik.18,ES2003c.A.argumentstructs.Erik.17
ES2003c.A.argumentstructs.Erik.17,A,2158.02,2158.52,うん。,ES2003c.B.argumentstructs.Erik.14,NONE
ES2003c.B.argumentstructs.25,B,2163.14,2165.28,うーん、どうなるか見てみましょう。うーん。,NONE,NONE
