ae_id,speaker,start_time,end_time,sentence,source,targets
ES2003d.C.argumentstructs.88,C,1441.99,1446.89,それはまた良いですね。より正確な数字です。,NONE,NONE
ES2003d.C.argumentstructs.Erik.52,C,1446.89,1456.273,技術的に革新的です。そうですね、ロケーターのようなものをなくしています。,NONE,"ES2003d.B.argumentstructs.Erik.48, ES2003d.A.argumentstructs.Erik.19, ES2003d.D.argumentstructs.Erik.18, ES2003d.C.argumentstructs.Erik.55"
ES2003d.B.argumentstructs.Erik.48,B,1452.52,1453.45,それは残念なことだ。,ES2003d.C.argumentstructs.Erik.52,NONE
ES2003d.A.argumentstructs.Erik.19,A,1454.32,1458.97,うーん。この点に関しては3点を付けます。,ES2003d.C.argumentstructs.Erik.52,ES2003d.A.argumentstructs.Erik.20
ES2003d.D.argumentstructs.Erik.18,D,1455.7,1457.12,文字放送は必要ありません。,ES2003d.C.argumentstructs.Erik.52,ES2003d.C.argumentstructs.Erik.53
ES2003d.C.argumentstructs.89,C,1458.896,1458.896,。,NONE,NONE
ES2003d.A.argumentstructs.Erik.20,A,1458.97,1471.8,そうですね。メニューというのは、リモコンでは通常見られないものですが、他の多くの場所では見られます。,ES2003d.A.argumentstructs.Erik.19,ES2003d.C.argumentstructs.Erik.54
ES2003d.C.argumentstructs.Erik.53,C,1460.09,1460.32,そうだ。,ES2003d.D.argumentstructs.Erik.18,NONE
ES2003d.C.argumentstructs.Erik.54,C,1472.2,1479.488,そうです、携帯電話です。テレビのメニューをリモコンに移すのですから、,ES2003d.A.argumentstructs.Erik.20,ES2003d.A.argumentstructs.Erik.21
ES2003d.B.argumentstructs.76,B,1474.09,1474.83,うーん。,NONE,NONE
ES2003d.A.argumentstructs.Erik.21,A,1479.86,1480.42,うんうん。,ES2003d.C.argumentstructs.Erik.54,NONE
ES2003d.C.argumentstructs.Erik.55,C,1480.61,1483.83,3 つだって？ 2 つまで行くかもしれない。3 つ。,ES2003d.C.argumentstructs.Erik.52,"ES2003d.A.argumentstructs.Erik.22, ES2003d.B.argumentstructs.Erik.49"
ES2003d.A.argumentstructs.Erik.22,A,1484.61,1485.62,私は3点を付けます。,ES2003d.C.argumentstructs.Erik.55,NONE
ES2003d.B.argumentstructs.Erik.49,B,1484.85,1487.31,そうですね、3つは誘惑されそうですね。,ES2003d.C.argumentstructs.Erik.55,ES2003d.C.argumentstructs.Erik.56
ES2003d.C.argumentstructs.Erik.56,C,1486.49,1487.31,3つ。わかりました。,ES2003d.B.argumentstructs.Erik.49,ES2003d.C.argumentstructs.Erik.57
ES2003d.C.argumentstructs.Erik.57,C,1489.87,1490.53,わかった。,ES2003d.C.argumentstructs.Erik.56,NONE
