ae_id,speaker,start_time,end_time,sentence,source,targets
ES2003d.B.argumentstructs.60,B,616.92,619.82,わかった。,NONE,NONE
ES2003d.B.argumentstructs.Erik.4,B,619.82,650.21,ちょっとした問題がありました。私たちがやろうとしていたことに対して、なんと 4 ユーロも予算オーバーしてしまったのです。その大半は L_C_D_ の使用によるもので、もちろんチップも必要だったので、最終的には支出の約半分を占めたと思います。この金額を削減する唯一の方法は、L_C_D_ を捨てるか、または L_C_D_ を捨てるかのどちらかでした。その場合、インターフェイスの大部分が削除され、より多くのボタンなどが必要になります。,NONE,"ES2003d.B.argumentstructs.Erik.5, ES2003d.B.argumentstructs.Erik.6, ES2003d.B.argumentstructs.Erik.8, ES2003d.C.argumentstructs.Erik.15, ES2003d.B.argumentstructs.Erik.13, ES2003d.B.argumentstructs.Erik.14, ES2003d.C.argumentstructs.Erik.24"
ES2003d.B.argumentstructs.Erik.5,B,652.08,687.12,あるいは、私たちがやったことは、つまり、私が簡単に説明していたように、実際の構造を変更することでした。それをプラスチックと、単一の曲線デザインのソリッドユニットに変更することで、提案されたコストに戻すことができ、なんとかそれをやりくりしています。そこには200ユーロの0.2％が残っています。だから、私たちは本当にそれをやりくりしているだけです。それでも、ジョイスティックの技術的に定義された基準はなかったので、私は適切だと思うものを使用しました。運が良ければ、実際に支払える以上のコストがかかることにはなりません。,ES2003d.B.argumentstructs.Erik.4,NONE
ES2003d.B.argumentstructs.Erik.6,B,689.82,699.4,それは、私たちの本当に良いアイデアの多くを少しばかり脇に追いやってしまうのです。例えば、USB 接続の可能性は、今のところ間違いなく実現可能ではありません。うーん。,ES2003d.B.argumentstructs.Erik.4,ES2003d.C.argumentstructs.Erik.12
ES2003d.C.argumentstructs.Erik.12,C,700.45,701.37,異なる言語ですか?,ES2003d.B.argumentstructs.Erik.6,ES2003d.B.argumentstructs.Erik.7
ES2003d.B.argumentstructs.Erik.7,B,702.23,711.79,それはまだ実行可能であるはずです。私たちは高度なチップを持っており、L_C_D_ を使用することができます。したがって、複数の言語で通信できることは依然として十分に可能です。,ES2003d.C.argumentstructs.Erik.12,NONE
ES2003d.C.argumentstructs.Erik.13,C,706.77,706.93,うん。,ES2003d.B.argumentstructs.Erik.8,NONE
ES2003d.B.argumentstructs.Erik.8,B,711.79,722.65,うーん、でもこれからどうしていくかは決めなければなりません。必要に応じて他の人と一緒に続けられるようなアイデアを考え出す必要があります。,ES2003d.B.argumentstructs.Erik.4,"ES2003d.C.argumentstructs.Erik.13, ES2003d.B.argumentstructs.Erik.9"
ES2003d.B.argumentstructs.61,B,722.65,723.33,えーと。,NONE,NONE
ES2003d.B.argumentstructs.Erik.9,B,725.19,746.24,ご希望であれば、エクセルのシートを開いてお見せすることもできます。私が本当に残念に思うのは、プラスチックと何らかの頑丈なデザインを採用する必要があるかもしれないということです。つまり、L_C_D_ が完璧な位置にない可能性があるということです。左利きに適したものと右利きに適したものの間で少し行き詰まっている可能性があります。,ES2003d.B.argumentstructs.Erik.8,"ES2003d.A.argumentstructs.Erik.6, ES2003d.B.argumentstructs.Erik.11"
