ae_id,speaker,start_time,end_time,sentence,source,targets
ES2004b.B.argumentstructs.39,B,1844.07,1861.23,うーん。でも、マニュアルはできるだけユーザーフレンドリーにすることに重点を置くべきです。なぜなら、マニュアルの多くは、ほんの小さな文章とたくさんのページからなるものだからです。何か問題が起きるまでは引き出しにしまっておいて、それから中を探そうとするだけなので、その点は考慮する必要があります。,NONE,NONE
ES2004b.A.argumentstructs.19,A,1847.51,1901.39,シンプルですね。そうですね。,NONE,NONE
ES2004b.D.argumentstructs.29,D,1848.6,1860.28,うーん。人々はそれを読むのを嫌がるので、当然のことをするだけです。はい、わかりました。,NONE,NONE
ES2004b.C.argumentstructs.36,C,1854.42,1854.87,うん。,NONE,NONE
ES2004b.B.argumentstructs.Erik.17,B,1861.23,1879.22,えーと、他の機能には何がありますか? 今すぐ設計上の決定が必要かどうかはわかりませんが、バッテリーについて考える必要があります。それが私が考えていたことです。携帯電話のバッテリー、それはどのようなバッテリーですか?,NONE,ES2004b.C.argumentstructs.Erik.20
ES2004b.C.argumentstructs.Erik.20,C,1879.56,1889.877,ええと、携帯電話用に特別に作られていますが、充電器が付属しています。つまり、充電器を同梱することもできますが,ES2004b.B.argumentstructs.Erik.17,ES2004b.B.argumentstructs.Erik.18
ES2004b.B.argumentstructs.Erik.18,B,1888.54,1910.03,まあ、かなり長持ちしますし、携帯電話に付属しているものを持っていたら、使っていないときや夜間などに充電器に置いておくことになりますが、充電すれば長持ちするので、電池が切れることはありませんので、あまり問題にはなりません。そういうものがあれば、サイズも小さくなるはずです。,ES2004b.C.argumentstructs.Erik.20,"ES2004b.C.argumentstructs.Erik.21, ES2004b.C.argumentstructs.Erik.22, ES2004b.A.argumentstructs.Erik.8"
ES2004b.C.argumentstructs.37,C,1891.37,1891.86,うんうん。,NONE,NONE
ES2004b.C.argumentstructs.Erik.21,C,1897.23,1897.87,うん。,ES2004b.B.argumentstructs.Erik.18,NONE
ES2004b.C.argumentstructs.38,C,1900.46,1905.32,ええ、ええ。,NONE,NONE
ES2004b.C.argumentstructs.Erik.22,C,1909.09,1917.344,ええ、もしあなたがもしそのようなものを持っていたら、ええと、先ほどのあなたのポイントに戻りますが、ボタンを押して部屋のブザーを鳴らすと、ええと,ES2004b.B.argumentstructs.Erik.18,ES2004b.B.argumentstructs.Erik.19
ES2004b.B.argumentstructs.Erik.19,B,1918.2,1921.07,ええ、それはその通りかもしれません。,ES2004b.C.argumentstructs.Erik.22,ES2004b.C.argumentstructs.Erik.23
ES2004b.C.argumentstructs.Erik.23,C,1919.28,1920.56,そうですね、それについてもそうです。,ES2004b.B.argumentstructs.Erik.19,NONE
ES2004b.B.argumentstructs.40,B,1922.51,1922.83,S,NONE,NONE
ES2004b.A.argumentstructs.Erik.8,A,1922.53,1926.16,ということは、リモコンで充電できる何かというコンセプトについて話しているのでしょうか?,ES2004b.B.argumentstructs.Erik.18,"ES2004b.C.argumentstructs.Erik.24, ES2004b.B.argumentstructs.Erik.20"
ES2004b.C.argumentstructs.Erik.24,C,1925.52,1929.7,ああ、ドッキングステーションか何かか。,ES2004b.A.argumentstructs.Erik.8,NONE
ES2004b.B.argumentstructs.Erik.20,B,1926.1,1926.66,はい。,ES2004b.A.argumentstructs.Erik.8,ES2004b.B.argumentstructs.Erik.21
ES2004b.B.argumentstructs.Erik.21,B,1927.73,1929.46,ドッキングステーションで充電可能。,ES2004b.B.argumentstructs.Erik.20,ES2004b.B.argumentstructs.Erik.22
ES2004b.A.argumentstructs.20,A,1927.74,1928.16,うんうん。,NONE,NONE
ES2004b.B.argumentstructs.41,B,1930.74,1932.61,充電式なら,NONE,NONE
ES2004b.C.argumentstructs.Erik.25,C,1933.38,1939.63,ああ、そうだね、それはいいことだし、そうすれば電池を買いに出かける必要がなくなるしね。,ES2004b.B.argumentstructs.Erik.22,"ES2004b.B.argumentstructs.Erik.23, ES2004b.B.argumentstructs.Erik.24"
ES2004b.B.argumentstructs.Erik.22,B,1934.02,1934.38,分野。,ES2004b.B.argumentstructs.Erik.21,ES2004b.C.argumentstructs.Erik.25
ES2004b.B.argumentstructs.Erik.23,B,1936.13,1936.67,わかった。,ES2004b.C.argumentstructs.Erik.25,NONE
ES2004b.B.argumentstructs.Erik.24,B,1939.52,1942.91,はい、長期的には安く済みます,ES2004b.C.argumentstructs.Erik.25,NONE
ES2004b.B.argumentstructs.42,B,1959.5,1962.45,どれだけシンプルにしようと努力するか,NONE,NONE
