ae_id,speaker,start_time,end_time,sentence,source,targets
ES2004b.D.argumentstructs.22,D,1522.11,1528.75,最初に、ここでの調査結果を見て、焦点を当てる必要がありますか？,NONE,NONE
ES2004b.D.argumentstructs.Erik.8,D,1530.2,1537.57,最初は若い年齢層を対象とし、その後市場を拡大します。本当にすぐに全員を対象にする必要があるのでしょうか?,NONE,"ES2004b.A.argumentstructs.Erik.6, ES2004b.D.argumentstructs.Erik.9, ES2004b.B.argumentstructs.Erik.10"
ES2004b.C.argumentstructs.32,C,1537.12,1541.43,うーん。ええと,NONE,NONE
ES2004b.A.argumentstructs.Erik.6,A,1537.5,1539.4,最大の市場に焦点を当てることができました。,ES2004b.D.argumentstructs.Erik.8,ES2004b.A.argumentstructs.Erik.7
ES2004b.D.argumentstructs.23,D,1537.57,1540.2,うーん。うーん。,NONE,NONE
ES2004b.A.argumentstructs.Erik.7,A,1540.4,1543.64,たとえば、20 歳から 35 歳の年齢層が最大の市場だとするとどうでしょうか?,ES2004b.A.argumentstructs.Erik.6,NONE
ES2004b.D.argumentstructs.Erik.9,D,1542.65,1547.87,そして、私たちがアイデアを出すとき、自動的にビジネスマン、若者、流行に敏感な人々について話すことになります。,ES2004b.D.argumentstructs.Erik.8,NONE
ES2004b.B.argumentstructs.37,B,1561.79,1579.83,それを年上の世代と関連付けるのです。ベビーブーマー世代は実際は私たち若者よりも人口が多く、年上の世代の方が人口が多いのですが、私たちはそれに焦点を当てているのではなく、中間層に焦点を当てていると思います。,NONE,NONE
ES2004b.C.argumentstructs.Erik.11,C,1571.95,1572.37,うん。,ES2004b.B.argumentstructs.Erik.10,NONE
ES2004b.A.argumentstructs.17,A,1572.74,1573.04,うんうん。,NONE,NONE
ES2004b.D.argumentstructs.24,D,1573.94,1579.18,うーん。,NONE,NONE
ES2004b.B.argumentstructs.Erik.10,B,1581.24,1583.61,ビジネス系のクラスタイプの人。,ES2004b.D.argumentstructs.Erik.8,ES2004b.C.argumentstructs.Erik.11
