ae_id,speaker,start_time,end_time,sentence,source,targets
ES2004b.B.argumentstructs.Erik.11,B,1604.71,1623.92,はい、リモコンの機能です。テレビとビデオがあります。あと、番組の詳細の最後にある小さなコード、名前は思い出せませんが、あります。,NONE,"ES2004b.C.argumentstructs.Erik.12, ES2004b.B.argumentstructs.Erik.12"
ES2004b.A.argumentstructs.18,A,1612.5,1636.89,うんうん。うんうん。,NONE,NONE
ES2004b.C.argumentstructs.Erik.12,C,1622.4,1623.51,ビデオプラス。,ES2004b.B.argumentstructs.Erik.11,NONE
ES2004b.B.argumentstructs.Erik.12,B,1625.8,1658.77,これを、時間などのプログラミングの代わりとして使うことができます。私がこれを発見したとき、とても簡単だと思いました。なぜなら、とにかく一般的な記録を持っているので、録画したい番組がある場合は問題ありませんが、2日後に何かを録画したいが、録画するかどうかわからない場合は、番号を入力します。これは単なる番号で、日付でも、時間でも、チャンネルでも、終了時間でもなく、そのようなものではなく、単なる番号です。,ES2004b.B.argumentstructs.Erik.11,"ES2004b.C.argumentstructs.Erik.13, ES2004b.C.argumentstructs.Erik.14, ES2004b.D.argumentstructs.Erik.10, ES2004b.C.argumentstructs.Erik.18, ES2004b.C.argumentstructs.Erik.19"
ES2004b.C.argumentstructs.Erik.13,C,1631.98,1633.15,ええ、ええ。,ES2004b.B.argumentstructs.Erik.12,NONE
ES2004b.D.argumentstructs.25,D,1635.41,1635.6,うーん。,NONE,NONE
ES2004b.C.argumentstructs.Erik.14,C,1647.81,1649.11,数字を入力するだけです。,ES2004b.B.argumentstructs.Erik.12,ES2004b.C.argumentstructs.Erik.15
ES2004b.C.argumentstructs.33,C,1657.68,1658.94,うん。,NONE,NONE
ES2004b.C.argumentstructs.Erik.15,C,1658.94,1665.55,そして、そのためにたくさんの追加ボタンは必要ありません。とにかく、そこにすべての数字がすでにあるので、必要なのは 1 つのボタンだけです。,ES2004b.C.argumentstructs.Erik.14,ES2004b.B.argumentstructs.Erik.13
ES2004b.B.argumentstructs.Erik.13,B,1662.48,1666.41,いいえ。いずれにしても、入力するための数字はすでにあります。,ES2004b.C.argumentstructs.Erik.15,NONE
ES2004b.D.argumentstructs.Erik.10,D,1665.69,1670.39,そうですね、その機能に出会ったことはありませんが、素晴らしい機能ですね。,ES2004b.B.argumentstructs.Erik.12,ES2004b.B.argumentstructs.Erik.14
ES2004b.B.argumentstructs.Erik.14,B,1669.4,1694.55,新聞やテレビガイドなどを見ると、その後に5桁か6桁の数字が書いてあって、その数字を入力すると、17日の火曜日の10時に放送されると記録されるので、日付や時間を気にする必要がなく、かなり長い間続いているんです。,ES2004b.D.argumentstructs.Erik.10,"ES2004b.C.argumentstructs.Erik.16, ES2004b.D.argumentstructs.Erik.11, ES2004b.C.argumentstructs.Erik.17, ES2004b.D.argumentstructs.Erik.12"
ES2004b.C.argumentstructs.34,C,1671.85,1672.44,そうではありません,NONE,NONE
ES2004b.C.argumentstructs.Erik.16,C,1675.91,1676.4,うん。,ES2004b.B.argumentstructs.Erik.14,NONE
ES2004b.D.argumentstructs.26,D,1679.6,1680.27,ああ、うーん。,NONE,NONE
ES2004b.D.argumentstructs.Erik.11,D,1690.16,1690.56,右。,ES2004b.B.argumentstructs.Erik.14,NONE
ES2004b.C.argumentstructs.Erik.17,C,1693.47,1699.12,長い間存在していますが、使い方などについてはあまり宣伝されていません。,ES2004b.B.argumentstructs.Erik.14,ES2004b.B.argumentstructs.Erik.15
ES2004b.B.argumentstructs.Erik.15,B,1697.12,1702.881,いや、そうではないけど、もしそのことについての認識が前面に出されれば,ES2004b.C.argumentstructs.Erik.17,NONE
ES2004b.D.argumentstructs.Erik.12,D,1698.1,1698.61,素晴らしい。,ES2004b.B.argumentstructs.Erik.14,NONE
ES2004b.D.argumentstructs.27,D,1700.76,1701.18,うーん。,NONE,NONE
ES2004b.C.argumentstructs.35,C,1702.08,1703.3,うーん。,NONE,NONE
ES2004b.D.argumentstructs.Erik.13,D,1702.49,1703.17,はい。,ES2004b.C.argumentstructs.Erik.18,NONE
ES2004b.C.argumentstructs.Erik.18,C,1703.3,1714.57,ただし、Sky のようなものをお持ちの場合は、それをクリックするだけで、番組のボタンを 1 回押すだけで、その番組がオンになっているときに録画され、2 回押すとシリーズ全体が録画されます。,ES2004b.B.argumentstructs.Erik.12,ES2004b.D.argumentstructs.Erik.13
ES2004b.B.argumentstructs.38,B,1711.46,1711.79,うーん。,NONE,NONE
ES2004b.D.argumentstructs.28,D,1711.5,1718.01,そうですね。素晴らしい、そうか。うーん。,NONE,NONE
ES2004b.C.argumentstructs.Erik.19,C,1716.08,1722.03,そうですね。でも、その機能があれば本当に良いと思います。,ES2004b.B.argumentstructs.Erik.12,"ES2004b.D.argumentstructs.Erik.14, ES2004b.B.argumentstructs.Erik.16"
ES2004b.D.argumentstructs.Erik.14,D,1720.74,1721.28,右。,ES2004b.C.argumentstructs.Erik.19,NONE
ES2004b.B.argumentstructs.Erik.16,B,1722.21,1722.992,さて,ES2004b.C.argumentstructs.Erik.19,NONE
