ae_id,speaker,start_time,end_time,sentence,source,targets
ES2004c.D.argumentstructs.12,D,1152.1,1159.44,落としてしまうと、簡単に傷が付いてしまいます。私自身もチタン製の携帯電話を持っていますが、落とすとすぐに傷が付いてしまいます。,NONE,NONE
ES2004c.C.argumentstructs.24,C,1152.43,1158.51,リモコン用。うんうん。,NONE,NONE
ES2004c.D.argumentstructs.Erik.6,D,1159.44,1169.79,基本的な型をプラスチックで作って、その上にゴム製のカバーをかぶせたら、スポンジのような感触になり、携帯電話の外装を少し変えることもできるのではないかと思いました。,NONE,"ES2004c.C.argumentstructs.Erik.14, ES2004c.C.argumentstructs.Erik.15, ES2004c.B.argumentstructs.Erik.13"
ES2004c.C.argumentstructs.Erik.14,C,1163.88,1165.12,ゴム、そうだね。,ES2004c.D.argumentstructs.Erik.6,NONE
ES2004c.C.argumentstructs.Erik.15,C,1168.63,1170.09,はい、剥がすこともできます。,ES2004c.D.argumentstructs.Erik.6,NONE
ES2004c.B.argumentstructs.Erik.13,B,1169.94,1180.85,つまり、外れる筋膜がプラスチックではなく、グリップ付きのペンのようにゴム製の筋膜であれば、それを引っ張って外すことができます。,ES2004c.D.argumentstructs.Erik.6,"ES2004c.A.argumentstructs.Erik.6, ES2004c.D.argumentstructs.Erik.7, ES2004c.C.argumentstructs.Erik.16, ES2004c.A.argumentstructs.Erik.8, ES2004c.D.argumentstructs.Erik.8, ES2004c.B.argumentstructs.Erik.15"
ES2004c.A.argumentstructs.Erik.6,A,1169.98,1170.21,うん。,ES2004c.B.argumentstructs.Erik.13,NONE
ES2004c.D.argumentstructs.Erik.7,D,1174.31,1176.01,ほとんどゴムスリーブみたいなものですね。,ES2004c.B.argumentstructs.Erik.13,NONE
ES2004c.C.argumentstructs.Erik.16,C,1176.03,1176.74,うん。,ES2004c.B.argumentstructs.Erik.13,NONE
ES2004c.A.argumentstructs.Erik.7,A,1176.08,1177.18,たとえば,NONE,NONE
ES2004c.C.argumentstructs.25,C,1178.32,1184.91,うん。うーん。T,NONE,NONE
ES2004c.D.argumentstructs.13,D,1178.54,1181.26,うーん。うーん。,NONE,NONE
ES2004c.A.argumentstructs.Erik.8,A,1178.63,1180.68,わかりました。それは良い考えかもしれません。,ES2004c.B.argumentstructs.Erik.13,ES2004c.A.argumentstructs.Erik.9
ES2004c.A.argumentstructs.Erik.9,A,1181.92,1183.95,握るのも快適かもしれません。,ES2004c.A.argumentstructs.Erik.8,ES2004c.B.argumentstructs.Erik.14
ES2004c.B.argumentstructs.Erik.14,B,1182.08,1182.52,わかった。,ES2004c.A.argumentstructs.Erik.9,NONE
ES2004c.B.argumentstructs.21,B,1183.71,1184.1,うーん。,NONE,NONE
ES2004c.D.argumentstructs.Erik.8,D,1184.63,1188.37,見た目を変えるには非常に安価な方法であり、必要に応じて新しいものを購入することもできます。,ES2004c.B.argumentstructs.Erik.13,ES2004c.C.argumentstructs.Erik.17
ES2004c.C.argumentstructs.Erik.17,C,1187.76,1188.24,うん。,ES2004c.D.argumentstructs.Erik.8,NONE
ES2004c.B.argumentstructs.Erik.15,B,1188.72,1192.63,まあ、それは携帯電話で本当に人気があったので、なぜダメなのかわかりません。,ES2004c.B.argumentstructs.Erik.13,ES2004c.D.argumentstructs.Erik.9
ES2004c.D.argumentstructs.Erik.9,D,1191.82,1193.2,うーん、そうだね,ES2004c.B.argumentstructs.Erik.15,NONE
ES2004c.D.argumentstructs.14,D,1193.2,1193.2,。,NONE,NONE
