ae_id,speaker,start_time,end_time,sentence,source,targets
ES2005c.A.argumentstructs.27,A,1059.03,1094.7,ええと、先ほど言ったように、外側のケースは用意しました。これをどうするか決めなければなりません。基本的に同じセットアップのボードを使用する必要があります。プロセッサは、おそらく彼らが持っていたものよりも高度なプロセッサを使用します。アンプとトランスミッターはすべて標準です。ケースについては、これは製造チームから受け取った電子メールです。木材、チタン、ゴム、プラスチックなど、ラテックス、二重湾曲、湾曲など、さまざまなオプションがあります。,NONE,NONE
ES2005c.A.argumentstructs.Erik.4,A,1095.89,1097.74,選択肢はたくさんありますが、どう思いますか？,NONE,"ES2005c.A.argumentstructs.Erik.5, ES2005c.C.argumentstructs.Erik.8, ES2005c.D.argumentstructs.Erik.13"
ES2005c.C.argumentstructs.43,C,1096.18,1099.68,「わかった。そうだな」,NONE,NONE
ES2005c.A.argumentstructs.Erik.5,A,1099.15,1103.935,えっと、スポンジは、そこには載ってないと思います。オーガニックスポンジです。,ES2005c.A.argumentstructs.Erik.4,ES2005c.D.argumentstructs.Erik.11
ES2005c.D.argumentstructs.Erik.11,D,1101.02,1104.16,うーん。スポンジについてはよく分かりません。,ES2005c.A.argumentstructs.Erik.5,NONE
ES2005c.C.argumentstructs.Erik.8,C,1101.57,1105.61,そうですね、ラテックスってちょっとスポンジみたいな感じですよね。,ES2005c.A.argumentstructs.Erik.4,ES2005c.A.argumentstructs.Erik.6
ES2005c.A.argumentstructs.Erik.6,A,1105.7,1107.75,ええ、確かにとても弾力性があります。,ES2005c.C.argumentstructs.Erik.8,ES2005c.C.argumentstructs.Erik.9
ES2005c.C.argumentstructs.44,C,1107.83,1110.78,うん。そうすれば耐久性も増すし,NONE,NONE
ES2005c.D.argumentstructs.Erik.12,D,1108.0,1108.33,うん。,ES2005c.C.argumentstructs.Erik.9,NONE
ES2005c.D.argumentstructs.46,D,1111.48,1112.03,うん。,NONE,NONE
ES2005c.C.argumentstructs.Erik.9,C,1112.04,1123.21,それに、鋳造も比較的安価です。つまり、最初はプラスチックでできていて、その後ラテックスのような鞘がついたものなのでしょうか?,ES2005c.A.argumentstructs.Erik.6,"ES2005c.D.argumentstructs.Erik.12, ES2005c.A.argumentstructs.Erik.7"
ES2005c.A.argumentstructs.28,A,1123.49,1125.67,さて、ここにプラスチックがあります。,NONE,NONE
ES2005c.A.argumentstructs.Erik.7,A,1127.12,1128.624,ああ、ラテックス,ES2005c.C.argumentstructs.Erik.9,NONE
ES2005c.D.argumentstructs.Erik.13,D,1129.01,1136.432,私はゴム製のストレスボールが好きです。これはちょっとした仕掛けになると思います。握って、,ES2005c.A.argumentstructs.Erik.4,"ES2005c.C.argumentstructs.Erik.10, ES2005c.A.argumentstructs.Erik.8, ES2005c.C.argumentstructs.Erik.11, ES2005c.A.argumentstructs.Erik.9"
ES2005c.C.argumentstructs.Erik.10,C,1132.36,1132.98,ああ、そうだね。,ES2005c.D.argumentstructs.Erik.13,NONE
ES2005c.A.argumentstructs.Erik.8,A,1134.58,1135.11,ああそうだ。,ES2005c.D.argumentstructs.Erik.13,NONE
ES2005c.C.argumentstructs.Erik.11,C,1134.68,1136.255,それが何なのか分かりません。,ES2005c.D.argumentstructs.Erik.13,NONE
ES2005c.A.argumentstructs.Erik.9,A,1137.03,1140.63,それで、何かそれを与えるもの。わかりました。,ES2005c.D.argumentstructs.Erik.13,"ES2005c.C.argumentstructs.Erik.12, ES2005c.D.argumentstructs.Erik.14, ES2005c.D.argumentstructs.Erik.15"
ES2005c.C.argumentstructs.Erik.12,C,1138.63,1139.06,うん。,ES2005c.A.argumentstructs.Erik.9,NONE
ES2005c.D.argumentstructs.Erik.14,D,1138.71,1139.08,うん。,ES2005c.A.argumentstructs.Erik.9,NONE
ES2005c.D.argumentstructs.Erik.15,D,1140.56,1143.47,そして、それはかなり耐久性があり、簡単に投げ飛ばされるかもしれません。,ES2005c.A.argumentstructs.Erik.9,NONE
ES2005c.A.argumentstructs.29,A,1140.63,1141.64,そして,NONE,NONE
