ae_id,speaker,start_time,end_time,sentence,source,targets
ES2005c.B.argumentstructs.17,B,1592.33,1594.65,私たちにできることは一つあります。,NONE,NONE
ES2005c.B.argumentstructs.Erik.3,B,1594.65,1615.43,リモコンと様々な形のケース、様々なフルーツの形を用意すれば、どんなケースでもこの携帯の一般的な部品にフィットさせることができます。つまり、人々が望むものは何でも、例えばバナナの形が欲しい人がいれば、そのケースを携帯電話に取り付ければ、見た目は良くなります。,NONE,"ES2005c.C.argumentstructs.Erik.17, ES2005c.D.argumentstructs.Erik.22, ES2005c.D.argumentstructs.Erik.26"
ES2005c.D.argumentstructs.49,D,1601.08,1613.74,うんうん。うんうん。うんうん。,NONE,NONE
ES2005c.C.argumentstructs.Erik.17,C,1613.33,1614.93,それで、ケースの選択です。,ES2005c.B.argumentstructs.Erik.3,NONE
ES2005c.B.argumentstructs.18,B,1615.43,1617.45,ああ、そうだ。,NONE,NONE
ES2005c.D.argumentstructs.Erik.22,D,1616.84,1618.95,ええ、使い捨てって言ったでしょ？,ES2005c.B.argumentstructs.Erik.3,"ES2005c.C.argumentstructs.Erik.18, ES2005c.B.argumentstructs.Erik.4"
ES2005c.C.argumentstructs.Erik.18,C,1616.89,1619.706,それはマーケティングに合っているような気がする,ES2005c.D.argumentstructs.Erik.22,NONE
ES2005c.B.argumentstructs.Erik.4,B,1618.76,1620.27,すみません？,ES2005c.D.argumentstructs.Erik.22,ES2005c.D.argumentstructs.Erik.23
ES2005c.D.argumentstructs.Erik.23,D,1620.37,1625.44,使い捨てについて先ほどおっしゃいましたが、人々は使い捨てのものを望んでいるので、私たちには選択肢があるように、そうすることができるのです。,ES2005c.B.argumentstructs.Erik.4,ES2005c.B.argumentstructs.Erik.5
ES2005c.B.argumentstructs.Erik.5,B,1623.72,1656.34,えっと、これが携帯電話だとしたら、半分だけカバーする形でケースをデザインします。完全なカバーは必要なく、半分だけカバーします。バナナの形がほしいという人がいれば、バナナの形をしたケースをその上に取り付けます。そうすれば、バナナの形になります。リンゴの形がほしいという人がいれば、それをデザインして、リンゴの形をしたケースをその上に取り付けます。そうすれば、リンゴの形になります。このようにして、何でも、つまり、何でも好きなようにできます。,ES2005c.D.argumentstructs.Erik.23,"ES2005c.D.argumentstructs.Erik.24, ES2005c.C.argumentstructs.Erik.19"
ES2005c.D.argumentstructs.Erik.24,D,1633.09,1633.48,うん。,ES2005c.B.argumentstructs.Erik.5,NONE
ES2005c.C.argumentstructs.Erik.19,C,1635.35,1636.81,ええ、携帯電話みたいなものですね。,ES2005c.B.argumentstructs.Erik.5,ES2005c.D.argumentstructs.Erik.25
ES2005c.D.argumentstructs.Erik.25,D,1636.48,1636.89,うん。,ES2005c.C.argumentstructs.Erik.19,NONE
ES2005c.D.argumentstructs.50,D,1650.81,1651.16,わかった。,NONE,NONE
ES2005c.D.argumentstructs.Erik.26,D,1654.47,1659.06,わかりました。でも、ボタンは同じ場所に置く必要がありますよね？,ES2005c.B.argumentstructs.Erik.3,ES2005c.B.argumentstructs.Erik.6
ES2005c.B.argumentstructs.Erik.6,B,1658.22,1686.576,はい、ボタンは上側にあります。ボタンは上側にあります。下側にはケースを付けるだけです。その半分は上側ではありません。つまり、下側から見ると、この側から持っている間、バナナやリンゴのように見えることができます。このように、さまざまな形の携帯電話を用意する必要はありません。ケースをフルーツの形にデザインするだけです。,ES2005c.D.argumentstructs.Erik.26,"ES2005c.C.argumentstructs.Erik.20, ES2005c.D.argumentstructs.Erik.27, ES2005c.D.argumentstructs.Erik.28, ES2005c.C.argumentstructs.Erik.21"
ES2005c.C.argumentstructs.Erik.20,C,1659.06,1660.6,つまり、それらを標準化できるのです。,ES2005c.B.argumentstructs.Erik.6,NONE
ES2005c.D.argumentstructs.Erik.27,D,1661.99,1663.6,ああ、それは反対側ですね。ああ、わかりました。,ES2005c.B.argumentstructs.Erik.6,NONE
ES2005c.D.argumentstructs.Erik.28,D,1667.97,1670.56,ああ、果物を半分。ああ、わかった、わかった。,ES2005c.B.argumentstructs.Erik.6,ES2005c.A.argumentstructs.Erik.15
ES2005c.D.argumentstructs.51,D,1677.1,1700.68,はいはい、はい。はい。うーん。,NONE,NONE
ES2005c.A.argumentstructs.Erik.15,A,1686.07,1686.73,ええ、ええ。,ES2005c.D.argumentstructs.Erik.28,NONE
ES2005c.C.argumentstructs.Erik.21,C,1686.23,1699.37,ただし、もしフェイシアをつけるなら、ボタンの上にかぶるようにした方がいいと思います。なぜなら、ユーザーがフェイシアを欲しがっているかどうか、ユーザーがフェイシアを見たいと思っているかどうか、ユーザーがフェイシアを使用しているかどうかを考えると、ユーザーが見たいのはユーザーから離れた方向だからです。,ES2005c.B.argumentstructs.Erik.6,ES2005c.C.argumentstructs.Erik.22
ES2005c.C.argumentstructs.47,C,1699.37,1700.12,それは本当に,NONE,NONE
