ae_id,speaker,start_time,end_time,sentence,source,targets
ES2005c.A.argumentstructs.Erik.10,A,1142.72,1143.87,色は黄色ですよね？,NONE,"ES2005c.D.argumentstructs.Erik.16, ES2005c.C.argumentstructs.Erik.13, ES2005c.C.argumentstructs.Erik.14"
ES2005c.D.argumentstructs.Erik.16,D,1144.36,1147.55,ええ、y yellow が組み込まれました。,ES2005c.A.argumentstructs.Erik.10,NONE
ES2005c.C.argumentstructs.Erik.13,C,1144.99,1148.736,あるいは少なくとも組み込む、そうですね。,ES2005c.A.argumentstructs.Erik.10,ES2005c.A.argumentstructs.Erik.11
ES2005c.A.argumentstructs.Erik.11,A,1146.9,1149.21,黄色ですね。,ES2005c.C.argumentstructs.Erik.13,NONE
ES2005c.A.argumentstructs.30,A,1149.21,1170.57,うーん。わかりました。,NONE,NONE
ES2005c.C.argumentstructs.45,C,1149.92,1152.86,つまり、私は私たちが、うーん、,NONE,NONE
ES2005c.C.argumentstructs.Erik.14,C,1154.02,1156.752,他の標準的な銀の種類はわかりません,ES2005c.A.argumentstructs.Erik.10,ES2005c.D.argumentstructs.Erik.17
ES2005c.D.argumentstructs.47,D,1158.32,1158.59,うーん。,NONE,NONE
ES2005c.D.argumentstructs.Erik.17,D,1160.26,1172.37,そうです、ボタンは、ゴムかプラスチックのカバーがあり、ボタンはおそらく2つの異なる色、または実際にボタンがある場合は、,ES2005c.C.argumentstructs.Erik.14,ES2005c.A.argumentstructs.Erik.12
ES2005c.C.argumentstructs.46,C,1168.43,1173.91,うん。うーん。,NONE,NONE
ES2005c.A.argumentstructs.Erik.12,A,1172.08,1176.43,本体は黄色で、ボタンは何色にしますか?,ES2005c.D.argumentstructs.Erik.17,ES2005c.C.argumentstructs.Erik.15
ES2005c.D.argumentstructs.48,D,1172.37,1173.07,私は,NONE,NONE
ES2005c.C.argumentstructs.Erik.15,C,1177.9,1180.75,えっと、私自身はマルチカラーのボタンがとても気に入っています。,ES2005c.A.argumentstructs.Erik.12,ES2005c.D.argumentstructs.Erik.18
ES2005c.D.argumentstructs.Erik.18,D,1180.48,1180.85,うん。,ES2005c.C.argumentstructs.Erik.15,ES2005c.A.argumentstructs.Erik.13
ES2005c.A.argumentstructs.Erik.13,A,1181.27,1183.0,多色のボタンです。,ES2005c.D.argumentstructs.Erik.18,ES2005c.D.argumentstructs.Erik.19
ES2005c.D.argumentstructs.Erik.19,D,1182.84,1188.69,確かに、再生は緑色だったり、オンでオフは赤色だったり、そういったものもありますね。,ES2005c.A.argumentstructs.Erik.13,"ES2005c.C.argumentstructs.Erik.16, ES2005c.D.argumentstructs.Erik.20"
ES2005c.C.argumentstructs.Erik.16,C,1188.32,1194.38,そうですね、あるいは制限、うーん、もしかしたら、あまり子供っぽく見えないように、マルチカラーだけに限定するかもしれません。,ES2005c.D.argumentstructs.Erik.19,ES2005c.D.argumentstructs.Erik.21
ES2005c.D.argumentstructs.Erik.20,D,1189.72,1191.03,使いやすくなります。,ES2005c.D.argumentstructs.Erik.19,NONE
ES2005c.D.argumentstructs.Erik.21,D,1193.76,1197.74,そうですね、確かにあの青いやつはかなり硬そうに見えましたから。,ES2005c.C.argumentstructs.Erik.16,ES2005c.A.argumentstructs.Erik.14
ES2005c.A.argumentstructs.Erik.14,A,1198.6,1198.91,わかった。,ES2005c.D.argumentstructs.Erik.21,NONE
