ae_id,speaker,start_time,end_time,sentence,source,targets
ES2007c.D.argumentstructs.Erik.3,D,743.22,745.63,開発されたばかりのサンプルセンサーはどうですか?,NONE,"ES2007c.C.argumentstructs.Erik.5, ES2007c.A.argumentstructs.Erik.8"
ES2007c.C.argumentstructs.Erik.5,C,743.94,745.247,プッシュボタンは,ES2007c.D.argumentstructs.Erik.3,NONE
ES2007c.A.argumentstructs.Erik.8,A,747.69,748.27,何についてですか?,ES2007c.D.argumentstructs.Erik.3,ES2007c.D.argumentstructs.Erik.4
ES2007c.D.argumentstructs.Erik.4,D,748.84,752.56,G そこにサンプルセンサー、サンプルスピーカーというものがある。,ES2007c.A.argumentstructs.Erik.8,ES2007c.A.argumentstructs.Erik.9
ES2007c.B.argumentstructs.27,B,751.24,751.68,良い,NONE,NONE
ES2007c.A.argumentstructs.Erik.9,A,752.51,754.97,さて、リモコンユニットにスピーカーが必要な理由は何でしょうか?,ES2007c.D.argumentstructs.Erik.4,"ES2007c.D.argumentstructs.Erik.5, ES2007c.B.argumentstructs.Erik.12"
ES2007c.D.argumentstructs.Erik.5,D,755.69,756.46,うーん、分からない。,ES2007c.A.argumentstructs.Erik.9,NONE
ES2007c.B.argumentstructs.Erik.12,B,759.16,765.68,それはクールだろうが、彼らはそれを開発したばかりだと言っている、私は推測しているだけだ。しかし、それはおそらく最も高価な選択肢になるだろうし、,ES2007c.A.argumentstructs.Erik.9,"ES2007c.C.argumentstructs.Erik.6, ES2007c.C.argumentstructs.Erik.7"
ES2007c.D.argumentstructs.30,D,759.35,761.3,チャンネル2。,NONE,NONE
ES2007c.C.argumentstructs.Erik.6,C,759.68,759.97,うん。,ES2007c.B.argumentstructs.Erik.12,NONE
ES2007c.A.argumentstructs.33,A,763.31,763.45,S,NONE,NONE
ES2007c.C.argumentstructs.Erik.7,C,766.28,774.222,音声認識のオプションは、私たちにとってはあまり期待できないようです。,ES2007c.B.argumentstructs.Erik.12,"ES2007c.A.argumentstructs.Erik.10, ES2007c.C.argumentstructs.Erik.8"
ES2007c.A.argumentstructs.Erik.10,A,772.79,776.35,そうですね。この製品では、その点については触れたくないですね。,ES2007c.C.argumentstructs.Erik.7,NONE
ES2007c.C.argumentstructs.20,C,775.63,782.99,ええ、すでに使われている例としてはコーヒーマシンがあります。基本的にはサンプルをプログラムして,NONE,NONE
ES2007c.C.argumentstructs.Erik.8,C,784.12,817.103,何か言うと、応答が返ってきます。応答もプログラムできます。自分で録音したクリップです。コーヒーメーカーに「おはよう」と言うと、「こんにちは、リック」などとプログラムできます。でも、音声認識で何かを言うとテレビがオンになる、テレビがオンになると電源が入る、という機能なら別ですが、そうではありません。音声で応答するだけです。つまり、「こんにちは、リモコン、こんにちは、調子はどう？」と言う意味が何なのでしょうか？本当に寂しいなら、それは,ES2007c.C.argumentstructs.Erik.7,"ES2007c.A.argumentstructs.Erik.11, ES2007c.D.argumentstructs.Erik.7"
ES2007c.A.argumentstructs.Erik.11,A,796.13,798.51,うん。,ES2007c.C.argumentstructs.Erik.8,NONE
ES2007c.D.argumentstructs.Erik.7,D,805.2,806.42,ああ、ただ答えを出すだけです。,ES2007c.C.argumentstructs.Erik.8,"ES2007c.A.argumentstructs.Erik.12, ES2007c.D.argumentstructs.Erik.8"
ES2007c.A.argumentstructs.Erik.12,A,809.91,810.36,うん。,ES2007c.D.argumentstructs.Erik.7,NONE
ES2007c.A.argumentstructs.34,A,811.4,813.16,うん。,NONE,NONE
ES2007c.D.argumentstructs.31,D,814.03,814.79,彼らが言ったとき,NONE,NONE
ES2007c.B.argumentstructs.28,B,814.2,817.15,本当に寂しいなら、そうかもしれません。,NONE,NONE
ES2007c.D.argumentstructs.Erik.8,D,816.36,829.27,音声認識と言ったとき、チャンネル 5 のようなものを意味していて、それが変わるのだと思っていました。話しかけるのです。チャンネル 5 にできますか? ああ、それなら忘れてください。ああ、わかりました。,ES2007c.D.argumentstructs.Erik.7,"ES2007c.B.argumentstructs.Erik.13, ES2007c.C.argumentstructs.Erik.9"
ES2007c.B.argumentstructs.Erik.13,B,820.44,823.26,チャンネル5。そして電源が入ります。,ES2007c.D.argumentstructs.Erik.8,NONE
ES2007c.C.argumentstructs.Erik.9,C,822.1,830.3,いや、それはもっと有望だろう。それはただあなたに話しかけるリモコンだ。ええと、つまり、特定の合図という意味だ。,ES2007c.D.argumentstructs.Erik.8,ES2007c.A.argumentstructs.Erik.13
ES2007c.A.argumentstructs.Erik.13,A,824.75,825.19,うん。,ES2007c.C.argumentstructs.Erik.9,NONE
ES2007c.A.argumentstructs.35,A,827.34,831.41,うん。うん。うん。,NONE,NONE
