ae_id,speaker,start_time,end_time,sentence,source,targets
ES2007d.A.argumentstructs.Erik.1,A,168.5,178.37,一つ気になることがあります。それは小さなことですが、右利き用と左利き用を作らなければならないということです。,NONE,"ES2007d.C.argumentstructs.Erik.1, ES2007d.B.argumentstructs.Erik.1, ES2007d.A.argumentstructs.Erik.2, ES2007d.D.argumentstructs.Erik.1"
ES2007d.C.argumentstructs.Erik.1,C,178.75,181.07,ああ、それはいい考えですね。,ES2007d.A.argumentstructs.Erik.1,NONE
ES2007d.B.argumentstructs.Erik.1,B,178.96,179.61,ああ、そうだね。,ES2007d.A.argumentstructs.Erik.1,NONE
ES2007d.A.argumentstructs.Erik.2,A,181.97,184.7,しかし、それがなぜ不可能なのか私にはわかりません。,ES2007d.A.argumentstructs.Erik.1,ES2007d.C.argumentstructs.Erik.2
ES2007d.C.argumentstructs.Erik.2,C,184.18,188.88,そうだね、ロケット船を作るなら、左利き用と右利き用のリモコンを作ることはできないのか。,ES2007d.A.argumentstructs.Erik.2,ES2007d.A.argumentstructs.Erik.3
ES2007d.A.argumentstructs.Erik.3,A,187.52,193.62,ええ。左利き用のハサミも作っているんですよ。,ES2007d.C.argumentstructs.Erik.2,ES2007d.C.argumentstructs.Erik.3
ES2007d.D.argumentstructs.21,D,193.67,194.37,そうだね、でも,NONE,NONE
ES2007d.C.argumentstructs.Erik.3,C,193.78,196.46,ええ、それについては考えていませんでしたが、そうですね、。,ES2007d.A.argumentstructs.Erik.3,NONE
ES2007d.D.argumentstructs.Erik.1,D,197.32,205.31,でも、そうしたら右の h の使い方を学ぶことができます。家族の中に左利きと右利きがいる場合、リモコンが 2 つあるとどうなるでしょうか?,ES2007d.A.argumentstructs.Erik.1,"ES2007d.A.argumentstructs.Erik.4, ES2007d.B.argumentstructs.Erik.2, ES2007d.B.argumentstructs.Erik.5"
ES2007d.A.argumentstructs.Erik.4,A,205.48,207.24,はい,ES2007d.D.argumentstructs.Erik.1,NONE
ES2007d.B.argumentstructs.Erik.2,B,205.64,218.27,ええ、家族の中に左利きと右利きの人がいるのですが、家族全員が同じコンピューターを使っていて、マウスも持っていて、全員が右利き用のマウスを使っている人を知っています。,ES2007d.D.argumentstructs.Erik.1,"ES2007d.A.argumentstructs.Erik.5, ES2007d.D.argumentstructs.Erik.2, ES2007d.B.argumentstructs.Erik.3"
ES2007d.A.argumentstructs.Erik.5,A,214.38,216.3,うーん。もちろん。もちろん。,ES2007d.B.argumentstructs.Erik.2,NONE
ES2007d.D.argumentstructs.Erik.2,D,217.83,219.872,ええ、きっとできると思います,ES2007d.B.argumentstructs.Erik.2,ES2007d.D.argumentstructs.Erik.3
ES2007d.C.argumentstructs.19,C,220.76,220.99,ああ。,NONE,NONE
ES2007d.D.argumentstructs.Erik.3,D,221.2,228.352,ボタンを押すだけで、特別なことは何もしなくていいんです。誰でも左手でも右手でもボタンを押すことができると思います。,ES2007d.D.argumentstructs.Erik.2,ES2007d.C.argumentstructs.Erik.4
ES2007d.C.argumentstructs.Erik.4,C,226.1,226.39,うん。,ES2007d.D.argumentstructs.Erik.3,NONE
ES2007d.B.argumentstructs.Erik.3,B,228.29,229.95,想像してみてください、あなたは右利きですか？,ES2007d.B.argumentstructs.Erik.2,ES2007d.A.argumentstructs.Erik.6
ES2007d.A.argumentstructs.Erik.6,A,230.78,231.09,うん。,ES2007d.B.argumentstructs.Erik.3,ES2007d.B.argumentstructs.Erik.4
ES2007d.B.argumentstructs.Erik.4,B,231.44,234.672,左手でやっていると想像してください。,ES2007d.A.argumentstructs.Erik.6,ES2007d.D.argumentstructs.Erik.4
ES2007d.D.argumentstructs.Erik.4,D,234.61,235.248,うん、違う,ES2007d.B.argumentstructs.Erik.4,NONE
ES2007d.B.argumentstructs.Erik.5,B,238.16,240.432,でも両方手に入れることもできる,ES2007d.D.argumentstructs.Erik.1,ES2007d.D.argumentstructs.Erik.5
ES2007d.D.argumentstructs.Erik.5,D,240.85,241.28,うん。,ES2007d.B.argumentstructs.Erik.5,ES2007d.D.argumentstructs.Erik.6
ES2007d.D.argumentstructs.Erik.6,D,244.4,245.32,在庫あります。,ES2007d.D.argumentstructs.Erik.5,"ES2007d.B.argumentstructs.Erik.6, ES2007d.A.argumentstructs.Erik.7"
ES2007d.B.argumentstructs.Erik.6,B,245.7,246.05,うん。,ES2007d.D.argumentstructs.Erik.6,NONE
ES2007d.A.argumentstructs.Erik.7,A,246.13,246.56,うん。,ES2007d.D.argumentstructs.Erik.6,NONE
