ae_id,speaker,start_time,end_time,sentence,source,targets
ES2008b.A.argumentstructs.12,A,2020.87,2021.68,わかった、やれよ。,NONE,NONE
ES2008b.A.argumentstructs.Erik.6,A,2021.68,2023.42,他に必要な必須機能はありますか?,NONE,ES2008b.A.argumentstructs.Erik.7
ES2008b.A.argumentstructs.Erik.7,A,2024.98,2027.49,バッテリー？長寿命のバッテリーが必要ですか？,ES2008b.A.argumentstructs.Erik.6,"ES2008b.B.argumentstructs.Erik.5, ES2008b.C.argumentstructs.Erik.9"
ES2008b.B.argumentstructs.Erik.5,B,2026.47,2031.56,バッテリーの使用。そうですが、それは本当にシンプルさと使いやすさにつながると思います。,ES2008b.A.argumentstructs.Erik.7,"ES2008b.D.argumentstructs.Erik.6, ES2008b.A.argumentstructs.Erik.8, ES2008b.D.argumentstructs.Erik.7"
ES2008b.D.argumentstructs.Erik.6,D,2029.09,2029.36,うん。,ES2008b.B.argumentstructs.Erik.5,NONE
ES2008b.A.argumentstructs.Erik.8,A,2032.84,2033.51,しかし、そうするかもしれません。,ES2008b.B.argumentstructs.Erik.5,NONE
ES2008b.D.argumentstructs.Erik.7,D,2032.92,2034.71,したがって、バッテリーを交換する必要はありません。,ES2008b.B.argumentstructs.Erik.5,ES2008b.B.argumentstructs.Erik.6
ES2008b.B.argumentstructs.Erik.6,B,2034.71,2034.93,うん。,ES2008b.D.argumentstructs.Erik.7,NONE
ES2008b.C.argumentstructs.Erik.9,C,2038.48,2040.86,そもそもバッテリーが必要かどうか調べてみるべきかもしれません。,ES2008b.A.argumentstructs.Erik.7,"ES2008b.C.argumentstructs.Erik.10, ES2008b.B.argumentstructs.Erik.8"
ES2008b.C.argumentstructs.Erik.10,C,2041.96,2046.208,リモコンには電池が必要だと思いますが、できるかどうかはわかりません,ES2008b.C.argumentstructs.Erik.9,"ES2008b.A.argumentstructs.Erik.9, ES2008b.B.argumentstructs.Erik.7"
ES2008b.A.argumentstructs.Erik.9,A,2044.57,2048.192,そうですね。電子機器なので,ES2008b.C.argumentstructs.Erik.10,ES2008b.C.argumentstructs.Erik.11
ES2008b.B.argumentstructs.Erik.7,B,2044.62,2045.0,うん。,ES2008b.C.argumentstructs.Erik.10,NONE
ES2008b.C.argumentstructs.Erik.11,C,2048.18,2048.38,うん。,ES2008b.A.argumentstructs.Erik.9,NONE
ES2008b.B.argumentstructs.Erik.8,B,2048.3,2049.64,うーん。そうだと思います。,ES2008b.C.argumentstructs.Erik.9,ES2008b.B.argumentstructs.Erik.9
ES2008b.B.argumentstructs.Erik.9,B,2049.64,2061.98,チップを操作して、それなしで大量のデータを変換する方法は思いつきません。しかし、携帯電話のような小さな充電ステーションや、iPod 用の小さなクレードルなどにチップを搭載することはできるかもしれません。,ES2008b.B.argumentstructs.Erik.8,"ES2008b.C.argumentstructs.Erik.12, ES2008b.C.argumentstructs.Erik.13, ES2008b.B.argumentstructs.Erik.10"
ES2008b.C.argumentstructs.Erik.12,C,2054.6,2056.26,ええ、エネルギーがなければ、ええ。,ES2008b.B.argumentstructs.Erik.9,NONE
ES2008b.C.argumentstructs.Erik.13,C,2062.52,2064.3,はい、それは可能です。はい。,ES2008b.B.argumentstructs.Erik.9,NONE
ES2008b.B.argumentstructs.Erik.10,B,2063.16,2068.32,代わりにそうすることもできます。充電式バッテリーは必要ありません。,ES2008b.B.argumentstructs.Erik.9,"ES2008b.C.argumentstructs.Erik.14, ES2008b.B.argumentstructs.Erik.11"
ES2008b.A.argumentstructs.13,A,2066.11,2073.55,充電中。うん。,NONE,NONE
ES2008b.C.argumentstructs.Erik.14,C,2068.72,2068.88,うん。,ES2008b.B.argumentstructs.Erik.10,NONE
ES2008b.B.argumentstructs.Erik.11,B,2070.0,2075.1,わからないけど、1か所に留めておけば、紛失する人も減るかもしれない,ES2008b.B.argumentstructs.Erik.10,NONE
ES2008b.B.argumentstructs.15,B,2075.1,2075.1,。,NONE,NONE
ES2008b.D.argumentstructs.10,D,2075.41,2075.83,うーん。,NONE,NONE
