ae_id,speaker,start_time,end_time,sentence,source,targets
ES2008c.A.argumentstructs.Erik.14,A,1699.82,1706.32,うーん、でも、シンプル、標準、または高度なチップに決めたら、そうかもしれませんね。,NONE,"ES2008c.B.argumentstructs.Erik.27, ES2008c.B.argumentstructs.Erik.28"
ES2008c.B.argumentstructs.Erik.27,B,1705.12,1716.39,そうです。では、これが私が手に入れたチップのものです。シンプルで、標準的で、高度なチップオンプリントです。チップオンプリントには赤外線センサーが含まれているので、心配する必要はありません。,ES2008c.A.argumentstructs.Erik.14,NONE
ES2008c.B.argumentstructs.56,B,1717.52,1718.17,えーと、,NONE,NONE
ES2008c.B.argumentstructs.Erik.28,B,1719.35,1732.64,&#39;わかりました。プッシュボタンを使用する場合、プッシュボタンには単純なチップが必要ですが、スクロールホイールには通常のチップが必要で、L_C_D_ には高度なチップが必要です。スクロールホイールが必要ですか、それともプッシュボタンだけが必要ですか?,ES2008c.A.argumentstructs.Erik.14,"ES2008c.C.argumentstructs.Erik.21, ES2008c.B.argumentstructs.Erik.29, ES2008c.D.argumentstructs.Erik.9"
ES2008c.C.argumentstructs.40,C,1734.16,1734.56,えーと,NONE,NONE
ES2008c.C.argumentstructs.Erik.21,C,1737.04,1742.42,スクロールホイールは本当に必要ないと思います。音量を変えるのに便利かもしれません。,ES2008c.B.argumentstructs.Erik.28,ES2008c.A.argumentstructs.Erik.15
ES2008c.B.argumentstructs.57,B,1742.05,1742.53,おお。,NONE,NONE
ES2008c.A.argumentstructs.Erik.15,A,1742.29,1749.088,音量を変えるにはいいけど、チャンネルを変えるのにどれだけ役に立つかはわからない。数字や,ES2008c.C.argumentstructs.Erik.21,ES2008c.C.argumentstructs.Erik.22
ES2008c.C.argumentstructs.41,C,1742.42,1743.56,ああ、でも,NONE,NONE
ES2008c.C.argumentstructs.Erik.22,C,1746.16,1747.58,それは本当にうまくいくとは思えません。,ES2008c.A.argumentstructs.Erik.15,ES2008c.C.argumentstructs.Erik.23
ES2008c.C.argumentstructs.Erik.23,C,1749.03,1751.43,そうですね、チャンネルを変えるにはボタンが本当に必要です。,ES2008c.C.argumentstructs.Erik.22,NONE
ES2008c.B.argumentstructs.Erik.29,B,1749.35,1759.64,そうですね、チャンネル選択のオンスクリーンメニューがあって、スクロールダウンできると便利だと思います。,ES2008c.B.argumentstructs.Erik.28,NONE
ES2008c.D.argumentstructs.16,D,1757.77,1762.54,しかし、もしチャンネルをスクロールして音量を調整できるとしたら、,NONE,NONE
ES2008c.C.argumentstructs.Erik.24,C,1758.01,1758.22,うん。,ES2008c.D.argumentstructs.Erik.9,NONE
ES2008c.B.argumentstructs.Erik.30,B,1761.22,1761.66,うん。,ES2008c.D.argumentstructs.Erik.9,NONE
ES2008c.A.argumentstructs.34,A,1762.08,1764.81,会議はあと5分残っていますので。,NONE,NONE
ES2008c.D.argumentstructs.Erik.9,D,1764.03,1785.84,音量も同じように前後に動かせます。見た目もずっとすっきりすると思います。そうしないと、ボタンがいくつあっても、黒と赤が突き出てしまい、どうしても、私たちが見たような醜いボタンが積み重なったような見た目になってしまいます。,ES2008c.B.argumentstructs.Erik.28,"ES2008c.C.argumentstructs.Erik.24, ES2008c.B.argumentstructs.Erik.30, ES2008c.A.argumentstructs.Erik.16"
ES2008c.B.argumentstructs.58,B,1766.16,1790.93,うん。うん。うーん。F,NONE,NONE
ES2008c.C.argumentstructs.42,C,1773.49,1782.59,ええ、ええ。,NONE,NONE
ES2008c.A.argumentstructs.Erik.16,A,1787.27,1790.48,それで、ボリュームのスクロールはありますか?,ES2008c.D.argumentstructs.Erik.9,ES2008c.B.argumentstructs.Erik.31
ES2008c.B.argumentstructs.Erik.31,B,1790.93,1793.06,あるいはそれらすべての秘密の機能のためですか?,ES2008c.A.argumentstructs.Erik.16,ES2008c.B.argumentstructs.Erik.32
ES2008c.A.argumentstructs.35,A,1792.12,1792.26,ふ,NONE,NONE
ES2008c.B.argumentstructs.Erik.32,B,1793.95,1801.94,リモコンでボタンを使わずにすべての機能のオンスクリーン メニューが表示され、スクロール ホイールを使用してメニュー間を移動できるようになります。,ES2008c.B.argumentstructs.Erik.31,ES2008c.C.argumentstructs.Erik.25
ES2008c.C.argumentstructs.Erik.25,C,1802.45,1806.74,そうですね、スクロールホイールがあればいいと思いますが、必須ではありません。,ES2008c.B.argumentstructs.Erik.32,ES2008c.B.argumentstructs.Erik.33
ES2008c.B.argumentstructs.Erik.33,B,1806.71,1812.7,そうですね。状況に応じて、シンプルなチップか通常のチップのどちらかを選択することになりますが、その決定は後で検討してもよいかもしれません。,ES2008c.C.argumentstructs.Erik.25,NONE
ES2008c.C.argumentstructs.43,C,1806.74,1807.19,えーと,NONE,NONE
