ae_id,speaker,start_time,end_time,sentence,source,targets
ES2008c.B.argumentstructs.Erik.34,B,1825.27,1827.81,さて、事件について話しながらそれについて考えてみましょう。,NONE,ES2008c.A.argumentstructs.Erik.17
ES2008c.A.argumentstructs.Erik.17,A,1827.4,1828.18,では、ケースをやってみましょう。,ES2008c.B.argumentstructs.Erik.34,"ES2008c.B.argumentstructs.Erik.35, ES2008c.A.argumentstructs.Erik.22, ES2008c.B.argumentstructs.Erik.41"
ES2008c.B.argumentstructs.Erik.35,B,1828.53,1833.62,うーん、スポンジ状が流行ってるなら、ラテックスのアイデアはちょっと好きです。,ES2008c.A.argumentstructs.Erik.17,"ES2008c.C.argumentstructs.Erik.26, ES2008c.A.argumentstructs.Erik.18"
ES2008c.C.argumentstructs.Erik.26,C,1831.99,1832.2,うん。,ES2008c.B.argumentstructs.Erik.35,NONE
ES2008c.A.argumentstructs.Erik.18,A,1834.14,1838.6,うーん、ちょっと躊躇しています。中身を守れるか心配ですから。,ES2008c.B.argumentstructs.Erik.35,"ES2008c.B.argumentstructs.Erik.36, ES2008c.D.argumentstructs.Erik.10"
ES2008c.B.argumentstructs.Erik.36,B,1839.11,1839.52,わかった。,ES2008c.A.argumentstructs.Erik.18,NONE
ES2008c.A.argumentstructs.36,A,1839.81,1840.4,えーと,NONE,NONE
ES2008c.D.argumentstructs.Erik.10,D,1840.6,1843.19,ああ、それは難しいことかもしれないし、それからその周りには何かあるかもしれない？,ES2008c.A.argumentstructs.Erik.18,"ES2008c.B.argumentstructs.Erik.37, ES2008c.A.argumentstructs.Erik.19, ES2008c.B.argumentstructs.Erik.38"
ES2008c.B.argumentstructs.Erik.37,B,1842.01,1844.311,ええ、私が持っているものはすべて,ES2008c.D.argumentstructs.Erik.10,NONE
ES2008c.A.argumentstructs.Erik.19,A,1843.27,1848.61,そうですね、チタン製の実物や、携帯電話のようなものならもっといいと思います。,ES2008c.D.argumentstructs.Erik.10,NONE
ES2008c.B.argumentstructs.Erik.38,B,1846.33,1871.77,ああ、これとは関係ないですが、私が以前見たラテックスケースは、内側に硬いプラスチックが入っていて、それがラテックスで覆われているものでした。ラテックスの層は厚すぎず、自転車のハンドルなど、あなたが見たことのあるようなもので、握れる程度の厚さです。内側は硬いです。回路基板の保護について心配する必要はないと思います。これで十分だと思います。,ES2008c.D.argumentstructs.Erik.10,"ES2008c.A.argumentstructs.Erik.20, ES2008c.A.argumentstructs.Erik.21"
ES2008c.A.argumentstructs.37,A,1851.38,1851.76,うんうん。,NONE,NONE
ES2008c.A.argumentstructs.Erik.20,A,1858.65,1859.22,わかった。,ES2008c.B.argumentstructs.Erik.38,NONE
ES2008c.A.argumentstructs.38,A,1860.4,1870.35,うん。わかった。Ge o,NONE,NONE
ES2008c.A.argumentstructs.Erik.21,A,1871.89,1875.41,はい。それで、私たちはラテックスが欲しいんです。,ES2008c.B.argumentstructs.Erik.38,"ES2008c.C.argumentstructs.Erik.27, ES2008c.B.argumentstructs.Erik.39"
ES2008c.C.argumentstructs.Erik.27,C,1872.73,1873.41,ああ。そうだ。,ES2008c.A.argumentstructs.Erik.21,NONE
ES2008c.C.argumentstructs.44,C,1875.83,1876.0,うん。,NONE,NONE
ES2008c.B.argumentstructs.Erik.39,B,1876.23,1876.4,うん。,ES2008c.A.argumentstructs.Erik.21,NONE
ES2008c.A.argumentstructs.39,A,1877.65,1877.92,わかった。,NONE,NONE
ES2008c.A.argumentstructs.Erik.22,A,1879.38,1884.8,ラテックス。そしておそらく色付きで、フルーツや野菜の色かもしれません。,ES2008c.A.argumentstructs.Erik.17,"ES2008c.B.argumentstructs.Erik.40, ES2008c.A.argumentstructs.Erik.23"
ES2008c.B.argumentstructs.Erik.40,B,1885.42,1885.68,うん。,ES2008c.A.argumentstructs.Erik.22,NONE
ES2008c.A.argumentstructs.Erik.23,A,1886.36,1896.01,フルーティーな色。では、ufe ユーザー インターフェイスに移動して、その後チップに戻ります。,ES2008c.A.argumentstructs.Erik.22,NONE
ES2008c.B.argumentstructs.Erik.41,B,1896.18,1899.75,ああ、私たちは湾曲したケースが欲しいですね？ それとも二重湾曲？,ES2008c.A.argumentstructs.Erik.17,"ES2008c.A.argumentstructs.Erik.24, ES2008c.D.argumentstructs.Erik.11"
ES2008c.A.argumentstructs.Erik.24,A,1900.54,1902.1,まあ、違いが何なのかはよく分かりませんよね？,ES2008c.B.argumentstructs.Erik.41,NONE
ES2008c.D.argumentstructs.Erik.11,D,1902.21,1904.48,何らかの形で曲がっていると思います。,ES2008c.B.argumentstructs.Erik.41,"ES2008c.A.argumentstructs.Erik.25, ES2008c.B.argumentstructs.Erik.42, ES2008c.C.argumentstructs.Erik.28"
ES2008c.A.argumentstructs.Erik.25,A,1903.8,1904.13,うん。,ES2008c.D.argumentstructs.Erik.11,NONE
ES2008c.B.argumentstructs.Erik.42,B,1904.23,1907.936,ええ、わかりました。違いがよく分かりません,ES2008c.D.argumentstructs.Erik.11,NONE
ES2008c.C.argumentstructs.Erik.28,C,1904.45,1904.8,うん。,ES2008c.D.argumentstructs.Erik.11,NONE
