ae_id,speaker,start_time,end_time,sentence,source,targets
ES2008c.A.argumentstructs.Erik.1,A,1268.64,1284.31,えっと、これらをどのように使うか、何かアイデアはありますか？ えっと、果物や野菜、またはスポンジ状の素材をどのように使うか？ たとえば、スポンジ状のリモコンを作ることはできますか？ 手への負担が軽減されると思います。,NONE,"ES2008c.B.argumentstructs.Erik.6, ES2008c.B.argumentstructs.Erik.9, ES2008c.B.argumentstructs.Erik.11, ES2008c.D.argumentstructs.Erik.2"
ES2008c.B.argumentstructs.Erik.6,B,1283.41,1285.936,ラテックスならラテックスっぽい,ES2008c.A.argumentstructs.Erik.1,ES2008c.A.argumentstructs.Erik.2
ES2008c.A.argumentstructs.Erik.2,A,1285.94,1292.096,それは、チップなどを保護する方法を見つけなければならないということです。,ES2008c.B.argumentstructs.Erik.6,ES2008c.B.argumentstructs.Erik.7
ES2008c.B.argumentstructs.51,B,1287.4,1288.58,えっと、意地悪,NONE,NONE
ES2008c.C.argumentstructs.37,C,1288.24,1289.54,そういうもの,NONE,NONE
ES2008c.B.argumentstructs.Erik.7,B,1291.56,1302.45,ラテックスケースについて私が理解しているのは、実際は中のものを保護するのは難しいが、ラテックスで覆われているため、スポンジ状になっていて手に優しくなるということです。,ES2008c.A.argumentstructs.Erik.2,ES2008c.B.argumentstructs.Erik.8
ES2008c.A.argumentstructs.31,A,1299.19,1344.82,うんうん。うんうん。うんうん。間違いなくF、または多分,NONE,NONE
ES2008c.B.argumentstructs.52,B,1303.67,1309.45,言いたいことはある、つまり、私たちは先ほどあなたから、うーん、それは望んでいないという話を聞きました,NONE,NONE
ES2008c.B.argumentstructs.Erik.8,B,1310.28,1314.176,R_ R_ 反復ストレス障害など,ES2008c.B.argumentstructs.Erik.7,ES2008c.C.argumentstructs.Erik.6
ES2008c.D.argumentstructs.13,D,1312.74,1313.11,うんうん。,NONE,NONE
ES2008c.C.argumentstructs.Erik.6,C,1313.14,1313.41,うん。,ES2008c.B.argumentstructs.Erik.8,NONE
ES2008c.B.argumentstructs.Erik.9,B,1314.69,1325.13,そうですね、掴めるもの、つまりスポンジ状になりたくないので、そうかもしれません。そうですね。,ES2008c.A.argumentstructs.Erik.1,ES2008c.D.argumentstructs.Erik.1
ES2008c.D.argumentstructs.Erik.1,D,1314.97,1334.83,そうですね、何か、ええと、グリップ、つまり、手にしみ込むようなグリップではなくて、自転車に座るときのような素材をイメージしていると思います。長時間座っていても痛くならないような、そういうものを想像しているのですが、その素材が何と呼ばれているのかわかりません。,ES2008c.B.argumentstructs.Erik.9,"ES2008c.C.argumentstructs.Erik.7, ES2008c.B.argumentstructs.Erik.10"
ES2008c.C.argumentstructs.Erik.7,C,1321.64,1323.24,ええ、ええ。,ES2008c.D.argumentstructs.Erik.1,NONE
ES2008c.B.argumentstructs.53,B,1330.39,1330.67,うんうん。,NONE,NONE
ES2008c.B.argumentstructs.Erik.10,B,1333.43,1339.06,はい、私が受け取った資料のリストを考慮すると、実行可能と思われます。,ES2008c.D.argumentstructs.Erik.1,NONE
ES2008c.B.argumentstructs.Erik.11,B,1340.13,1342.33,果物や野菜の色でもいいですか？,ES2008c.A.argumentstructs.Erik.1,"ES2008c.B.argumentstructs.Erik.12, ES2008c.A.argumentstructs.Erik.3, ES2008c.B.argumentstructs.Erik.13"
ES2008c.B.argumentstructs.Erik.12,B,1342.33,1344.88,色を合わせることもできます。,ES2008c.B.argumentstructs.Erik.11,NONE
ES2008c.A.argumentstructs.Erik.3,A,1346.45,1351.24,うーん、主なものは、レモンとかイチゴとか、そういうものだと思います。,ES2008c.B.argumentstructs.Erik.11,NONE
ES2008c.B.argumentstructs.Erik.13,B,1351.11,1367.93,ボタンはフルーツの形にできます。ニンジンのような S 字型にするのは簡単ですね。または、ボタンをさまざまなフルーツの形にすることもできます。,ES2008c.B.argumentstructs.Erik.11,"ES2008c.A.argumentstructs.Erik.4, ES2008c.C.argumentstructs.Erik.8, ES2008c.A.argumentstructs.Erik.7"
ES2008c.A.argumentstructs.Erik.4,A,1352.05,1353.2,臭いでしょうか？,ES2008c.B.argumentstructs.Erik.13,NONE
ES2008c.C.argumentstructs.Erik.8,C,1353.43,1360.71,それは野菜のような形をしているはずですか？ええと、たとえば、ニンジンとか、そういう感じでしょうか。,ES2008c.B.argumentstructs.Erik.13,"ES2008c.A.argumentstructs.Erik.5, ES2008c.A.argumentstructs.Erik.6"
ES2008c.D.argumentstructs.14,D,1354.69,1355.94,ああ神様。,NONE,NONE
ES2008c.A.argumentstructs.Erik.5,A,1358.11,1359.32,わからない。,ES2008c.C.argumentstructs.Erik.8,NONE
ES2008c.A.argumentstructs.Erik.6,A,1361.35,1364.03,またはニンジンの形です。,ES2008c.C.argumentstructs.Erik.8,NONE
ES2008c.C.argumentstructs.38,C,1364.84,1365.81,たぶん、あるいは,NONE,NONE
ES2008c.A.argumentstructs.Erik.7,A,1366.08,1368.03,大きなボタンのようなものを考えてました。,ES2008c.B.argumentstructs.Erik.13,NONE
ES2008c.D.argumentstructs.Erik.2,D,1368.66,1370.54,丸いリモコンのようなアイデアはどうでしょうか?,ES2008c.A.argumentstructs.Erik.1,"ES2008c.D.argumentstructs.Erik.3, ES2008c.B.argumentstructs.Erik.14, ES2008c.C.argumentstructs.Erik.9"
ES2008c.D.argumentstructs.Erik.3,D,1370.54,1379.3,垂直に上下するタイプではなく、持ち方に関して言えば、果物のような形です。ちょっと結び付けるだけです。,ES2008c.D.argumentstructs.Erik.2,NONE
ES2008c.C.argumentstructs.Erik.9,C,1372.82,1373.81,ジャガイモみたいな感じ。,ES2008c.D.argumentstructs.Erik.2,ES2008c.C.argumentstructs.Erik.10
ES2008c.B.argumentstructs.Erik.14,B,1375.3,1386.9,そうですね。ボタンを押すのが難しくなると思います。ボタンを押すのが難しくなると思います。,ES2008c.D.argumentstructs.Erik.2,NONE
ES2008c.C.argumentstructs.Erik.10,C,1378.3,1378.65,うん。,ES2008c.C.argumentstructs.Erik.9,NONE
