ae_id,speaker,start_time,end_time,sentence,source,targets
ES2008d.A.argumentstructs.17,A,618.32,619.51,うんうん。,NONE,NONE
ES2008d.A.argumentstructs.Erik.1,A,619.51,621.82,メニューの使い方とかが心配です。,NONE,ES2008d.A.argumentstructs.Erik.2
ES2008d.A.argumentstructs.Erik.2,A,622.99,630.69,えっと、メニューの中にサブメニューがあるのですが、メインメニューに戻るにはどうすればいいですか?,ES2008d.A.argumentstructs.Erik.1,"ES2008d.C.argumentstructs.Erik.1, ES2008d.B.argumentstructs.Erik.1, ES2008d.C.argumentstructs.Erik.3"
ES2008d.B.argumentstructs.14,B,628.36,628.62,ふーむ。,NONE,NONE
ES2008d.C.argumentstructs.Erik.1,C,628.96,629.1,うん。,ES2008d.A.argumentstructs.Erik.2,NONE
ES2008d.B.argumentstructs.Erik.1,B,631.08,636.81,たとえば、iPod では、戻りたいときにはメニュー ボタンをもう一度押すだけで、1 レベル戻ります。,ES2008d.A.argumentstructs.Erik.2,ES2008d.A.argumentstructs.Erik.3
ES2008d.A.argumentstructs.Erik.3,A,637.17,642.28,しかし、あれには選択ボタンとは別にメニュー ボタンがありますが、これはメニューと選択ボタンの両方なのでしょうか?,ES2008d.B.argumentstructs.Erik.1,"ES2008d.C.argumentstructs.Erik.2, ES2008d.B.argumentstructs.Erik.2"
ES2008d.C.argumentstructs.Erik.2,C,640.48,640.65,うん。,ES2008d.A.argumentstructs.Erik.3,NONE
ES2008d.B.argumentstructs.Erik.2,B,641.16,641.85,いい指摘ですね。,ES2008d.A.argumentstructs.Erik.3,NONE
ES2008d.C.argumentstructs.Erik.3,C,642.9,654.75,これは、上ボタンと下ボタンで、選択肢のリストを上下にスクロールするために使用されます。必要な選択肢を見つけたら、右のボタンを押します。,ES2008d.A.argumentstructs.Erik.2,"ES2008d.A.argumentstructs.Erik.4, ES2008d.A.argumentstructs.Erik.5"
ES2008d.A.argumentstructs.Erik.4,A,648.53,648.88,わかった。,ES2008d.C.argumentstructs.Erik.3,NONE
ES2008d.A.argumentstructs.Erik.5,A,656.97,660.066,これらはサブメニューに移動したり、,ES2008d.C.argumentstructs.Erik.3,"ES2008d.C.argumentstructs.Erik.4, ES2008d.B.argumentstructs.Erik.3"
ES2008d.C.argumentstructs.11,C,657.72,657.9,うん。,NONE,NONE
ES2008d.C.argumentstructs.Erik.4,C,658.95,661.96,はい、サブメニューに出入りするために使用されます。,ES2008d.A.argumentstructs.Erik.5,NONE
ES2008d.B.argumentstructs.15,B,661.56,664.3,ええ、多分それはそれの1つかもしれません、押し続けると,NONE,NONE
ES2008d.A.argumentstructs.Erik.6,A,662.27,662.67,わかった。,ES2008d.B.argumentstructs.Erik.3,NONE
ES2008d.B.argumentstructs.Erik.3,B,665.81,668.51,2 秒間、その後 1 レベルほど戻ります。,ES2008d.A.argumentstructs.Erik.5,ES2008d.A.argumentstructs.Erik.6
ES2008d.A.argumentstructs.18,A,668.49,669.01,うんうん。,NONE,NONE
