ae_id,speaker,start_time,end_time,sentence,source,targets
ES2009b.B.argumentstructs.Erik.6,B,1255.84,1270.69,タッチスクリーンを採用しているので、実際のインターフェース部分などに、ユーザーがさまざまな種類のスキンを入力できるようにする可能性を検討したいと思いますか? それとも、すべてのユーザーに対して 1 つのタッチスクリーンだけを使用するのでしょうか。,NONE,"ES2009b.C.argumentstructs.Erik.3, ES2009b.B.argumentstructs.Erik.7, ES2009b.A.argumentstructs.Erik.7"
ES2009b.C.argumentstructs.Erik.3,C,1271.01,1271.58,興味深いものになりましょう。,ES2009b.B.argumentstructs.Erik.6,NONE
ES2009b.D.argumentstructs.24,D,1272.0,1272.56,うーん。,NONE,NONE
ES2009b.B.argumentstructs.Erik.7,B,1272.6,1273.92,そのタッチスクリーンには何が表示されるのでしょうか?,ES2009b.B.argumentstructs.Erik.6,"ES2009b.B.argumentstructs.Erik.8, ES2009b.C.argumentstructs.Erik.4"
ES2009b.B.argumentstructs.Erik.8,B,1273.92,1282.92,先ほど、会社の色やロゴ、モットーなどについて考えなければならないとおっしゃっていましたが、正確に何をおっしゃったか思い出せません。,ES2009b.B.argumentstructs.Erik.7,ES2009b.D.argumentstructs.Erik.10
ES2009b.D.argumentstructs.Erik.10,D,1280.35,1285.12,ああ、そう、ファッションもそうだね。そう。,ES2009b.B.argumentstructs.Erik.8,NONE
ES2009b.C.argumentstructs.Erik.4,C,1282.88,1285.14,私たちは電子機器にファッションを取り入れました。,ES2009b.B.argumentstructs.Erik.7,NONE
ES2009b.A.argumentstructs.Erik.7,A,1288.45,1316.72,W スキンを作成する場合は、ユーザーがスキンをダウンロードしたり、リモコンにインポートしたりできる方法が必要になると理解しています。ええ、良いアイデアだと思いますが、その 1 つは、この特定の P_D_A_ の範囲外である可能性があります。P_D_A_ には理にかなっています。いずれにしても、何かに接続するために使用することになるからです。,ES2009b.B.argumentstructs.Erik.6,"ES2009b.D.argumentstructs.Erik.11, ES2009b.B.argumentstructs.Erik.9, ES2009b.A.argumentstructs.Erik.8"
ES2009b.D.argumentstructs.Erik.11,D,1296.3,1299.056,そうですね、それからポートやコードも扱います,ES2009b.A.argumentstructs.Erik.7,NONE
ES2009b.B.argumentstructs.Erik.9,B,1300.7,1301.48,やりすぎだよ。,ES2009b.A.argumentstructs.Erik.7,"ES2009b.D.argumentstructs.Erik.12, ES2009b.D.argumentstructs.Erik.13"
ES2009b.D.argumentstructs.Erik.12,D,1301.68,1302.11,うん。,ES2009b.B.argumentstructs.Erik.9,NONE
ES2009b.D.argumentstructs.Erik.13,D,1309.04,1309.7,今のところ。,ES2009b.B.argumentstructs.Erik.9,NONE
ES2009b.A.argumentstructs.Erik.8,A,1318.79,1319.66,分かりませんが、皆さんはどう思いますか？,ES2009b.A.argumentstructs.Erik.7,ES2009b.B.argumentstructs.Erik.10
ES2009b.B.argumentstructs.Erik.10,B,1323.05,1329.04,タッチスクリーンに素敵な黒と赤のインターフェースを用意するだけでいいと思います。それで大丈夫です。,ES2009b.A.argumentstructs.Erik.8,"ES2009b.D.argumentstructs.Erik.14, ES2009b.C.argumentstructs.Erik.5"
ES2009b.D.argumentstructs.Erik.14,D,1325.21,1326.09,うん。いいですね。,ES2009b.B.argumentstructs.Erik.10,NONE
