ae_id,speaker,start_time,end_time,sentence,source,targets
ES2009c.C.argumentstructs.16,C,1376.88,1384.28,これまで述べられたことすべてに私は同意するつもりです。しかし、うーん、別のアイデアが頭に浮かんだと言わなければなりません。,NONE,NONE
ES2009c.A.argumentstructs.Erik.20,A,1379.55,1379.9,わかった。,ES2009c.C.argumentstructs.Erik.9,NONE
ES2009c.C.argumentstructs.Erik.9,C,1384.28,1404.77,リモコンをあまり操作しない場合は、手で持つリモコンというアイデアから脱却し、文鎮のような丸いリモコン、テーブルの上などに置く小さくてすっきりしたリモコンにすることもできます。,NONE,"ES2009c.A.argumentstructs.Erik.20, ES2009c.D.argumentstructs.Erik.29, ES2009c.B.argumentstructs.Erik.12, ES2009c.B.argumentstructs.Erik.15"
ES2009c.D.argumentstructs.41,D,1400.82,1401.31,えー,NONE,NONE
ES2009c.A.argumentstructs.34,A,1402.53,1403.44,ふーむ。,NONE,NONE
ES2009c.B.argumentstructs.17,B,1402.66,1402.9,ふーむ。,NONE,NONE
ES2009c.D.argumentstructs.Erik.29,D,1405.2,1405.93,面白い。,ES2009c.C.argumentstructs.Erik.9,ES2009c.A.argumentstructs.Erik.21
ES2009c.B.argumentstructs.Erik.12,B,1407.35,1412.72,なぜ、なぜハンドヘルドから離れるのですか? どういう考えですか?,ES2009c.C.argumentstructs.Erik.9,"ES2009c.C.argumentstructs.Erik.10, ES2009c.C.argumentstructs.Erik.11"
ES2009c.C.argumentstructs.Erik.10,C,1407.43,1408.47,ただの考えです。,ES2009c.B.argumentstructs.Erik.12,NONE
ES2009c.A.argumentstructs.Erik.21,A,1408.65,1409.28,うん。,ES2009c.D.argumentstructs.Erik.29,NONE
ES2009c.C.argumentstructs.Erik.11,C,1412.29,1415.74,まあ、拾う必要がないなら、それは一種のセールスポイントになるかもしれません。,ES2009c.B.argumentstructs.Erik.12,ES2009c.D.argumentstructs.Erik.30
ES2009c.D.argumentstructs.Erik.30,D,1414.82,1419.15,音声認識機能があれば、技術的には部屋のどこにいても機能を果たすことができます。,ES2009c.C.argumentstructs.Erik.11,ES2009c.B.argumentstructs.Erik.13
ES2009c.B.argumentstructs.18,B,1418.17,1418.63,ふーむ。,NONE,NONE
ES2009c.B.argumentstructs.Erik.13,B,1419.94,1426.18,リモコンを購入する人は、常に音声認識を使いたいと思うでしょうか、それとも時々使うだけでしょうか。,ES2009c.D.argumentstructs.Erik.30,ES2009c.D.argumentstructs.Erik.31
ES2009c.D.argumentstructs.Erik.31,D,1426.37,1436.67,確かに、音声認識の人だけではなく、基本的なマニュアルとしても機能するようにしたいと考えていると思います。,ES2009c.B.argumentstructs.Erik.13,ES2009c.A.argumentstructs.Erik.22
ES2009c.A.argumentstructs.Erik.22,A,1434.63,1464.0,まあ、ボタンも付けなければなりません。でも、それはもう済んでいて、問題はありません。シャープなイメージとか、他にどんなものがあるか知っているところのカタログを見れば、アップルはサブウーファー付きのとても派手なスピーカーを作っています。透明なガラスでできていて、ピラミッド型のスピーカーもあります。丸みを帯びたものでもいいでしょう。基本的なボタンはそのまま付けてもいいでしょう。基本的な機能性を第一に追求しているからです。,ES2009c.D.argumentstructs.Erik.31,"ES2009c.B.argumentstructs.Erik.14, ES2009c.D.argumentstructs.Erik.32, ES2009c.A.argumentstructs.Erik.23"
ES2009c.D.argumentstructs.42,D,1451.15,1452.74,うん。そうだね。,NONE,NONE
ES2009c.B.argumentstructs.Erik.14,B,1452.0,1452.24,右。,ES2009c.A.argumentstructs.Erik.22,NONE
ES2009c.D.argumentstructs.Erik.32,D,1454.9,1455.21,うん。,ES2009c.A.argumentstructs.Erik.22,NONE
ES2009c.D.argumentstructs.43,D,1464.24,1472.83,そうですね。うん。,NONE,NONE
ES2009c.A.argumentstructs.Erik.23,A,1465.19,1473.04,そして、メニューボタンなどもあるかもしれません。番組を録画したい場合などに、チャンネルボタンを使用してメニューをスクロールします。つまり、それを整理できるということです。,ES2009c.A.argumentstructs.Erik.22,NONE
ES2009c.B.argumentstructs.Erik.15,B,1472.15,1484.0,リモコンの従来の形状から脱却する必要があるので、あなたは良いアイデアを思いついたと思います。手で持っても、テーブルに置いても見栄えのするものが良いかもしれません。,ES2009c.C.argumentstructs.Erik.9,"ES2009c.A.argumentstructs.Erik.24, ES2009c.D.argumentstructs.Erik.33, ES2009c.D.argumentstructs.Erik.34, ES2009c.C.argumentstructs.Erik.12"
ES2009c.A.argumentstructs.Erik.24,A,1473.81,1475.33,うん。,ES2009c.B.argumentstructs.Erik.15,NONE
ES2009c.D.argumentstructs.Erik.33,D,1479.83,1480.14,真実。,ES2009c.B.argumentstructs.Erik.15,NONE
ES2009c.D.argumentstructs.Erik.34,D,1482.26,1482.8,よくやった。,ES2009c.B.argumentstructs.Erik.15,NONE
ES2009c.C.argumentstructs.Erik.12,C,1484.49,1488.83,こうした多くの点において、重要なのは Apple の先例に従うことだと私は思います。,ES2009c.B.argumentstructs.Erik.15,NONE
