ae_id,speaker,start_time,end_time,sentence,source,targets
ES2009c.A.argumentstructs.Erik.1,A,896.97,910.81,ネイサンが提示したさまざまなコストと利点に基づいて、ええと、私にはわかりませんが、現時点で皆さんはタッチ スクリーンについてどう思いますか?,NONE,ES2009c.D.argumentstructs.Erik.1
ES2009c.D.argumentstructs.Erik.1,D,913.19,918.11,これは非常に新しく、他の場所でも見られる機能であるため、最も市場性の高い機能であると考えています。,ES2009c.A.argumentstructs.Erik.1,"ES2009c.A.argumentstructs.Erik.2, ES2009c.D.argumentstructs.Erik.2"
ES2009c.A.argumentstructs.Erik.2,A,918.52,919.01,そうだ。,ES2009c.D.argumentstructs.Erik.1,NONE
ES2009c.A.argumentstructs.25,A,920.05,929.04,「わかった。そうだね。」,NONE,NONE
ES2009c.D.argumentstructs.Erik.2,D,920.11,929.01,しかし、本当にそれを支払う余裕があるのでしょうか？そうすると、それが本当に主なコスト源になるのではないでしょうか？,ES2009c.D.argumentstructs.Erik.1,ES2009c.B.argumentstructs.Erik.1
ES2009c.B.argumentstructs.Erik.1,B,930.4,941.94,"私の見積もりでは、タッチスクリーン技術を組み込むには、リモコン 1 台あたり 1,750 ユーロ以上の費用がかかります。ただし、これはあくまでも見積もりです。",ES2009c.D.argumentstructs.Erik.2,"ES2009c.A.argumentstructs.Erik.3, ES2009c.D.argumentstructs.Erik.3, ES2009c.D.argumentstructs.Erik.5"
ES2009c.A.argumentstructs.Erik.3,A,939.61,940.65,それぞれを生産する。,ES2009c.B.argumentstructs.Erik.1,NONE
ES2009c.D.argumentstructs.Erik.3,D,939.73,940.32,あたり?,ES2009c.B.argumentstructs.Erik.1,ES2009c.D.argumentstructs.Erik.4
ES2009c.D.argumentstructs.Erik.4,D,941.45,941.97,ピース。,ES2009c.D.argumentstructs.Erik.3,NONE
ES2009c.C.argumentstructs.13,C,942.35,948.25,ああ、君たちはいつもこういうプロジェクトの邪魔者だね。君たち工業デザイナー。,NONE,NONE
ES2009c.D.argumentstructs.35,D,944.31,945.19,知っている,NONE,NONE
