ae_id,speaker,start_time,end_time,sentence,source,targets
ES2009d.A.argumentstructs.Erik.1,A,534.93,536.629,いや、それは,ES2009d.D.argumentstructs.Erik.1,NONE
ES2009d.D.argumentstructs.Erik.1,D,536.17,545.41,他に、もっといい言葉が見つからないのですが、スキンやカバーはありますか? 現在プレイ中です、それとも、いくつかがどうなるかを見てから開発される予定ですか?,NONE,"ES2009d.A.argumentstructs.Erik.1, ES2009d.B.argumentstructs.Erik.1, ES2009d.D.argumentstructs.Erik.2, ES2009d.B.argumentstructs.Erik.3, ES2009d.B.argumentstructs.Erik.4"
ES2009d.B.argumentstructs.Erik.1,B,545.33,547.98,えっと、これに答えたいですか、それとも私が答えてほしいですか？,ES2009d.D.argumentstructs.Erik.1,NONE
ES2009d.D.argumentstructs.Erik.2,D,546.53,547.85,私たちはその点についてまだどこに立っているのか分かっていますか?,ES2009d.D.argumentstructs.Erik.1,ES2009d.C.argumentstructs.Erik.1
ES2009d.C.argumentstructs.Erik.1,C,548.01,551.4,まあ、材料が足りなかったんです。,ES2009d.D.argumentstructs.Erik.2,ES2009d.D.argumentstructs.Erik.3
ES2009d.D.argumentstructs.Erik.3,D,551.29,554.11,ああ、私はプロトタイプを期待していなかったので、皆さんがすでに何かを考えているかどうか知らなかっただけです。,ES2009d.C.argumentstructs.Erik.1,"ES2009d.B.argumentstructs.Erik.2, ES2009d.C.argumentstructs.Erik.2"
ES2009d.B.argumentstructs.Erik.2,B,552.33,553.18,ええ、ええ。,ES2009d.D.argumentstructs.Erik.3,NONE
ES2009d.C.argumentstructs.Erik.2,C,552.52,555.2,ああ、なるほど、そうですね。,ES2009d.D.argumentstructs.Erik.3,NONE
ES2009d.B.argumentstructs.Erik.3,B,554.77,567.105,えーっと、ご覧のとおり、これはごく表面的なレイヤーで、他のレイヤーを追加するのはとても簡単です。,ES2009d.D.argumentstructs.Erik.1,"ES2009d.D.argumentstructs.Erik.4, ES2009d.D.argumentstructs.Erik.5, ES2009d.C.argumentstructs.Erik.3"
ES2009d.D.argumentstructs.Erik.4,D,562.8,563.38,わかった。,ES2009d.B.argumentstructs.Erik.3,NONE
ES2009d.D.argumentstructs.Erik.5,D,564.5,567.72,実際のところ、単なるベニヤ板です。はい。,ES2009d.B.argumentstructs.Erik.3,NONE
ES2009d.C.argumentstructs.Erik.3,C,566.77,596.18,そうです。実は、この下の赤いリングはクリップで外して、その上に新しいプレートを取り付けます。つまり、スポンジのような、さらにスポンジのような、非自然に見える素材を間違いなく試しましたが、うまくいったと思います。また、Apple のカラースキームに倣って、ライトオレンジやグリーンといったアイデアも進めました。,ES2009d.B.argumentstructs.Erik.3,ES2009d.D.argumentstructs.Erik.6
ES2009d.D.argumentstructs.14,D,570.34,572.76,うん。そして全体として,NONE,NONE
ES2009d.D.argumentstructs.Erik.6,D,573.76,574.45,わかった。,ES2009d.C.argumentstructs.Erik.3,NONE
ES2009d.D.argumentstructs.15,D,584.99,594.22,わかった。そうか。わかった、とてもクールだ。,NONE,NONE
ES2009d.B.argumentstructs.Erik.4,B,595.39,618.89,これは、フェイス プレートというよりは、疑似フェイス プレートのようなものです。これは、工場で簡単に別のフェイス プレートを取り付けることができるほどシンプルなもので、所定の位置に固定されるため、かなり永続的ですが、同時に、反対方向に変更したい場合は、数回の調整でフェイス プレートの方向に変更することもできます。,ES2009d.D.argumentstructs.Erik.1,"ES2009d.D.argumentstructs.Erik.7, ES2009d.D.argumentstructs.Erik.8, ES2009d.A.argumentstructs.Erik.2"
ES2009d.D.argumentstructs.Erik.7,D,600.93,601.39,わかった。,ES2009d.B.argumentstructs.Erik.4,NONE
ES2009d.D.argumentstructs.16,D,617.22,617.55,わかった。,NONE,NONE
ES2009d.D.argumentstructs.Erik.8,D,619.03,623.56,はい。必要な場合は、まだオプションとしてあります。とてもクールで、素晴らしい仕事です。,ES2009d.B.argumentstructs.Erik.4,ES2009d.B.argumentstructs.Erik.5
ES2009d.B.argumentstructs.Erik.5,B,620.77,621.11,うん。,ES2009d.D.argumentstructs.Erik.8,NONE
ES2009d.A.argumentstructs.Erik.2,A,624.22,628.67,そうですね、ありがとう、本当に素晴らしい作品です。気に入りました、素晴らしいです。,ES2009d.B.argumentstructs.Erik.4,NONE
