ae_id,speaker,start_time,end_time,sentence,source,targets
ES2010b.A.argumentstructs.Erik.9,A,1537.25,1551.568,シンプルにしました。再生、早送り、巻き戻し、メニューボタンなどは必要ありません。オンオフ、音量、ミュート、チャンネルアップダウン、数字ボタンだけに絞りました。,NONE,"ES2010b.C.argumentstructs.Erik.5, ES2010b.D.argumentstructs.Erik.5, ES2010b.A.argumentstructs.Erik.10, ES2010b.A.argumentstructs.Erik.11, ES2010b.D.argumentstructs.Erik.8"
ES2010b.C.argumentstructs.Erik.5,C,1541.67,1542.48,そうですね。,ES2010b.A.argumentstructs.Erik.9,NONE
ES2010b.D.argumentstructs.Erik.5,D,1542.55,1542.97,うん。,ES2010b.A.argumentstructs.Erik.9,NONE
ES2010b.A.argumentstructs.Erik.10,A,1555.06,1555.85,うん。,ES2010b.A.argumentstructs.Erik.9,NONE
ES2010b.D.argumentstructs.12,D,1556.71,1557.05,うん。,NONE,NONE
ES2010b.A.argumentstructs.Erik.11,A,1562.72,1573.13,えっと、戻って、それらの例をざっと振り返って、何かあるかどうか確認してみます。あなたの場合は、技術機能ですか、それとも機能要件ですか? わかりました。,ES2010b.A.argumentstructs.Erik.9,"ES2010b.C.argumentstructs.Erik.6, ES2010b.D.argumentstructs.Erik.6"
ES2010b.C.argumentstructs.Erik.6,C,1567.25,1568.89,2つの例。はい。,ES2010b.A.argumentstructs.Erik.11,NONE
ES2010b.C.argumentstructs.16,C,1572.13,1572.33,うん。,NONE,NONE
ES2010b.D.argumentstructs.Erik.6,D,1574.4,1586.17,はい、オーディオ設定と画面設定、つまり、モノラル、ステレオ、ピッチなどのオーディオ設定や、明るさ、色などの画面設定が必要ですが、それともテレビ自体からアクセスできるようにしたいのでしょうか?,ES2010b.A.argumentstructs.Erik.11,"ES2010b.A.argumentstructs.Erik.12, ES2010b.C.argumentstructs.Erik.7"
ES2010b.A.argumentstructs.Erik.12,A,1585.19,1591.8,T_V_。T_V_ だけならそれでいいと思います。平均的なユーザーは、どれくらいの頻度でそのようなことをする必要があるのでしょうか?,ES2010b.D.argumentstructs.Erik.6,NONE
ES2010b.C.argumentstructs.Erik.7,C,1592.07,1602.72,そうですね、もう 1 つのオプションは、一番下の、もっと離れたところに、あまり使用しないが時々使用するボタンのようなボックス インセットを配置することです。,ES2010b.D.argumentstructs.Erik.6,ES2010b.D.argumentstructs.Erik.7
ES2010b.A.argumentstructs.24,A,1601.17,1601.39,ふーむ。,NONE,NONE
ES2010b.D.argumentstructs.Erik.7,D,1603.45,1620.96,ええ、字幕などのボタンは絶対に必要です。外国映画市場が拡大しているからとか、ロサンゼルスに住んでいるから知っているけど、テレビではスペイン語のネットワークテレビがたくさんあるから、英語の字幕があれば間違いなく助かるんです。,ES2010b.C.argumentstructs.Erik.7,ES2010b.A.argumentstructs.Erik.13
ES2010b.C.argumentstructs.17,C,1603.76,1604.44,そしてそれは,NONE,NONE
ES2010b.A.argumentstructs.Erik.13,A,1621.17,1630.22,これらすべてを、テレビのメニューに音声、ビデオ、言語などが表示される 1 つのボタン、メニュー ボタンで実行できないでしょうか。,ES2010b.D.argumentstructs.Erik.7,ES2010b.C.argumentstructs.Erik.8
ES2010b.C.argumentstructs.Erik.8,C,1623.06,1624.19,よく分かりません。,ES2010b.A.argumentstructs.Erik.13,NONE
ES2010b.C.argumentstructs.18,C,1630.4,1630.72,右。,NONE,NONE
ES2010b.D.argumentstructs.Erik.8,D,1630.64,1632.67,したがって、上、下、左右のボタンが必要になります。,ES2010b.A.argumentstructs.Erik.9,"ES2010b.C.argumentstructs.Erik.9, ES2010b.A.argumentstructs.Erik.14, ES2010b.C.argumentstructs.Erik.10"
ES2010b.C.argumentstructs.Erik.9,C,1633.25,1637.44,そうですね、それはいいえ、チャンネルボタンや音量ボタンと兼用することもできます。,ES2010b.D.argumentstructs.Erik.8,NONE
ES2010b.A.argumentstructs.Erik.14,A,1633.46,1634.37,メニュー用。,ES2010b.D.argumentstructs.Erik.8,ES2010b.A.argumentstructs.Erik.15
ES2010b.B.argumentstructs.4,B,1637.48,1637.83,うんうん。,NONE,NONE
ES2010b.A.argumentstructs.Erik.15,A,1638.63,1639.15,それは本当だ。,ES2010b.A.argumentstructs.Erik.14,ES2010b.D.argumentstructs.Erik.9
ES2010b.D.argumentstructs.Erik.9,D,1639.23,1640.09,はい、わかりました。,ES2010b.A.argumentstructs.Erik.15,NONE
ES2010b.C.argumentstructs.Erik.10,C,1639.68,1640.88,チャンネルは上下するだけです。,ES2010b.D.argumentstructs.Erik.8,"ES2010b.D.argumentstructs.Erik.10, ES2010b.C.argumentstructs.Erik.11"
ES2010b.D.argumentstructs.Erik.10,D,1641.84,1642.41,はい、そうです。,ES2010b.C.argumentstructs.Erik.10,NONE
ES2010b.C.argumentstructs.Erik.11,C,1642.68,1643.632,そして、,ES2010b.C.argumentstructs.Erik.10,"ES2010b.A.argumentstructs.Erik.16, ES2010b.C.argumentstructs.Erik.13"
ES2010b.A.argumentstructs.Erik.16,A,1644.56,1648.04,おそらくあなたが知っているように見えるもの。,ES2010b.C.argumentstructs.Erik.11,ES2010b.D.argumentstructs.Erik.11
ES2010b.D.argumentstructs.Erik.11,D,1645.8,1650.42,例えば、あそこの左側にある、エンジニアリングを中心としたものなどです。,ES2010b.A.argumentstructs.Erik.16,ES2010b.A.argumentstructs.Erik.17
ES2010b.A.argumentstructs.Erik.17,A,1649.52,1651.81,はい、そうです、そうです、そうです。あれ？,ES2010b.D.argumentstructs.Erik.11,ES2010b.C.argumentstructs.Erik.12
ES2010b.C.argumentstructs.Erik.12,C,1650.57,1651.02,うん。,ES2010b.A.argumentstructs.Erik.17,NONE
ES2010b.C.argumentstructs.Erik.13,C,1651.95,1664.23,そのため、メニュー ボタンを追加して、音声認識など、必要なさまざまなことを行うだけです。音声認識の設定などがある場合は、メニューに追加します。,ES2010b.C.argumentstructs.Erik.11,"ES2010b.A.argumentstructs.Erik.18, ES2010b.A.argumentstructs.Erik.19"
ES2010b.A.argumentstructs.Erik.18,A,1657.03,1659.36,そうですね。おそらく真ん中くらいです。,ES2010b.C.argumentstructs.Erik.13,NONE
ES2010b.A.argumentstructs.Erik.19,A,1664.95,1665.17,はい。,ES2010b.C.argumentstructs.Erik.13,NONE
