ae_id,speaker,start_time,end_time,sentence,source,targets
ES2010c.C.argumentstructs.Erik.15,C,1388.38,1389.89,それはどうなるんだろう そうだ、どんな感じになるんだろう。,NONE,"ES2010c.A.argumentstructs.Erik.20, ES2010c.B.argumentstructs.Erik.16, ES2010c.C.argumentstructs.Erik.22"
ES2010c.A.argumentstructs.Erik.20,A,1390.08,1400.99,わかりました。レトロな電話のダイヤルのアイデアは気に入りました。中央のボタンに、もしかしたら私たちのロゴを入れたらどうですか？,ES2010c.C.argumentstructs.Erik.15,"ES2010c.A.argumentstructs.Erik.21, ES2010c.D.argumentstructs.Erik.18"
ES2010c.C.argumentstructs.27,C,1391.17,1392.73,えーと。,NONE,NONE
ES2010c.A.argumentstructs.Erik.21,A,1402.13,1406.29,4方向スクロールもあるかもしれません。つまり、そうだね。,ES2010c.A.argumentstructs.Erik.20,NONE
ES2010c.D.argumentstructs.Erik.18,D,1404.4,1412.91,ええ、真ん中に大きなものがあれば何でもいいんです。昔の携帯電話のように、真ん中に金属片か絵か何かがあるんです。,ES2010c.A.argumentstructs.Erik.20,"ES2010c.A.argumentstructs.Erik.22, ES2010c.C.argumentstructs.Erik.17"
ES2010c.A.argumentstructs.Erik.22,A,1409.06,1409.38,うん。,ES2010c.D.argumentstructs.Erik.18,NONE
ES2010c.A.argumentstructs.36,A,1411.53,1418.93,うんうん。うん。,NONE,NONE
ES2010c.C.argumentstructs.Erik.17,C,1411.72,1421.37,まあ、私の問題は、それが大きすぎる場合です。なぜなら、円とボタンが真ん中にある場合、それはあなたの手よりも広くなるからです。,ES2010c.D.argumentstructs.Erik.18,ES2010c.C.argumentstructs.Erik.18
ES2010c.D.argumentstructs.Erik.19,D,1418.96,1419.76,ああ、それは本当ですね。,ES2010c.C.argumentstructs.Erik.18,NONE
ES2010c.C.argumentstructs.Erik.18,C,1421.37,1425.41,それで、ボタンが収まるほど小さすぎるのでしょうか?,ES2010c.C.argumentstructs.Erik.17,"ES2010c.D.argumentstructs.Erik.19, ES2010c.D.argumentstructs.Erik.20"
ES2010c.D.argumentstructs.Erik.20,D,1425.59,1426.18,いい指摘ですね。,ES2010c.C.argumentstructs.Erik.18,NONE
ES2010c.B.argumentstructs.Erik.16,B,1426.52,1441.76,あなたが見せてくれたサンプルの中には、側面にスクロール ボタンが付いているものがありましたが、これを手の形のように湾曲させて、側面にスクロール ボタンを付けると、特に便利になると思います。,ES2010c.C.argumentstructs.Erik.15,"ES2010c.A.argumentstructs.Erik.23, ES2010c.C.argumentstructs.Erik.19, ES2010c.A.argumentstructs.Erik.24, ES2010c.D.argumentstructs.Erik.21, ES2010c.C.argumentstructs.Erik.20"
ES2010c.A.argumentstructs.Erik.23,A,1431.28,1431.58,うん。,ES2010c.B.argumentstructs.Erik.16,NONE
ES2010c.C.argumentstructs.Erik.19,C,1431.56,1431.94,うん。,ES2010c.B.argumentstructs.Erik.16,NONE
ES2010c.A.argumentstructs.Erik.24,A,1439.06,1439.97,ああ、あなたの言いたいことは分かります。,ES2010c.B.argumentstructs.Erik.16,NONE
ES2010c.A.argumentstructs.37,A,1441.33,1441.9,そう思います。,NONE,NONE
ES2010c.D.argumentstructs.Erik.21,D,1442.37,1444.64,つまり、横にスクロール ボタンがあり、上部にボタンがあるということですか?,ES2010c.B.argumentstructs.Erik.16,"ES2010c.A.argumentstructs.Erik.25, ES2010c.D.argumentstructs.Erik.22"
ES2010c.A.argumentstructs.Erik.25,A,1443.46,1444.97,うん、それはいいね。わかった。,ES2010c.D.argumentstructs.Erik.21,NONE
