ae_id,speaker,start_time,end_time,sentence,source,targets
ES2011b.C.argumentstructs.Erik.1,C,1117.7,1139.01,はい。それで、やってみましょう。ボタンの数を減らすだけで、それほど難しくないと思います。メニューボタンが 1 つだけあれば、T_V_ に表示されるオプションをスクロールするだけで済みます。,NONE,"ES2011b.A.argumentstructs.Erik.1, ES2011b.D.argumentstructs.Erik.1, ES2011b.D.argumentstructs.Erik.4"
ES2011b.B.argumentstructs.2,B,1117.83,1148.1,うんうん。うんうん。,NONE,NONE
ES2011b.A.argumentstructs.Erik.1,A,1127.64,1128.03,うん。,ES2011b.C.argumentstructs.Erik.1,NONE
ES2011b.A.argumentstructs.6,A,1136.63,1148.51,うん。S ふーん。,NONE,NONE
ES2011b.D.argumentstructs.Erik.1,D,1137.78,1154.83,そうですね、確かに、うーん、チャンネルを設計するだけでいいと思います。つまり、電源は単なるボタンで、それほど使用されませんし、通常は赤色なので、赤色のままにしておくのはかなりいいと思います。,ES2011b.C.argumentstructs.Erik.1,"ES2011b.C.argumentstructs.Erik.2, ES2011b.A.argumentstructs.Erik.2"
ES2011b.C.argumentstructs.Erik.2,C,1147.54,1147.99,うん。,ES2011b.D.argumentstructs.Erik.1,NONE
ES2011b.C.argumentstructs.7,C,1150.07,1154.63,うん。うん。うん。,NONE,NONE
ES2011b.A.argumentstructs.Erik.2,A,1154.98,1167.584,リモコンの中には、1つだけ押すと他のボタンとは色が違って電源が入るものがあるのを見たことがあります。つまり、実際には独立した電源ボタンがあるわけではなく、,ES2011b.D.argumentstructs.Erik.1,"ES2011b.D.argumentstructs.Erik.2, ES2011b.C.argumentstructs.Erik.3"
ES2011b.D.argumentstructs.Erik.2,D,1166.52,1168.02,ああ、そうか、そうだね。,ES2011b.A.argumentstructs.Erik.2,NONE
ES2011b.C.argumentstructs.Erik.3,C,1167.72,1182.52,でも、それは難しそうですね。つまり、あなたが知らない限り、そうですね。私ならおそらくそれを手に取って、えーと、なぜオンボタンがないのかと思うでしょう。そうですね。B そうですね。,ES2011b.A.argumentstructs.Erik.2,ES2011b.A.argumentstructs.Erik.3
ES2011b.A.argumentstructs.7,A,1168.44,1168.66,しかし,NONE,NONE
ES2011b.A.argumentstructs.Erik.3,A,1171.58,1173.35,混乱するかもしれませんね。そうですね。,ES2011b.C.argumentstructs.Erik.3,"ES2011b.A.argumentstructs.Erik.4, ES2011b.B.argumentstructs.Erik.1"
ES2011b.A.argumentstructs.8,A,1175.44,1176.02,うん。,NONE,NONE
ES2011b.A.argumentstructs.Erik.4,A,1177.27,1186.49,それに、電源を入れられるといいですね。私には電源があると思います。だから、電源ボタンと数字は絶対に必要です。そうですね。,ES2011b.A.argumentstructs.Erik.3,NONE
ES2011b.B.argumentstructs.Erik.1,B,1178.12,1181.36,ええ、何かを押さえつけようなんて考えたことないです。,ES2011b.A.argumentstructs.Erik.3,"ES2011b.D.argumentstructs.Erik.3, ES2011b.C.argumentstructs.Erik.4"
ES2011b.D.argumentstructs.Erik.3,D,1178.41,1178.99,うん。,ES2011b.B.argumentstructs.Erik.1,NONE
ES2011b.C.argumentstructs.Erik.4,C,1185.97,1186.45,うん。,ES2011b.B.argumentstructs.Erik.1,NONE
ES2011b.D.argumentstructs.Erik.4,D,1186.48,1210.272,ええと、iPodのやつも、えーっと、みんながこれを好むかどうかはわかりませんが、ボタンの数を減らしたいなら、1から9個ではなく、スクロールのようなものがあるといいと思います。ええ。iPodが発売されてから、人々はこのボタンがないのが気に入っているようです。,ES2011b.C.argumentstructs.Erik.1,"ES2011b.C.argumentstructs.Erik.5, ES2011b.D.argumentstructs.Erik.5, ES2011b.C.argumentstructs.Erik.6"
ES2011b.C.argumentstructs.Erik.5,C,1202.05,1205.63,ああ、ジョイスティックのフラットタッチみたいなものですね。,ES2011b.D.argumentstructs.Erik.4,NONE
ES2011b.D.argumentstructs.Erik.5,D,1211.98,1214.323,1、2、3、4、5がないことを知ってください,ES2011b.D.argumentstructs.Erik.4,NONE
ES2011b.C.argumentstructs.Erik.6,C,1212.93,1227.98,ええ、ええ。それは面白いアイデアだと思います。クールだし、面白いです。だって、私は iPod を持っていないんですが、先日友達の iPod をいじり始めたら、それを手に取って、使い方がすぐにわかるなんて面白いですね。そんなに難しくないですよね。,ES2011b.D.argumentstructs.Erik.4,"ES2011b.A.argumentstructs.Erik.5, ES2011b.D.argumentstructs.Erik.6"
ES2011b.A.argumentstructs.9,A,1214.72,1214.95,うーん。,NONE,NONE
ES2011b.A.argumentstructs.Erik.5,A,1227.65,1227.98,うん。,ES2011b.C.argumentstructs.Erik.6,NONE
ES2011b.D.argumentstructs.Erik.6,D,1227.99,1231.27,そうです、そうです、すべてが揃ったものなのです。,ES2011b.C.argumentstructs.Erik.6,NONE
