ae_id,speaker,start_time,end_time,sentence,source,targets
ES2012c.A.argumentstructs.Rutger.16,A,1026.37,1033.85,すみません、邪魔してもいいですか。えっと、DP オーケー、スライド コントロールについて何か言いたいことはありますか?,NONE,"ES2012c.A.argumentstructs.Rutger.17, ES2012c.A.argumentstructs.Rutger.23"
ES2012c.B.argumentstructs.31,B,1031.27,1037.2,うーん。,NONE,NONE
ES2012c.A.argumentstructs.Rutger.17,A,1033.85,1040.01,つまり、誰もがプッシュボタンを使用する理由は、それが非常にシンプルで、安価で、信頼性が高いからだと思います。,ES2012c.A.argumentstructs.Rutger.16,"ES2012c.B.argumentstructs.Rutger.7, ES2012c.C.argumentstructs.Rutger.12"
ES2012c.B.argumentstructs.Rutger.7,B,1038.66,1048.68,ええ、実際はほぼ同じコストだと思います。つまり、世の中にはスライド ボタンがたくさんあるということだと思います。接続方法もほぼ同じだと思います。ええ、そうですね。,ES2012c.A.argumentstructs.Rutger.17,NONE
ES2012c.A.argumentstructs.54,A,1046.97,1048.68,はい、結構です、結構です。,NONE,NONE
ES2012c.C.argumentstructs.Rutger.12,C,1049.75,1062.85,たとえば、マウスを使用する場合、マウスを上下にスライドさせたいので、音量についても、マウスを回転させて上下に動かすことができればよいと考えました。これが私のすばらしい小さな絵です。,ES2012c.A.argumentstructs.Rutger.17,"ES2012c.A.argumentstructs.Rutger.18, ES2012c.A.argumentstructs.Rutger.19, ES2012c.A.argumentstructs.Rutger.22"
ES2012c.A.argumentstructs.Rutger.18,A,1054.58,1060.45,うん。よかった、よかった。うん。,ES2012c.C.argumentstructs.Rutger.12,NONE
ES2012c.A.argumentstructs.Rutger.19,A,1061.7,1067.04,スライダーには3つのボタンがあります。3つのボタン、チャンネルアップ、チャンネルアップダウン、そして,ES2012c.C.argumentstructs.Rutger.12,"ES2012c.C.argumentstructs.Rutger.13, ES2012c.D.argumentstructs.Rutger.5"
ES2012c.C.argumentstructs.Rutger.13,C,1065.41,1066.84,はい、はい。,ES2012c.A.argumentstructs.Rutger.19,NONE
ES2012c.D.argumentstructs.Rutger.5,D,1065.75,1086.79,そうですね、もし上下のチャンネルがあれば、そこにもスライダーをつけることができます。というのも、このスライダーは、1 単位ほど上に伸びる棒のようなものが付いていることに気付くと思います。つまり、1 単位ずつ上に伸びていき、その後、巻き上げ続けることができますが、歯車のようなもので、一度に 1 つずつ上げていくことになります。,ES2012c.A.argumentstructs.Rutger.19,"ES2012c.C.argumentstructs.Rutger.14, ES2012c.C.argumentstructs.Rutger.15"
ES2012c.C.argumentstructs.Rutger.14,C,1080.05,1080.4,うん。,ES2012c.D.argumentstructs.Rutger.5,NONE
ES2012c.B.argumentstructs.32,B,1080.49,1080.74,うーん。,NONE,NONE
