ae_id,speaker,start_time,end_time,sentence,source,targets
ES2012c.D.argumentstructs.Rutger.21,D,1757.71,1768.32,えーっと、突然気づいたんですが、チャンネルを変えるのがどれだけ便利になるかについて話し合っているんですが、それでもまだ指示するだけでいいんです。つまり、私たちは音声機能から離れ始めているのでしょうか?,NONE,"ES2012c.A.argumentstructs.Rutger.35, ES2012c.C.argumentstructs.Rutger.30, ES2012c.A.argumentstructs.Rutger.36"
ES2012c.C.argumentstructs.48,C,1771.18,1772.73,そうそう。,NONE,NONE
ES2012c.B.argumentstructs.41,B,1771.55,1773.43,うん。,NONE,NONE
ES2012c.A.argumentstructs.Rutger.35,A,1773.95,1774.85,それは非常に良い点です。,ES2012c.D.argumentstructs.Rutger.21,NONE
ES2012c.C.argumentstructs.Rutger.30,C,1775.06,1776.47,それは非常に良い点です。,ES2012c.D.argumentstructs.Rutger.21,ES2012c.B.argumentstructs.Rutger.21
ES2012c.B.argumentstructs.Rutger.21,B,1775.3,1775.61,うん。,ES2012c.C.argumentstructs.Rutger.30,NONE
ES2012c.A.argumentstructs.Rutger.36,A,1776.61,1790.68,我々は実際に両方のルートを取ることに決めたと思います。つまり、手動コントロールが必要であり、その形式であるべきだということですが、,ES2012c.D.argumentstructs.Rutger.21,"ES2012c.B.argumentstructs.Rutger.22, ES2012c.C.argumentstructs.Rutger.31, ES2012c.B.argumentstructs.Rutger.23, ES2012c.A.argumentstructs.Rutger.41"
ES2012c.B.argumentstructs.Rutger.22,B,1781.64,1782.72,ええ、ええ。,ES2012c.A.argumentstructs.Rutger.36,NONE
ES2012c.C.argumentstructs.Rutger.31,C,1781.76,1782.28,うん。,ES2012c.A.argumentstructs.Rutger.36,NONE
ES2012c.C.argumentstructs.49,C,1788.66,1789.02,うん。,NONE,NONE
ES2012c.B.argumentstructs.Rutger.23,B,1790.0,1799.84,でも、この形は声を出すのにも向いているんですよ。持って触ったりもするし、このように持ち上げてマイクのような感じにすることもできるんです。,ES2012c.A.argumentstructs.Rutger.36,"ES2012c.A.argumentstructs.Rutger.37, ES2012c.D.argumentstructs.Rutger.22, ES2012c.B.argumentstructs.Rutger.25"
ES2012c.A.argumentstructs.61,A,1790.68,1790.68,。,NONE,NONE
ES2012c.A.argumentstructs.Rutger.37,A,1795.46,1798.79,それからそれを口に持っていって、ただ話しかけるだけです、「はい、はい」。,ES2012c.B.argumentstructs.Rutger.23,ES2012c.C.argumentstructs.Rutger.32
ES2012c.C.argumentstructs.Rutger.32,C,1796.96,1798.061,そうだね、ただ言って,ES2012c.A.argumentstructs.Rutger.37,NONE
ES2012c.D.argumentstructs.Rutger.22,D,1799.15,1806.8,そうですね、あまり頻繁に使用しないボタンを省略して、それを音声に組み込むこともできるかもしれません。,ES2012c.B.argumentstructs.Rutger.23,"ES2012c.B.argumentstructs.Rutger.24, ES2012c.A.argumentstructs.Rutger.38, ES2012c.A.argumentstructs.Rutger.39"
ES2012c.B.argumentstructs.Rutger.24,B,1805.06,1805.6,うーん。,ES2012c.D.argumentstructs.Rutger.22,NONE
