ae_id,speaker,start_time,end_time,sentence,source,targets
ES2014b.D.argumentstructs.Rutger.3,D,1287.25,1299.63,また、音声認識を使ってリモコンを部屋の中で失くしてしまった場合に、チャンネルを変えるために音声認識を使うのではなく、リモコンを見つける方法として音声認識を使うことも考えられます。,NONE,"ES2014b.D.argumentstructs.Rutger.4, ES2014b.C.argumentstructs.Rutger.9, ES2014b.A.argumentstructs.Rutger.8, ES2014b.B.argumentstructs.Rutger.6, ES2014b.B.argumentstructs.Rutger.8, ES2014b.A.argumentstructs.Rutger.13"
ES2014b.D.argumentstructs.Rutger.4,D,1299.63,1310.28,テレビが音を立てて、独り言を言ってチャンネルを変えてしまう可能性があるという問題があります。はい、スライドショーはこれで終わりです。以上です。よかった。,ES2014b.D.argumentstructs.Rutger.3,NONE
ES2014b.B.argumentstructs.19,B,1304.85,1333.5,うーん。いや、私が思うのは、うーん,NONE,NONE
ES2014b.C.argumentstructs.Rutger.9,C,1311.52,1312.765,たくさんやってください,ES2014b.D.argumentstructs.Rutger.3,NONE
ES2014b.A.argumentstructs.Rutger.8,A,1311.57,1320.21,最後の部分は何でしたっけ？音声認識ですね。でもそれは、それを好む若者向けだけで、年配の人は好みませんでした。,ES2014b.D.argumentstructs.Rutger.3,ES2014b.D.argumentstructs.Rutger.5
ES2014b.D.argumentstructs.Rutger.5,D,1313.4,1316.51,えっと、音声認識についてですか？はい。,ES2014b.A.argumentstructs.Rutger.8,ES2014b.D.argumentstructs.Rutger.6
ES2014b.D.argumentstructs.Rutger.6,D,1320.02,1331.6,若い人たちは、そういう可能性を提供するリモコンに興味があると言っていましたが、年齢層が上がるにつれて、話しかけられるリモコンへの興味はどんどん薄れていきました。,ES2014b.D.argumentstructs.Rutger.5,NONE
ES2014b.B.argumentstructs.Rutger.6,B,1334.92,1339.84,そのための技術はかなり進歩しているようで、結局は1250ドルの予算を超えることになるかもしれない。,ES2014b.D.argumentstructs.Rutger.3,"ES2014b.D.argumentstructs.Rutger.7, ES2014b.A.argumentstructs.Rutger.9"
ES2014b.D.argumentstructs.Rutger.7,D,1339.7,1340.94,ええ、ええ。,ES2014b.B.argumentstructs.Rutger.6,NONE
ES2014b.A.argumentstructs.Rutger.9,A,1340.05,1340.85,そうですね。,ES2014b.B.argumentstructs.Rutger.6,ES2014b.B.argumentstructs.Rutger.7
ES2014b.B.argumentstructs.Rutger.7,B,1340.37,1343.04,音声認識用です。うーん。,ES2014b.A.argumentstructs.Rutger.9,ES2014b.D.argumentstructs.Rutger.8
ES2014b.D.argumentstructs.Rutger.8,D,1342.15,1342.33,うん。,ES2014b.B.argumentstructs.Rutger.7,NONE
ES2014b.B.argumentstructs.Rutger.8,B,1344.12,1360.83,リモコンを紛失した場合の問題としては、携帯電話を紛失しても鳴らすことができるという点が考えられます。どこかにセンサーのようなものを置いて、その間にブザー システムのようなものを組み込むという方法もあります。常に 1 か所に置かれているボタンを押すと、リモコンが実際にどこにあるかに関係なく、別の場所にブザーが鳴るという仕組みです。,ES2014b.D.argumentstructs.Rutger.3,"ES2014b.B.argumentstructs.Rutger.9, ES2014b.C.argumentstructs.Rutger.10, ES2014b.B.argumentstructs.Rutger.11, ES2014b.A.argumentstructs.Rutger.12"
ES2014b.D.argumentstructs.18,D,1354.07,1359.12,うん。ああ。うん。,NONE,NONE
ES2014b.D.argumentstructs.Rutger.9,D,1361.22,1367.744,そうですね、そうすると2つの製品を一緒に作らなければならなくなり、おそらく少し高価になるでしょうが、,NONE,NONE
ES2014b.B.argumentstructs.20,B,1364.82,1365.82,確かにそうですね。,NONE,NONE
ES2014b.B.argumentstructs.Rutger.9,B,1367.02,1367.26,ふーむ。,ES2014b.B.argumentstructs.Rutger.8,NONE
ES2014b.C.argumentstructs.Rutger.10,C,1367.88,1375.87,口笛を吹いたり、手を叩いたりするキーホルダーがあります。何だったか覚えていませんが、するとキーホルダーも口笛を吹き返したり、そんな感じのものが付いていました。たぶんとても簡単で、安いです。,ES2014b.B.argumentstructs.Rutger.8,"ES2014b.D.argumentstructs.Rutger.10, ES2014b.A.argumentstructs.Rutger.10"
ES2014b.D.argumentstructs.Rutger.10,D,1371.64,1371.98,うん。,ES2014b.C.argumentstructs.Rutger.10,NONE
ES2014b.A.argumentstructs.Rutger.10,A,1373.97,1374.84,合理的ですね。,ES2014b.C.argumentstructs.Rutger.10,ES2014b.D.argumentstructs.Rutger.11
ES2014b.D.argumentstructs.Rutger.11,D,1374.1,1374.35,うん。,ES2014b.A.argumentstructs.Rutger.10,NONE
