ae_id,speaker,start_time,end_time,sentence,source,targets
ES2016d.D.argumentstructs.25,D,596.89,600.44,はい、4番目です。,NONE,NONE
ES2016d.D.argumentstructs.Rutger.8,D,600.44,604.81,リモコンが簡単に紛失してしまうという問題についてはどうでしょうか? 一番多い苦情の 1 つです。,NONE,"ES2016d.B.argumentstructs.Rutger.9, ES2016d.A.argumentstructs.Rutger.11, ES2016d.C.argumentstructs.Rutger.11, ES2016d.A.argumentstructs.Rutger.12, ES2016d.C.argumentstructs.Rutger.12, ES2016d.A.argumentstructs.Rutger.14, ES2016d.A.argumentstructs.Rutger.15, ES2016d.B.argumentstructs.Rutger.11"
ES2016d.B.argumentstructs.Rutger.9,B,604.16,606.95,あんなに大きくて黄色いものはもう失くすことはありません。,ES2016d.D.argumentstructs.Rutger.8,"ES2016d.C.argumentstructs.Rutger.7, ES2016d.C.argumentstructs.Rutger.8, ES2016d.D.argumentstructs.Rutger.9"
ES2016d.C.argumentstructs.Rutger.7,C,606.76,610.23,そうです。明るい黄色です。明るい黄色はなかなか落ちません。,ES2016d.B.argumentstructs.Rutger.9,NONE
ES2016d.D.argumentstructs.Rutger.9,D,607.46,610.35,望むと望まざるとにかかわらず、それを失うことはありません。,ES2016d.B.argumentstructs.Rutger.9,NONE
ES2016d.C.argumentstructs.Rutger.8,C,610.23,620.25,しかし、もし音声認識機能があれば、それを検索するためだけに使うこともできるかもしれません。それが私たちが言及していたことです。,ES2016d.B.argumentstructs.Rutger.9,NONE
ES2016d.A.argumentstructs.Rutger.11,A,619.85,623.722,音声認識を組み込めば,ES2016d.D.argumentstructs.Rutger.8,"ES2016d.C.argumentstructs.Rutger.9, ES2016d.C.argumentstructs.Rutger.10"
ES2016d.C.argumentstructs.Rutger.9,C,622.98,625.12,ただ使うため、紛失したときに見つけるため,ES2016d.A.argumentstructs.Rutger.11,NONE
ES2016d.C.argumentstructs.Rutger.10,C,625.12,629.06,でも、言ったように、こんなに黄色いものをそんなに簡単に失くすとは思えないんです。,ES2016d.A.argumentstructs.Rutger.11,NONE
ES2016d.C.argumentstructs.Rutger.11,C,629.06,634.224,長方形が後ろに滑り落ちるようには落ちません。これは難しい形です,ES2016d.D.argumentstructs.Rutger.8,NONE
ES2016d.A.argumentstructs.Rutger.12,A,635.65,637.493,そしてとても明るくて,ES2016d.D.argumentstructs.Rutger.8,NONE
ES2016d.C.argumentstructs.Rutger.12,C,636.94,640.14,ええ。また真ん中、3つか4つくらいでしょうか？,ES2016d.D.argumentstructs.Rutger.8,"ES2016d.D.argumentstructs.Rutger.10, ES2016d.C.argumentstructs.Rutger.13"
ES2016d.B.argumentstructs.29,B,640.54,648.93,S うーん。,NONE,NONE
ES2016d.D.argumentstructs.Rutger.10,D,640.79,641.03,わかった。,ES2016d.C.argumentstructs.Rutger.12,NONE
ES2016d.A.argumentstructs.33,A,640.91,641.34,えー,NONE,NONE
ES2016d.C.argumentstructs.Rutger.13,C,641.75,648.21,つまり、物を失くすというのは、人が失くす可能性のあるものの 1 つであり、その方法は 100 万通りあります。拾って持ち去ったとしても、その後は失くしてしまうのです。,ES2016d.C.argumentstructs.Rutger.12,"ES2016d.A.argumentstructs.Rutger.13, ES2016d.D.argumentstructs.Rutger.11"
ES2016d.A.argumentstructs.Rutger.13,A,645.16,645.47,うん。,ES2016d.C.argumentstructs.Rutger.13,NONE
ES2016d.D.argumentstructs.Rutger.11,D,648.34,648.79,それは本当だ。,ES2016d.C.argumentstructs.Rutger.13,NONE
ES2016d.A.argumentstructs.Rutger.14,A,649.76,654.77,しかし、音声認識を導入すれば、規模はかなり大きくなると思います。,ES2016d.D.argumentstructs.Rutger.8,"ES2016d.B.argumentstructs.Rutger.10, ES2016d.C.argumentstructs.Rutger.14"
ES2016d.D.argumentstructs.26,D,650.12,650.36,うーん。,NONE,NONE
ES2016d.B.argumentstructs.Rutger.10,B,654.29,656.512,ああ、そうか。おそらく,ES2016d.A.argumentstructs.Rutger.14,NONE
ES2016d.C.argumentstructs.Rutger.14,C,654.9,655.58,うん。,ES2016d.A.argumentstructs.Rutger.14,NONE
ES2016d.A.argumentstructs.Rutger.15,A,655.51,662.97,おそらく2つでしょう。紛失しないことを保証するのは不可能だという事実を除外すれば,ES2016d.D.argumentstructs.Rutger.8,"ES2016d.C.argumentstructs.Rutger.15, ES2016d.A.argumentstructs.Rutger.16"
ES2016d.C.argumentstructs.Rutger.15,C,662.37,662.79,うん。,ES2016d.A.argumentstructs.Rutger.15,NONE
