ae_id,speaker,start_time,end_time,sentence,source,targets
ES2016d.D.argumentstructs.Rutger.15,D,753.15,756.36,わかりました。私たちは技術的に革新的でしょうか？,NONE,"ES2016d.C.argumentstructs.Rutger.24, ES2016d.B.argumentstructs.Rutger.20, ES2016d.D.argumentstructs.Rutger.17, ES2016d.D.argumentstructs.Rutger.18, ES2016d.A.argumentstructs.Rutger.25, ES2016d.D.argumentstructs.Rutger.21, ES2016d.B.argumentstructs.Rutger.24, ES2016d.B.argumentstructs.Rutger.26"
ES2016d.B.argumentstructs.34,B,758.64,759.11,えー,NONE,NONE
ES2016d.C.argumentstructs.Rutger.24,C,759.067,765.62,そうだと思います。画面がオンになっているリモコンはあまりありません。,ES2016d.D.argumentstructs.Rutger.15,NONE
ES2016d.B.argumentstructs.Rutger.20,B,759.872,775.62,結局のところ、それはすべて盗まれた技術にすぎません。,ES2016d.D.argumentstructs.Rutger.15,"ES2016d.C.argumentstructs.Rutger.25, ES2016d.D.argumentstructs.Rutger.16"
ES2016d.C.argumentstructs.Rutger.25,C,766.91,769.36,ええ、それは盗まれた技術です。しかし、私たちは持っています。,ES2016d.B.argumentstructs.Rutger.20,NONE
ES2016d.D.argumentstructs.Rutger.16,D,766.96,768.939,iPodからですね。,ES2016d.B.argumentstructs.Rutger.20,ES2016d.A.argumentstructs.Rutger.23
ES2016d.A.argumentstructs.Rutger.23,A,767.82,776.38,でも、黄色はそんなに多くないんです。黄色があまりないんです。もちろん、私たちはその色を取らざるを得なかったわけではないんです。,ES2016d.D.argumentstructs.Rutger.16,NONE
ES2016d.D.argumentstructs.Rutger.17,D,770.17,771.97,しかし、リモコンの場合はそうです。,ES2016d.D.argumentstructs.Rutger.15,NONE
ES2016d.C.argumentstructs.33,C,773.51,773.67,ファ,NONE,NONE
ES2016d.D.argumentstructs.Rutger.18,D,777.79,779.27,2つ？3つ？,ES2016d.D.argumentstructs.Rutger.15,"ES2016d.C.argumentstructs.Rutger.26, ES2016d.A.argumentstructs.Rutger.24"
ES2016d.C.argumentstructs.Rutger.26,C,779.892,782.68,盗まれたからだよ。いや、そうじゃないかもしれない。,ES2016d.D.argumentstructs.Rutger.18,NONE
ES2016d.A.argumentstructs.Rutger.24,A,780.44,783.963,実を言うと、私たちがそこまで革新的かどうかは分かりません。,ES2016d.D.argumentstructs.Rutger.18,"ES2016d.B.argumentstructs.Rutger.21, ES2016d.D.argumentstructs.Rutger.19"
ES2016d.B.argumentstructs.Rutger.21,B,782.62,783.61,ええ、そうでもないです。,ES2016d.A.argumentstructs.Rutger.24,NONE
ES2016d.D.argumentstructs.Rutger.19,D,783.91,787.17,しかし、このようなリモコンはいくつありますか？それほど多くはありません,ES2016d.A.argumentstructs.Rutger.24,NONE
ES2016d.A.argumentstructs.Rutger.25,A,786.45,792.41,叫び声の要素を加えると、さらに上がります。,ES2016d.D.argumentstructs.Rutger.15,"ES2016d.A.argumentstructs.Rutger.26, ES2016d.B.argumentstructs.Rutger.22, ES2016d.D.argumentstructs.Rutger.20"
ES2016d.D.argumentstructs.29,D,787.17,787.17,。,NONE,NONE
ES2016d.B.argumentstructs.Rutger.22,B,791.98,792.45,右。,ES2016d.A.argumentstructs.Rutger.25,NONE
ES2016d.A.argumentstructs.Rutger.26,A,792.41,795.81,うーん、たぶん4つだと思います,ES2016d.A.argumentstructs.Rutger.25,NONE
ES2016d.A.argumentstructs.36,A,795.81,795.81,。,NONE,NONE
ES2016d.D.argumentstructs.Rutger.20,D,795.97,801.53,本当ですか？わかりました。それは私たちを傷つけることになります。わかりました。,ES2016d.A.argumentstructs.Rutger.25,NONE
ES2016d.D.argumentstructs.Rutger.21,D,801.53,803.26,えっと、スポンジ状の素材？,ES2016d.D.argumentstructs.Rutger.15,"ES2016d.B.argumentstructs.Rutger.23, ES2016d.A.argumentstructs.Rutger.27, ES2016d.C.argumentstructs.Rutger.27"
ES2016d.B.argumentstructs.Rutger.23,B,803.68,806.63,ええ、まあ、そういうことはあるんですよ、ある意味。,ES2016d.D.argumentstructs.Rutger.21,NONE
ES2016d.A.argumentstructs.Rutger.27,A,804.53,805.75,ええ、スポンジ状のものもございます。,ES2016d.D.argumentstructs.Rutger.21,NONE
ES2016d.C.argumentstructs.Rutger.27,C,805.16,808.77,はい、必要なだけだと思います。,ES2016d.D.argumentstructs.Rutger.21,ES2016d.D.argumentstructs.Rutger.22
ES2016d.D.argumentstructs.Rutger.22,D,811.59,811.99,そうだ。,ES2016d.C.argumentstructs.Rutger.27,NONE
ES2016d.B.argumentstructs.Rutger.24,B,812.74,815.21,それは1つではありません。1つで全部になります,ES2016d.D.argumentstructs.Rutger.15,"ES2016d.A.argumentstructs.Rutger.28, ES2016d.A.argumentstructs.Rutger.29, ES2016d.B.argumentstructs.Rutger.25"
ES2016d.A.argumentstructs.Rutger.28,A,813.92,814.34,いいえ。,ES2016d.B.argumentstructs.Rutger.24,NONE
ES2016d.A.argumentstructs.Rutger.29,A,815.38,822.59,そうです。なぜなら、この部分にはグリップと、おそらく背面の底部、つまり下側しか付いていないからです。,ES2016d.B.argumentstructs.Rutger.24,NONE
ES2016d.B.argumentstructs.Rutger.25,B,816.65,821.47,折ったり詰めたり。うん。,ES2016d.B.argumentstructs.Rutger.24,ES2016d.C.argumentstructs.Rutger.28
ES2016d.C.argumentstructs.Rutger.28,C,822.1,822.53,うん。,ES2016d.B.argumentstructs.Rutger.25,NONE
