ae_id,speaker,start_time,end_time,sentence,source,targets
IS1000c.D.argumentstructs.Rutger.1,D,994.18,1002.03,さて、1 つのポイントに戻って、ユーザーにキーをプログラミングさせるのはなぜですか? いくつかのキーですか?,NONE,"IS1000c.C.argumentstructs.Rutger.1, IS1000c.D.argumentstructs.Rutger.2, IS1000c.C.argumentstructs.Rutger.2, IS1000c.A.argumentstructs.Rutger.3"
IS1000c.A.argumentstructs.4,A,996.69,1026.2,2時35分に終わる予定。うーん。うーん。うーん。,NONE,NONE
IS1000c.C.argumentstructs.Rutger.1,C,1002.02,1003.52,はい、そうさせても構いません。,IS1000c.D.argumentstructs.Rutger.1,NONE
IS1000c.D.argumentstructs.Rutger.2,D,1003.25,1014.23,そして、それは私たちが望むものには難しすぎませんか？ R_C_ を使いやすくしたいかどうかはわかりませんが、それが妥協点です。,IS1000c.D.argumentstructs.Rutger.1,NONE
IS1000c.C.argumentstructs.Rutger.2,C,1012.87,1033.52,いいえ、しかし、それを与えるかどうかは、ユーザーがどれだけ努力できるかのような容易さに依存します。たとえば、特定の方法で保存したい場合、ユーザーに完全な自由を与えたい場合、またはいくつかの制約を維持して、その制約内でユーザーに使用させたい場合などです。,IS1000c.D.argumentstructs.Rutger.1,"IS1000c.D.argumentstructs.Rutger.3, IS1000c.A.argumentstructs.Rutger.2"
IS1000c.D.argumentstructs.Rutger.3,D,1016.42,1016.64,うん。,IS1000c.C.argumentstructs.Rutger.2,NONE
IS1000c.D.argumentstructs.6,D,1026.9,1033.02,ええ、ええ。,NONE,NONE
IS1000c.A.argumentstructs.Rutger.2,A,1029.17,1031.49,うん。うーん。,IS1000c.C.argumentstructs.Rutger.2,NONE
IS1000c.A.argumentstructs.Rutger.3,A,1033.0,1043.52,どちらの方法でもできると思います。カスタマイズせずに何もせずにすぐに使えるようにすることも、必要に応じてこれらの追加機能を使用するオプションを用意することもできます。,IS1000c.D.argumentstructs.Rutger.1,"IS1000c.D.argumentstructs.Rutger.4, IS1000c.B.argumentstructs.Rutger.1"
IS1000c.D.argumentstructs.Rutger.4,D,1037.06,1039.25,標準です。そうですね。,IS1000c.A.argumentstructs.Rutger.3,NONE
IS1000c.B.argumentstructs.Rutger.1,B,1043.02,1055.298,ええ、でも、でも、12ユーロ50セントでそれを実行できるかどうかわからないので、手伝ってもらえませんか。,IS1000c.A.argumentstructs.Rutger.3,IS1000c.D.argumentstructs.Rutger.5
IS1000c.D.argumentstructs.Rutger.5,D,1043.47,1043.79,うん。,IS1000c.B.argumentstructs.Rutger.1,NONE
IS1000c.A.argumentstructs.5,A,1054.69,1054.94,ふーむ。,NONE,NONE
IS1000c.C.argumentstructs.3,C,1055.81,1056.31,それで,NONE,NONE
