ae_id,speaker,start_time,end_time,sentence,source,targets
IS1000d.A.argumentstructs.Rutger.39,A,1417.15,1418.34,わかった。,NONE,NONE
IS1000d.A.argumentstructs.Rutger.40,A,1418.34,1419.22,使いやすさは？,NONE,"IS1000d.C.argumentstructs.Rutger.30, IS1000d.C.argumentstructs.Rutger.33"
IS1000d.D.argumentstructs.56,D,1420.16,1420.86,えー,NONE,NONE
IS1000d.C.argumentstructs.Rutger.30,C,1420.88,1426.96,最初のものは本当に標準的なものなので、祖母も含め誰でも使用できます。,IS1000d.A.argumentstructs.Rutger.40,"IS1000d.C.argumentstructs.Rutger.31, IS1000d.D.argumentstructs.Rutger.31, IS1000d.A.argumentstructs.Rutger.41, IS1000d.D.argumentstructs.Rutger.32, IS1000d.A.argumentstructs.Rutger.42"
IS1000d.A.argumentstructs.69,A,1423.41,1423.66,うーん。,NONE,NONE
IS1000d.D.argumentstructs.Rutger.31,D,1424.71,1425.84,彼はそれに慣れている,IS1000d.C.argumentstructs.Rutger.30,NONE
IS1000d.A.argumentstructs.Rutger.41,A,1425.97,1426.45,うん。,IS1000d.C.argumentstructs.Rutger.30,NONE
IS1000d.B.argumentstructs.46,B,1426.5,1445.32,うーん。,NONE,NONE
IS1000d.C.argumentstructs.Rutger.31,C,1426.96,1427.06,右 ？,IS1000d.C.argumentstructs.Rutger.30,NONE
IS1000d.D.argumentstructs.Rutger.32,D,1427.23,1428.77,彼らは実際それに慣れています。,IS1000d.C.argumentstructs.Rutger.30,NONE
IS1000d.A.argumentstructs.Rutger.42,A,1428.18,1431.1,はい。使いやすさではおそらく AA 2 です。,IS1000d.C.argumentstructs.Rutger.30,IS1000d.C.argumentstructs.Rutger.32
IS1000d.C.argumentstructs.Rutger.32,C,1430.77,1431.01,うん。,IS1000d.A.argumentstructs.Rutger.42,NONE
IS1000d.D.argumentstructs.57,D,1431.49,1433.3,ここでは,NONE,NONE
IS1000d.C.argumentstructs.Rutger.33,C,1433.8,1438.68,えーと、もう一つはかなり簡単ですけどね。,IS1000d.A.argumentstructs.Rutger.40,"IS1000d.D.argumentstructs.Rutger.33, IS1000d.D.argumentstructs.Rutger.34, IS1000d.A.argumentstructs.Rutger.43, IS1000d.A.argumentstructs.Rutger.44"
IS1000d.D.argumentstructs.Rutger.33,D,1439.49,1441.17,ええと、機能性はもっとあるのですが,IS1000d.C.argumentstructs.Rutger.33,NONE
IS1000d.D.argumentstructs.Rutger.34,D,1441.17,1445.95,ユーザーが実際にそれを学ぶ必要はないと思います。難しいことではありません,IS1000d.C.argumentstructs.Rutger.33,NONE
IS1000d.A.argumentstructs.Rutger.43,A,1443.09,1443.45,わかった。,IS1000d.C.argumentstructs.Rutger.33,NONE
IS1000d.A.argumentstructs.Rutger.44,A,1445.38,1447.67,だから、おそらく3か4です。,IS1000d.C.argumentstructs.Rutger.33,"IS1000d.D.argumentstructs.Rutger.35, IS1000d.C.argumentstructs.Rutger.34, IS1000d.C.argumentstructs.Rutger.35, IS1000d.D.argumentstructs.Rutger.39, IS1000d.A.argumentstructs.Rutger.46"
IS1000d.D.argumentstructs.Rutger.35,D,1447.65,1453.12,ええ、実際そうなると思います,IS1000d.A.argumentstructs.Rutger.44,NONE
IS1000d.C.argumentstructs.Rutger.34,C,1452.7,1458.09,一つは、ボタンの数の多さに人々が怖がるかもしれないということ。,IS1000d.A.argumentstructs.Rutger.44,IS1000d.D.argumentstructs.Rutger.36
IS1000d.A.argumentstructs.70,A,1458.29,1458.51,うーん。,NONE,NONE
IS1000d.D.argumentstructs.Rutger.36,D,1458.48,1459.88,うん、でも,IS1000d.C.argumentstructs.Rutger.34,NONE
