ae_id,speaker,start_time,end_time,sentence,source,targets
IS1001b.A.argumentstructs.Rutger.11,A,1590.48,1607.65,それで、終了する前に、リモコンのコントロールのo thの特性は何か、どのボタンが必要か、どの機能が必要かなどを定義します。,NONE,"IS1001b.A.argumentstructs.Rutger.12, IS1001b.A.argumentstructs.Rutger.14, IS1001b.A.argumentstructs.Rutger.20, IS1001b.A.argumentstructs.Rutger.27"
IS1001b.B.argumentstructs.35,B,1608.03,1609.75,資本。,NONE,NONE
IS1001b.A.argumentstructs.41,A,1611.86,1621.44,それで、マーケティングの専門家からそう思うのですが,NONE,NONE
IS1001b.A.argumentstructs.Rutger.12,A,1622.68,1640.08,重要な点は使いやすさです。非常にシンプルで、ほとんどのボタンは使用されず、頻繁に使用されるボタンは 10 % だけなので、非常にシンプルなものにする必要があると思います。その点については全員が同意すると思います。,IS1001b.A.argumentstructs.Rutger.11,IS1001b.B.argumentstructs.Rutger.11
IS1001b.B.argumentstructs.Rutger.11,B,1640.4,1643.42,まあ、それが単なるテレビのリモコンであれば、非常に簡単になるでしょう。,IS1001b.A.argumentstructs.Rutger.12,IS1001b.A.argumentstructs.Rutger.13
IS1001b.A.argumentstructs.Rutger.13,A,1643.89,1648.06,はい、わかりました。つまり、ここでの重要なポイントは単純です。,IS1001b.B.argumentstructs.Rutger.11,NONE
IS1001b.A.argumentstructs.42,A,1651.72,1660.04,ボタンが少なすぎて、チャンネル、音量調節、その他機能など何があるのでしょうか？,NONE,NONE
IS1001b.B.argumentstructs.36,B,1660.84,1665.64,まあ、できるだけシンプルにしたいならリモコンだけでいい。他には見当たらない機能だ,NONE,NONE
IS1001b.A.argumentstructs.Rutger.14,A,1661.22,1662.02,それに加えて？,IS1001b.A.argumentstructs.Rutger.11,"IS1001b.B.argumentstructs.Rutger.12, IS1001b.A.argumentstructs.Rutger.15, IS1001b.A.argumentstructs.Rutger.16"
IS1001b.B.argumentstructs.Rutger.12,B,1666.82,1667.07,本当に。,IS1001b.A.argumentstructs.Rutger.14,NONE
IS1001b.A.argumentstructs.Rutger.15,A,1666.95,1670.416,そうだね。テレビのオンオフを切り替えてみて,IS1001b.A.argumentstructs.Rutger.14,IS1001b.B.argumentstructs.Rutger.13
IS1001b.B.argumentstructs.Rutger.13,B,1671.24,1678.22,いや、テレビをつけっぱなしにして、広告収入が私たちに戻ってくるようにしたいんでしょう。とか。,IS1001b.A.argumentstructs.Rutger.15,NONE
IS1001b.A.argumentstructs.Rutger.16,A,1675.106,1684.62,はい、そうです。音量、ミュートボタン、そしてオン/オフボタン。,IS1001b.A.argumentstructs.Rutger.14,IS1001b.A.argumentstructs.Rutger.17
IS1001b.A.argumentstructs.Rutger.17,A,1686.13,1686.72,それで全部ですか？,IS1001b.A.argumentstructs.Rutger.16,IS1001b.C.argumentstructs.Rutger.11
IS1001b.C.argumentstructs.26,C,1692.28,1693.3,たくさんのザッピング。,NONE,NONE
IS1001b.D.argumentstructs.6,D,1693.57,1693.93,うんうん。,NONE,NONE
IS1001b.A.argumentstructs.43,A,1694.04,1694.23,うーん。,NONE,NONE
IS1001b.C.argumentstructs.Rutger.11,C,1694.71,1707.64,ちょっと見てみたところ、今ではかなり便利な機能が搭載されていて、ボタンがあるので、それを押すと、前のチャンネルが戻ってくるということがわかりました。,IS1001b.A.argumentstructs.Rutger.17,IS1001b.A.argumentstructs.Rutger.19
IS1001b.B.argumentstructs.Rutger.14,B,1702.86,1704.33,そうだね、思い出だよ。,NONE,NONE
IS1001b.A.argumentstructs.Rutger.19,A,1706.78,1713.58,はい。これはいいですね。これも含めることもできます。前のチャンネルボタン。,IS1001b.C.argumentstructs.Rutger.11,NONE
IS1001b.A.argumentstructs.Rutger.20,A,1713.58,1726.03,チャンネルボタン、前のチャンネルボタン、音量ボタン、ミュートボタン、そして従来のオンオフボタンがあります。,IS1001b.A.argumentstructs.Rutger.11,IS1001b.B.argumentstructs.Rutger.15
IS1001b.C.argumentstructs.27,C,1717.67,1726.28,うんうん。うんうん。うんうん。,NONE,NONE
IS1001b.B.argumentstructs.Rutger.15,B,1725.62,1728.34,そしてもちろん、チャンネル変更ボタンもあります。,IS1001b.A.argumentstructs.Rutger.20,"IS1001b.A.argumentstructs.Rutger.21, IS1001b.B.argumentstructs.Rutger.16"
IS1001b.A.argumentstructs.Rutger.21,A,1729.33,1730.91,うん。それについて話します、そう？,IS1001b.B.argumentstructs.Rutger.15,NONE
IS1001b.B.argumentstructs.Rutger.16,B,1730.08,1736.66,それをどうやって実装すればいいのでしょうか？数値のみの場合もあれば、増分になる場合もあります。,IS1001b.B.argumentstructs.Rutger.15,"IS1001b.A.argumentstructs.Rutger.22, IS1001b.B.argumentstructs.Rutger.18, IS1001b.A.argumentstructs.Rutger.24"
