ae_id,speaker,start_time,end_time,sentence,source,targets
IS1002b.B.argumentstructs.43,B,2165.52,2175.63,皆さんが、リモコンの使い勝手が悪くなる可能性があるという事実や、自分で紛失できないという事実に頑固に反対しない限り、,NONE,NONE
IS1002b.B.argumentstructs.Rutger.21,B,2177.33,2181.45,パワークレードルのようなものを検討してみるのも、やはり良い考えだと思います。,NONE,"IS1002b.A.argumentstructs.Rutger.30, IS1002b.C.argumentstructs.Rutger.20, IS1002b.B.argumentstructs.Rutger.22, IS1002b.A.argumentstructs.Rutger.31, IS1002b.D.argumentstructs.Rutger.31"
IS1002b.A.argumentstructs.Rutger.30,A,2180.64,2180.84,うん。,IS1002b.B.argumentstructs.Rutger.21,NONE
IS1002b.C.argumentstructs.Rutger.20,C,2182.69,2183.58,はい。,IS1002b.B.argumentstructs.Rutger.21,NONE
IS1002b.B.argumentstructs.Rutger.22,B,2183.2,2199.216,なぜなら、ある意味、私にとっては、それが欲しいと思うのとほとんど同じだと思うからです。なぜなら、テレビを見終わったときに、終わったらリモコンを探して元の場所に戻した方がいいとわかっているからです。多分、それが好きなのは一部の人だけでしょう。多くの人は,IS1002b.B.argumentstructs.Rutger.21,NONE
IS1002b.C.argumentstructs.29,C,2183.58,2183.58,。,NONE,NONE
IS1002b.A.argumentstructs.Rutger.31,A,2198.48,2218.29,リモコンもあります。あれは機能していたのを覚えています。これはしばらく行われていないと思いますが、時計として。ええ、リモコン時計はありますが、80年代のものだと思いますので、市場に出すのは簡単ではないかもしれませんが、テクノロジーが進歩して、今では製造コストが安くなっているかもしれません。私が知る限り、それらのものは安価だったかもしれません。,IS1002b.B.argumentstructs.Rutger.21,"IS1002b.D.argumentstructs.Rutger.30, IS1002b.B.argumentstructs.Rutger.24"
IS1002b.D.argumentstructs.Rutger.30,D,2198.64,2199.17,いやいや。,IS1002b.A.argumentstructs.Rutger.31,IS1002b.C.argumentstructs.Rutger.21
IS1002b.B.argumentstructs.Rutger.24,B,2205.35,2206.29,時計として？,IS1002b.A.argumentstructs.Rutger.31,IS1002b.B.argumentstructs.Rutger.25
IS1002b.B.argumentstructs.Rutger.25,B,2206.29,2206.67,ああ、そうだ。,IS1002b.B.argumentstructs.Rutger.24,NONE
IS1002b.C.argumentstructs.Rutger.21,C,2213.46,2214.99,はい、単純ではありません。,IS1002b.D.argumentstructs.Rutger.30,NONE
IS1002b.B.argumentstructs.44,B,2218.62,2218.87,うんうん。,NONE,NONE
IS1002b.D.argumentstructs.Rutger.31,D,2219.17,2249.33,あなたがそう言っていたときに考えたことの 1 つは、私たちのターゲット市場は、リモコンを紛失したり壊したりした人々であるということです。では、彼らはリモコンを何台購入したいと思っていますか? 彼らに、もう 1 つ買わなくても済むリモコンを販売することはできますか? このようなシステムやロケーターなどを使用して、人々がリモコンを紛失したり壊したりした経緯を考えてみましょう。これはどのように起こるのでしょうか?,IS1002b.B.argumentstructs.Rutger.21,"IS1002b.B.argumentstructs.Rutger.26, IS1002b.A.argumentstructs.Rutger.32, IS1002b.A.argumentstructs.Rutger.33"
IS1002b.B.argumentstructs.Rutger.26,B,2226.66,2227.63,私が言っていたのはそういうことです。,IS1002b.D.argumentstructs.Rutger.31,NONE
IS1002b.A.argumentstructs.56,A,2227.63,2240.28,切り刻まなきゃ。うーん。,NONE,NONE
IS1002b.C.argumentstructs.30,C,2240.31,2240.53,うん。,NONE,NONE
IS1002b.A.argumentstructs.Rutger.32,A,2249.61,2250.78,あなたが買う最後のリモコン。,IS1002b.D.argumentstructs.Rutger.31,IS1002b.D.argumentstructs.Rutger.32
IS1002b.D.argumentstructs.Rutger.32,D,2250.88,2259.08,そして、製品を設計します。おそらく、これがあなたが買う必要のある最後の製品であると識別できる製品のコンポーネントです。,IS1002b.A.argumentstructs.Rutger.32,NONE
IS1002b.A.argumentstructs.Rutger.33,A,2258.72,2277.94,まあ、もしそれを下げるなら、私たちはそれをする必要はありません。ロケーター機能を作るのは実際にはかなり高価になるかもしれないと私は思います。一方、実際にそれをパワークレードルに入れるだけなら、それほど高価ではないかもしれません。なぜなら、それは携帯電話で行われるだけだからです。私たちは、実際に同様の製品があり、そこから取り入れることでコストを削減できる可能性があると言いました。,IS1002b.D.argumentstructs.Rutger.31,"IS1002b.B.argumentstructs.Rutger.27, IS1002b.B.argumentstructs.Rutger.28"
IS1002b.B.argumentstructs.45,B,2258.9,2270.49,まさにその通り。ええ、本当です。,NONE,NONE
IS1002b.B.argumentstructs.Rutger.27,B,2271.81,2271.95,右。,IS1002b.A.argumentstructs.Rutger.33,NONE
IS1002b.B.argumentstructs.Rutger.28,B,2273.06,2275.6,そうですね。ロケーターは間違いなくもっと高価になります。,IS1002b.A.argumentstructs.Rutger.33,NONE
IS1002b.B.argumentstructs.46,B,2277.69,2277.96,うんうん。,NONE,NONE
