ae_id,speaker,start_time,end_time,sentence,source,targets
IS1005b.D.argumentstructs.Rutger.13,D,1982.38,1989.088,ええと、コントロールに時間を表示したり、,NONE,"IS1005b.A.argumentstructs.Rutger.9, IS1005b.A.argumentstructs.Rutger.13"
IS1005b.A.argumentstructs.Rutger.9,A,1987.72,1990.45,通常、それはすでにT_V_などで放送されています。,IS1005b.D.argumentstructs.Rutger.13,"IS1005b.C.argumentstructs.Rutger.6, IS1005b.B.argumentstructs.Rutger.10"
IS1005b.C.argumentstructs.Rutger.6,C,1990.11,1990.54,はい。,IS1005b.A.argumentstructs.Rutger.9,NONE
IS1005b.B.argumentstructs.19,B,1991.3,1996.06,ええ、でも私たちはすべてのテレビをコントロールしたいので、,NONE,NONE
IS1005b.B.argumentstructs.Rutger.10,B,1997.22,2003.45,そして、リモコンでタイミングを設定する価値はあるのではないでしょうか?,IS1005b.A.argumentstructs.Rutger.9,"IS1005b.A.argumentstructs.Rutger.10, IS1005b.B.argumentstructs.Rutger.11, IS1005b.A.argumentstructs.Rutger.11"
IS1005b.A.argumentstructs.Rutger.10,A,1997.41,1997.73,うん,IS1005b.B.argumentstructs.Rutger.10,NONE
IS1005b.A.argumentstructs.18,A,1997.73,2007.52,。 うん。,NONE,NONE
IS1005b.B.argumentstructs.Rutger.11,B,2004.52,2012.37,なぜなら、もしテレビが勝手にオンになったら、ご存知のとおり、タイマーがそこに存在するはずだからです。,IS1005b.B.argumentstructs.Rutger.10,NONE
IS1005b.C.argumentstructs.11,C,2005.01,2024.38,うーん。うーん。,NONE,NONE
IS1005b.A.argumentstructs.Rutger.11,A,2009.38,2023.25,そうですね。時間を追加する場合は、おそらくもっと大きなディスプレイか何かが必要になりますが、それは非常に便利ですか? つまり、ユーザーはリモコンに時間を表示したいのでしょうか?,IS1005b.B.argumentstructs.Rutger.10,IS1005b.A.argumentstructs.Rutger.12
IS1005b.A.argumentstructs.Rutger.12,A,2024.73,2026.52,これが疑問です。それは役に立つでしょうか？,IS1005b.A.argumentstructs.Rutger.11,IS1005b.D.argumentstructs.Rutger.14
IS1005b.D.argumentstructs.Rutger.14,D,2025.2,2028.6,おそらくそうではないでしょう。それは疑問であり、トレードオフです。,IS1005b.A.argumentstructs.Rutger.12,IS1005b.C.argumentstructs.Rutger.7
IS1005b.C.argumentstructs.Rutger.7,C,2026.34,2026.76,はい。,IS1005b.D.argumentstructs.Rutger.14,NONE
IS1005b.A.argumentstructs.Rutger.13,A,2027.86,2035.58,W 私の意見では、役に立つものだけを持つべきです。どうやら彼らはシンプルなものの方がよいと思っているようです。,IS1005b.D.argumentstructs.Rutger.13,"IS1005b.D.argumentstructs.Rutger.15, IS1005b.B.argumentstructs.Rutger.12, IS1005b.D.argumentstructs.Rutger.16, IS1005b.B.argumentstructs.Rutger.13, IS1005b.A.argumentstructs.Rutger.14"
IS1005b.D.argumentstructs.Rutger.15,D,2032.85,2033.26,そうだ。,IS1005b.A.argumentstructs.Rutger.13,NONE
IS1005b.B.argumentstructs.Rutger.12,B,2034.3,2034.8,ああ、そうだね。,IS1005b.A.argumentstructs.Rutger.13,NONE
IS1005b.D.argumentstructs.Rutger.16,D,2035.72,2036.55,はい、簡単です。,IS1005b.A.argumentstructs.Rutger.13,NONE
IS1005b.B.argumentstructs.Rutger.13,B,2036.27,2044.623,あなたはテレビをつけるタイミングのようなものを使ったことがありますか？,IS1005b.A.argumentstructs.Rutger.13,IS1005b.D.argumentstructs.Rutger.17
IS1005b.D.argumentstructs.Rutger.17,D,2043.56,2050.51,ええ、ええ、たまにです。でも時間の表示はよく使いますが,IS1005b.B.argumentstructs.Rutger.13,IS1005b.B.argumentstructs.Rutger.14
IS1005b.C.argumentstructs.12,C,2049.08,2049.33,うーん。,NONE,NONE
IS1005b.B.argumentstructs.Rutger.14,B,2049.65,2054.12,はい、でもリモコンの隅のディスプレイに常に表示することができます。,IS1005b.D.argumentstructs.Rutger.17,IS1005b.D.argumentstructs.Rutger.20
IS1005b.D.argumentstructs.24,D,2052.69,2053.05,うん。,NONE,NONE
IS1005b.D.argumentstructs.Rutger.20,D,2054.61,2059.03,はい、大丈夫です、その通りです。わかりました、時間ボタンはありません。わかりました。,IS1005b.B.argumentstructs.Rutger.14,NONE
IS1005b.A.argumentstructs.Rutger.14,A,2057.25,2058.87,時間がありません。,IS1005b.A.argumentstructs.Rutger.13,NONE
