ae_id,speaker,start_time,end_time,sentence,source,targets
IS1005c.A.argumentstructs.Rutger.9,A,1156.26,1179.44,ですから、他のことについて話す前に、これが重要なことだと私は思います。サイズはどうなるのでしょうか。なぜなら、その重さによって、機能などに使用する他のものが決まるからです。たとえば、L_C_D_ の場合、小型デバイスを選択した場合、このような AAA 画面は使用できません。,NONE,"IS1005c.B.argumentstructs.Rutger.10, IS1005c.B.argumentstructs.Rutger.11"
IS1005c.B.argumentstructs.Rutger.10,B,1158.256,1182.12,画面は大丈夫ですが、ボードが問題です。,IS1005c.A.argumentstructs.Rutger.9,NONE
IS1005c.B.argumentstructs.Rutger.11,B,1184.39,1188.7,さて、どのような形を想像しますか？ または、どのような形になるでしょうか？,IS1005c.A.argumentstructs.Rutger.9,"IS1005c.C.argumentstructs.Rutger.2, IS1005c.D.argumentstructs.Rutger.8, IS1005c.A.argumentstructs.Rutger.10"
IS1005c.C.argumentstructs.10,C,1187.57,1188.02,うーん。,NONE,NONE
IS1005c.C.argumentstructs.Rutger.2,C,1189.35,1252.21,大きいか小さいかは重要ではないと思います。重要なのは、簡単に手に収まることです。平均的なサイズで、重すぎないものがいいと思います。また、均一な形状ではなく、真ん中が少し薄い方が好みです。ジョイスティックのようなものです。ジョイスティックの中には、指や手のひらの形状を考慮して設計されているので、手に収まりやすいものもあります。一般的な形状はこんな感じです。7センチ×7センチは少し大きいと思います。7ではなく、5×10センチくらいがいいと思います。これが私の意見です。その方が使いやすいです。,IS1005c.B.argumentstructs.Rutger.11,"IS1005c.B.argumentstructs.Rutger.12, IS1005c.D.argumentstructs.Rutger.6"
IS1005c.B.argumentstructs.Rutger.12,B,1200.94,1242.12,うーん。わかりました。,IS1005c.C.argumentstructs.Rutger.2,NONE
IS1005c.D.argumentstructs.Rutger.6,D,1251.33,1252.4,同じエリアです。,IS1005c.C.argumentstructs.Rutger.2,"IS1005c.B.argumentstructs.Rutger.13, IS1005c.C.argumentstructs.Rutger.3, IS1005c.B.argumentstructs.Rutger.14"
IS1005c.B.argumentstructs.Rutger.13,B,1253.296,1254.39,わかった。,IS1005c.D.argumentstructs.Rutger.6,NONE
IS1005c.C.argumentstructs.Rutger.3,C,1253.61,1255.408,うん。,IS1005c.D.argumentstructs.Rutger.6,NONE
IS1005c.D.argumentstructs.Rutger.8,D,1253.88,1255.97,ボードを再設計してもらえますか?,IS1005c.B.argumentstructs.Rutger.11,IS1005c.B.argumentstructs.Rutger.15
IS1005c.B.argumentstructs.Rutger.14,B,1256.55,1259.195,5から10。まあ、それは,IS1005c.D.argumentstructs.Rutger.6,IS1005c.D.argumentstructs.Rutger.7
IS1005c.D.argumentstructs.Rutger.7,D,1258.12,1260.52,ああ、5センチ×10センチ,IS1005c.B.argumentstructs.Rutger.14,NONE
IS1005c.B.argumentstructs.Rutger.15,B,1260.5,1294.59,そうですね。実現可能だと思います。まず、どうやって実現するか？ボードを L_C_D_ の横、つまり下に置き、たとえば L_C_D_ を、手に持っているものとはまったく関係のないものにすることができます。何かを持っているとき、L_C_D_ がそのちょうど上になるようにする、といった具合です。でも、スポンジ状のものを 1 つのユニットにまとめましょう。5 から 10 個なら実現可能でしょう。,IS1005c.D.argumentstructs.Rutger.8,IS1005c.D.argumentstructs.Rutger.9
IS1005c.D.argumentstructs.11,D,1260.52,1260.52,。,NONE,NONE
IS1005c.D.argumentstructs.Rutger.9,D,1261.77,1261.91,うん。,IS1005c.B.argumentstructs.Rutger.15,NONE
IS1005c.C.argumentstructs.11,C,1274.81,1298.24,うんうん。うん。,NONE,NONE
IS1005c.A.argumentstructs.Rutger.10,A,1288.64,1298.25,ああ。可能であれば、L_C_D_ を小さくするのが一番簡単だと思います。,IS1005c.B.argumentstructs.Rutger.11,"IS1005c.B.argumentstructs.Rutger.16, IS1005c.A.argumentstructs.Rutger.11"
IS1005c.B.argumentstructs.Rutger.16,B,1300.52,1305.26,わかりました。5～10分なら可能だと思います。作りますよ。,IS1005c.A.argumentstructs.Rutger.10,NONE
IS1005c.A.argumentstructs.Rutger.11,A,1303.43,1306.34,わかりました。それで、私たちは小さな,IS1005c.A.argumentstructs.Rutger.10,IS1005c.C.argumentstructs.Rutger.4
IS1005c.C.argumentstructs.Rutger.4,C,1306.119,1313.59,それとも、わかりませんが、私たちはそれについて話し合っていないので、今は何か新しいものを発明したくないのです。,IS1005c.A.argumentstructs.Rutger.11,"IS1005c.C.argumentstructs.Rutger.5, IS1005c.C.argumentstructs.Rutger.6"
