ae_id,speaker,start_time,end_time,sentence,source,targets
IS1006b.D.argumentstructs.Daan.3,D,1148.3,1154.03,たとえば、チャンネル 25 に直接移動したい場合は、どうすればよいでしょうか。これでできますか?,NONE,"IS1006b.C.argumentstructs.Daan.1, IS1006b.A.argumentstructs.Daan.2, IS1006b.B.argumentstructs.Daan.5, IS1006b.D.argumentstructs.Daan.4"
IS1006b.B.argumentstructs.8,B,1154.56,1160.77,ええと、25です。うん。,NONE,NONE
IS1006b.D.argumentstructs.Daan.4,D,1155.68,1165.7,そうですね、例えば今、私はチャンネル 8 にいるとしましょう。ご存知のように、最近は何百ものチャンネルがあります。何百ものチャンネルがある場合、ただ次へ次へと進むのはそれほど簡単ではありません。そうでしょうか?,IS1006b.D.argumentstructs.Daan.3,IS1006b.B.argumentstructs.Daan.4
IS1006b.B.argumentstructs.Daan.4,B,1164.464,1184.35,実際、私は別の解決策を提案します。基本的に、4 つか 5 つのチャンネルだけを使用しますよね? そうです。つまり、使用するチャンネルが 1、2、3、5 であるようにテレビを設定します。そうすれば、25 チャンネルに切り替える必要は決してありません。,IS1006b.D.argumentstructs.Daan.4,IS1006b.D.argumentstructs.Daan.5
IS1006b.D.argumentstructs.Daan.5,D,1170.61,1201.296,ほとんどの人はそうします。実際、私が見たリモコンの1つでは、そうする代わりに、これらはチャンネル3、28、48、64で、次のボタンで切り替えたいチャンネルだと言うだけで済みます。,IS1006b.B.argumentstructs.Daan.4,NONE
IS1006b.A.argumentstructs.6,A,1200.8,1202.96,はい、同じ解決策だと思います。うーん。,NONE,NONE
IS1006b.C.argumentstructs.5,C,1201.86,1202.18,うん。,NONE,NONE
IS1006b.D.argumentstructs.10,D,1202.48,1202.75,B うん。,NONE,NONE
IS1006b.C.argumentstructs.Daan.1,C,1204.27,1213.399,しかし、L_C_D_ディスプレイも用意できます。数字ボタンを押すだけで、,IS1006b.D.argumentstructs.Daan.3,"IS1006b.D.argumentstructs.Daan.6, IS1006b.C.argumentstructs.Daan.2"
IS1006b.D.argumentstructs.Daan.6,D,1208.89,1226.54,チャンネル 25 に行ってください。プレゼンテーションで述べたように、人々は本当にザッピングが好きなのです。ですから、たとえ 4 つか 5 つのチャンネルしか見ていなかったとしても、100 のチャンネルからザッピングしたいと考えるのではないでしょうか。これは彼らが行う 1 つのやり方だからです。,IS1006b.C.argumentstructs.Daan.1,IS1006b.A.argumentstructs.Daan.3
IS1006b.B.argumentstructs.9,B,1219.81,1220.32,うんうん。,NONE,NONE
IS1006b.C.argumentstructs.6,C,1223.06,1236.97,うん。うん。うん。うん。うん。,NONE,NONE
IS1006b.A.argumentstructs.Daan.3,A,1226.0,1229.66,ええ、ZAPでは、次へ、次へ、次へ、次へだけです。,IS1006b.D.argumentstructs.Daan.6,IS1006b.B.argumentstructs.Daan.6
IS1006b.B.argumentstructs.Daan.6,B,1230.04,1236.26,うーん。ここにボタンがあります。次へ次へ。または、これを戻すこともできます。,IS1006b.A.argumentstructs.Daan.3,NONE
IS1006b.A.argumentstructs.7,A,1230.8,1231.13,うんうん。,NONE,NONE
IS1006b.C.argumentstructs.Daan.2,C,1238.36,1245.84,しかし、そうでなければ、数字に何か表示をつけて、2と5を押すだけでいいのです。,IS1006b.C.argumentstructs.Daan.1,NONE
IS1006b.C.argumentstructs.7,C,1246.98,1256.97,うん。うん。うん、うん。うん、うん。,NONE,NONE
IS1006b.A.argumentstructs.Daan.2,A,1247.33,1253.87,各ボタンに異なるモードを作って、モードをザッピングモードに変更したり、,IS1006b.D.argumentstructs.Daan.3,IS1006b.C.argumentstructs.Daan.3
IS1006b.A.argumentstructs.8,A,1255.29,1270.29,えっと、現在のちゃん うん。うん。,NONE,NONE
IS1006b.C.argumentstructs.Daan.3,C,1258.08,1269.73,はい、しかし、私たちは T_V_ リモコンのみに焦点を当てているので、T_V_ にもっと多くの機能を持たせることができます。ユニバーサルを目指すのであれば、各デバイスの機能を制限する必要があります。,IS1006b.A.argumentstructs.Daan.2,NONE
IS1006b.D.argumentstructs.11,D,1269.97,1270.35,わかった。,NONE,NONE
IS1006b.B.argumentstructs.Daan.5,B,1271.6,1279.89,本当に必要なら、例えば、チャンネル番号 25 に行ってから 64 に行く必要がある人が実際に何人いるかなど、調査を実施できますか?,IS1006b.D.argumentstructs.Daan.3,IS1006b.D.argumentstructs.Daan.7
IS1006b.D.argumentstructs.Daan.7,D,1281.09,1289.712,そうですね、おそらくそれを見てみるつもりです。私の部署にその専門家がいるかどうか確認してみます。,IS1006b.B.argumentstructs.Daan.5,NONE
IS1006b.B.argumentstructs.10,B,1285.56,1286.01,わかった。,NONE,NONE
