ae_id,speaker,start_time,end_time,sentence,source,targets
IS1008d.B.argumentstructs.Daan.1,B,266.28,280.112,スピーカーやマイクをどこに配置するかは指定していません。それは内部の回路基板の設計と、どれだけのスペースが残っているかによって決まります。,NONE,"IS1008d.A.argumentstructs.Daan.1, IS1008d.C.argumentstructs.Daan.1, IS1008d.A.argumentstructs.Daan.3"
IS1008d.C.argumentstructs.18,C,279.99,280.24,うん。,NONE,NONE
IS1008d.A.argumentstructs.Daan.1,A,281.35,286.27,マイクは上部、つまり真ん中、フリップの下にあると思います。,IS1008d.B.argumentstructs.Daan.1,IS1008d.A.argumentstructs.Daan.2
IS1008d.B.argumentstructs.20,B,283.97,287.01,はい、わかりました。ああ。,NONE,NONE
IS1008d.A.argumentstructs.Daan.2,A,288.04,295.341,だからそれは安全です、だからチップはチップ上にはありません、なぜならマイクが必要なからです,IS1008d.A.argumentstructs.Daan.1,IS1008d.B.argumentstructs.Daan.2
IS1008d.B.argumentstructs.Daan.2,B,294.87,297.15,いいえ、それは回路基板の設計によって異なります。,IS1008d.A.argumentstructs.Daan.2,NONE
IS1008d.C.argumentstructs.Daan.1,C,298.02,305.82,しかし、リモコンを閉じた状態でも音声で起動したい場合があるため、フリップの下にも置くべきではありません。,IS1008d.B.argumentstructs.Daan.1,NONE
IS1008d.A.argumentstructs.24,A,304.11,305.05,ああ、それは,NONE,NONE
IS1008d.A.argumentstructs.Daan.3,A,305.91,324.85,ええ、でも私の意見としては、フリップの下の方が良いと思います。いつでも話したいときに、話してから閉じることができるからです。でもフリップの上に置くと、技術的に実現可能ではないと思います。ほとんどの場合、話すと認識されてしまうからです。,IS1008d.B.argumentstructs.Daan.1,"IS1008d.C.argumentstructs.Daan.2, IS1008d.C.argumentstructs.Daan.4"
IS1008d.C.argumentstructs.Daan.2,C,324.72,338.66,しかし、すでにリモコンを手に持っている場合、音声を使用するにはフリップを開く必要があります。なぜ音声を使用するのでしょうか。手を使うだけではダメなのでしょうか。音声のポイントは、リモコンがそこに置いてあって、手を伸ばして拾うのが面倒な場合に、音声を使用できることです。,IS1008d.A.argumentstructs.Daan.3,IS1008d.B.argumentstructs.Daan.3
IS1008d.B.argumentstructs.Daan.3,B,338.28,343.93,たぶん、私はポップコーンのボウルに手を入れて、もう一方の手にはコカコーラのカップを持っているのでしょう。,IS1008d.C.argumentstructs.Daan.2,IS1008d.C.argumentstructs.Daan.3
IS1008d.C.argumentstructs.Daan.3,C,344.6,348.776,そうだね。そして、どちらも手放したくない。,IS1008d.B.argumentstructs.Daan.3,IS1008d.D.argumentstructs.Daan.1
IS1008d.D.argumentstructs.Daan.1,D,345.49,350.14,言いたくない。もっと大きな声で。うん。,IS1008d.C.argumentstructs.Daan.3,NONE
IS1008d.C.argumentstructs.Daan.4,C,350.13,352.93,つまり、裏側にある必要はなく、どこか横にあることも可能です。,IS1008d.A.argumentstructs.Daan.3,"IS1008d.A.argumentstructs.Daan.4, IS1008d.D.argumentstructs.Daan.2"
IS1008d.D.argumentstructs.Daan.2,D,352.21,353.25,サイドにも設置可能です。,IS1008d.C.argumentstructs.Daan.4,NONE
IS1008d.A.argumentstructs.Daan.4,A,352.87,355.35,そうですね、サイドはいいかもしれませんね。それはいいアイデアですね。,IS1008d.C.argumentstructs.Daan.4,NONE
IS1008d.C.argumentstructs.19,C,353.49,353.9,うん。,NONE,NONE
IS1008d.B.argumentstructs.21,B,354.97,355.41,うんうん。,NONE,NONE
