ae_id,speaker,start_time,end_time,sentence,source,targets
IS1009b.A.argumentstructs.Daan.5,A,1868.47,1903.71,そうですね、新しい携帯電話のアイデアがあるかもしれませんね。取り外し可能なプラスチックケースがついているので、ストライプ柄や蛍光ブルーなど、いろいろなものを選ぶことができます。各パッケージには、蛍光ブルーのケースがありますが、別の色やストライプ柄など、すでにパッケージに入っているものもあります。そして、もっと多くの色が欲しい人は、別途購入することもできます。,NONE,"IS1009b.D.argumentstructs.Daan.5, IS1009b.C.argumentstructs.Daan.5, IS1009b.D.argumentstructs.Daan.6"
IS1009b.D.argumentstructs.8,D,1873.63,1882.55,うん。そうだね。うん。,NONE,NONE
IS1009b.D.argumentstructs.Daan.5,D,1887.25,1888.8,ええ、確かにそれはいいアイデアですね。,IS1009b.A.argumentstructs.Daan.5,NONE
IS1009b.D.argumentstructs.9,D,1894.73,1911.12,うん。そうだね。うん。ああそうだね。,NONE,NONE
IS1009b.C.argumentstructs.8,C,1899.66,1899.95,ふーむ。,NONE,NONE
IS1009b.A.argumentstructs.11,A,1903.71,1906.5,そうですね。,NONE,NONE
IS1009b.C.argumentstructs.Daan.5,C,1904.62,1911.33,そうですね、携帯電話の場合、さまざまなカバーやデザインなどがあり、それを実現できます。,IS1009b.A.argumentstructs.Daan.5,IS1009b.A.argumentstructs.Daan.6
IS1009b.B.argumentstructs.5,B,1909.04,1909.29,はい。,NONE,NONE
IS1009b.A.argumentstructs.Daan.6,A,1909.27,1926.96,そうです。でも、もしみんなが蛍光ブルーやストライプ柄などに飽きたら、お店に行って数フランか数ユーロで、例えば他の2色が入っている別のパッケージを買うことができます。,IS1009b.C.argumentstructs.Daan.5,NONE
IS1009b.C.argumentstructs.9,C,1919.19,1919.42,うん。,NONE,NONE
IS1009b.D.argumentstructs.Daan.6,D,1922.28,1923.22,代替パッケージ。,IS1009b.A.argumentstructs.Daan.5,IS1009b.D.argumentstructs.Daan.7
IS1009b.D.argumentstructs.Daan.7,D,1926.34,1927.25,はい。わかりました。,IS1009b.D.argumentstructs.Daan.6,NONE
