ae_id,speaker,start_time,end_time,sentence,source,targets
IS1009b.D.argumentstructs.Daan.1,D,853.0,861.728,マーケティングの観点からは、これは良いことです。楽しい形です。予算にそれほど負担をかけないということですか？形は、ええと,NONE,"IS1009b.C.argumentstructs.Daan.1, IS1009b.A.argumentstructs.Daan.1, IS1009b.D.argumentstructs.Daan.2"
IS1009b.C.argumentstructs.Daan.1,C,854.88,858.06,うん、うん、うん、そして色も、違う色も、そして,IS1009b.D.argumentstructs.Daan.1,IS1009b.C.argumentstructs.Daan.2
IS1009b.A.argumentstructs.7,A,857.0,857.41,そうだね,NONE,NONE
IS1009b.B.argumentstructs.3,B,857.27,857.77,うんうん、色だね。,NONE,NONE
IS1009b.C.argumentstructs.Daan.2,C,860.09,865.779,いやいや、それはないと思いますよ、もしあなたがもっと欲しいなら、,IS1009b.C.argumentstructs.Daan.1,NONE
IS1009b.A.argumentstructs.Daan.1,A,864.37,867.48,基本的にはただ型を作るだけなんです。,IS1009b.D.argumentstructs.Daan.1,"IS1009b.C.argumentstructs.Daan.3, IS1009b.B.argumentstructs.Daan.1, IS1009b.A.argumentstructs.Daan.2"
IS1009b.C.argumentstructs.Daan.3,C,866.27,869.26,うんうん。形は同じだから問題ないよ。,IS1009b.A.argumentstructs.Daan.1,NONE
IS1009b.B.argumentstructs.Daan.1,B,867.14,868.06,はい、その通りです。,IS1009b.A.argumentstructs.Daan.1,NONE
IS1009b.A.argumentstructs.Daan.2,A,869.28,874.688,予算を考えると、1つの型を作る場合、それが正方形になるか、,IS1009b.A.argumentstructs.Daan.1,NONE
IS1009b.C.argumentstructs.6,C,871.8,872.32,うん。,NONE,NONE
IS1009b.D.argumentstructs.Daan.2,D,875.57,882.67,基本的に同じボタンを備えた同じマシンで、形状がいくつか異なるという可能性はあると思いますか?,IS1009b.D.argumentstructs.Daan.1,"IS1009b.C.argumentstructs.Daan.4, IS1009b.D.argumentstructs.Daan.3"
IS1009b.C.argumentstructs.Daan.4,C,883.0,885.7,ええ、それも可能ですよ。ええ、ええ。,IS1009b.D.argumentstructs.Daan.2,NONE
IS1009b.A.argumentstructs.8,A,883.57,884.05,ああ、そうだ。,NONE,NONE
IS1009b.D.argumentstructs.Daan.3,D,884.16,886.82,それは可能でしょうか？マーケティングに役立つかもしれないので。,IS1009b.D.argumentstructs.Daan.2,"IS1009b.A.argumentstructs.Daan.3, IS1009b.D.argumentstructs.Daan.4"
IS1009b.B.argumentstructs.4,B,884.66,885.05,はい。,NONE,NONE
IS1009b.A.argumentstructs.Daan.3,A,885.31,891.83,それについては予算を検討する必要があると思いますが、原則的にはそれは楽しいことだと思います。,IS1009b.D.argumentstructs.Daan.3,NONE
IS1009b.C.argumentstructs.7,C,891.2,900.28,ああ、ああ。そうだね。そうだね、子供向けにね、まさにそうだね。そうだね、そうだね。,NONE,NONE
IS1009b.D.argumentstructs.Daan.4,D,891.44,903.552,大人向けにはセクシーなものを用意し、子供向けにはどこかおかしいものや、小さな動物の形や小さな象の形のものを用意して、どこにあるのか覚えられるようにしたからです。,IS1009b.D.argumentstructs.Daan.3,"IS1009b.A.argumentstructs.Daan.4, IS1009b.B.argumentstructs.Daan.2"
IS1009b.A.argumentstructs.9,A,894.05,896.61,そうだね。子供にとっては馬鹿げているね。,NONE,NONE
IS1009b.A.argumentstructs.Daan.4,A,897.33,898.751,動物のように,IS1009b.D.argumentstructs.Daan.4,NONE
IS1009b.B.argumentstructs.Daan.2,B,898.13,899.696,人形のように、あるいは,IS1009b.D.argumentstructs.Daan.4,NONE
IS1009b.A.argumentstructs.10,A,899.65,900.04,うん。,NONE,NONE
