ae_id,speaker,start_time,end_time,sentence,source,targets
TS3003c.A.argumentstructs.Daan.2,A,955.54,979.27,エネルギー源については話せると思います。これは、制作費やイメージにかなり大きな影響を与えるからです。ですから、まずは予算内で運動エネルギーを導入できるかどうかを検討する必要があると思います。,NONE,TS3003c.C.argumentstructs.Daan.1
TS3003c.C.argumentstructs.Daan.1,C,977.98,997.67,はい、4つのオプションがあります。基本的な通常のバッテリーを使用できます。手動ダイナモ。ただし、これは実際のオプションではないと思います。テレビを見る前にスイングしたくないでしょう。太陽電池。ただし、すべての部屋が非常に明るいわけではないので、あまり良いオプションではありません。または、運動エネルギー。,TS3003c.A.argumentstructs.Daan.2,"TS3003c.D.argumentstructs.Daan.1, TS3003c.D.argumentstructs.Daan.4"
TS3003c.A.argumentstructs.15,A,990.66,1069.12,うん。いいえ。うん。わかった。うん。うん。えー,NONE,NONE
TS3003c.D.argumentstructs.Daan.1,D,1000.75,1004.242,では、運動エネルギーは具体的にどのように機能するのでしょうか？,TS3003c.C.argumentstructs.Daan.1,TS3003c.C.argumentstructs.Daan.2
TS3003c.C.argumentstructs.Daan.2,C,1003.6,1007.88,まあ、基本的にはリモコンを振ると電源が入ります。はい。,TS3003c.D.argumentstructs.Daan.1,NONE
TS3003c.D.argumentstructs.Daan.2,D,1005.16,1017.06,使ってみれば、ちゃんと動く。そうですね。まあ、個人的には、年配の人はリモコンを使う前に振るのが好きではないと思います。,NONE,TS3003c.C.argumentstructs.Daan.3
TS3003c.B.argumentstructs.6,B,1009.07,1009.4,いや。,NONE,NONE
TS3003c.C.argumentstructs.Daan.3,C,1016.48,1018.16,ええ、その通りです。,TS3003c.D.argumentstructs.Daan.2,NONE
TS3003c.D.argumentstructs.Daan.4,D,1019.23,1035.6,それに加えて、ドッキング ステーションが時代遅れになるだろうとおっしゃいました。ドッキング ステーションは、当社の製品の人気を高めるためのマーケティング課題の 1 つになると思います。,TS3003c.C.argumentstructs.Daan.1,"TS3003c.B.argumentstructs.Daan.1, TS3003c.B.argumentstructs.Daan.2, TS3003c.A.argumentstructs.Daan.3"
TS3003c.C.argumentstructs.6,C,1023.66,1023.76,おお。,NONE,NONE
TS3003c.B.argumentstructs.Daan.1,B,1038.0,1043.74,しかし、その機能は何ですか？ええ、バッテリーを充電するためのものです。,TS3003c.D.argumentstructs.Daan.4,TS3003c.D.argumentstructs.Daan.5
TS3003c.D.argumentstructs.15,D,1038.44,1040.07,ええと,NONE,NONE
TS3003c.D.argumentstructs.Daan.5,D,1044.23,1051.96,はい、電池を入れたり、紛失したリモコンを探す機能をそこに挿入したりできます。,TS3003c.B.argumentstructs.Daan.1,NONE
TS3003c.B.argumentstructs.7,B,1045.02,1045.41,Bb は,NONE,NONE
TS3003c.B.argumentstructs.Daan.2,B,1052.8,1073.328,わかりましたが、それほど多くの電力は消費しないと思います。小さなディスプレイなので、1つのバッテリーで6か月以上は動作すると思います。1つのバッテリーで十分だと思います。,TS3003c.D.argumentstructs.Daan.4,NONE
TS3003c.A.argumentstructs.Daan.3,A,1073.99,1091.57,ええと、お年寄りは何でもきちんと整頓しておきたがると思います。そして、リモコンが部屋のあちこちに散らばっているのは好まないと思います。だから、ドッキング ステーションがあれば、リモコンを置く場所が確保できるかもしれません。,TS3003c.D.argumentstructs.Daan.4,"TS3003c.D.argumentstructs.Daan.6, TS3003c.B.argumentstructs.Daan.3"
TS3003c.D.argumentstructs.Daan.6,D,1074.9,1077.292,それは本当だ。,TS3003c.A.argumentstructs.Daan.3,NONE
TS3003c.B.argumentstructs.8,B,1087.18,1087.63,わかった。,NONE,NONE
TS3003c.B.argumentstructs.Daan.3,B,1090.92,1092.03,うん。それは本当だよ。うん。,TS3003c.A.argumentstructs.Daan.3,NONE
