ae_id,speaker,start_time,end_time,sentence,source,targets
TS3004d.D.argumentstructs.Daan.1,D,788.75,794.5,ええ、一つ考えたことがあります。えーっと、ボタン？えーっと、今はどんな素材でできていますか？,NONE,"TS3004d.C.argumentstructs.Daan.4, TS3004d.B.argumentstructs.Daan.5, TS3004d.D.argumentstructs.Daan.2"
TS3004d.C.argumentstructs.Daan.4,C,794.43,798.278,うーん。いやいや、そうだ。ただの硬いプラスチック。だから,TS3004d.D.argumentstructs.Daan.1,NONE
TS3004d.B.argumentstructs.Daan.5,B,794.94,796.64,あなたの電話と同じ、硬いプラスチックです。,TS3004d.D.argumentstructs.Daan.1,NONE
TS3004d.D.argumentstructs.Daan.2,D,797.68,815.97,わかりました。数年間使用すると、ボタンの数字がスライドして消えてしまうことがあります。その場合、数字を下または上に書き込むことはできますか? それとも、ボタンをオンにするだけですか?,TS3004d.D.argumentstructs.Daan.1,"TS3004d.A.argumentstructs.Daan.5, TS3004d.B.argumentstructs.Daan.6, TS3004d.C.argumentstructs.Daan.5"
TS3004d.A.argumentstructs.Daan.5,A,798.53,801.28,いずれにしても、別の材料で作るには費用がかかりすぎます。,TS3004d.D.argumentstructs.Daan.2,NONE
TS3004d.B.argumentstructs.Daan.6,B,816.13,822.08,ボタンの上だけだと思います。上または下に配置すると、さらにスペースが必要になります。,TS3004d.D.argumentstructs.Daan.2,"TS3004d.D.argumentstructs.Daan.3, TS3004d.B.argumentstructs.Daan.7"
TS3004d.D.argumentstructs.Daan.3,D,821.47,823.58,そうですね。それは大きすぎる場所ですね。,TS3004d.B.argumentstructs.Daan.6,NONE
TS3004d.C.argumentstructs.12,C,825.18,825.72,そうだね、でも,NONE,NONE
TS3004d.D.argumentstructs.10,D,825.2,830.03,わかった、そのままにしておく。そのままにしておく。そう、そして私はほとんどの時間,NONE,NONE
TS3004d.B.argumentstructs.Daan.7,B,825.45,827.42,そのスペースは価値がないと思います。,TS3004d.B.argumentstructs.Daan.6,NONE
TS3004d.C.argumentstructs.Daan.5,C,827.72,831.65,ゴム製のボタンでは、この問題がより頻繁に発生すると思います。,TS3004d.D.argumentstructs.Daan.2,TS3004d.D.argumentstructs.Daan.4
TS3004d.D.argumentstructs.Daan.4,D,831.28,833.622,ええ、ゴムボタン付きです。はい、わかりました。,TS3004d.C.argumentstructs.Daan.5,NONE
TS3004d.D.argumentstructs.11,D,835.49,836.68,はい、いいですよ。,NONE,NONE
TS3004d.A.argumentstructs.12,A,836.46,838.34,はい？わかりました。,NONE,NONE
