ae_id,speaker,start_time,end_time,sentence,source,targets
TS3005d.C.argumentstructs.Daan.1,C,1511.1,1516.56,わかりました。つまり、単一のカーブは必要ありません。カーブが失われる可能性があります。,NONE,"TS3005d.D.argumentstructs.Daan.1, TS3005d.B.argumentstructs.Daan.1, TS3005d.C.argumentstructs.Daan.2, TS3005d.B.argumentstructs.Daan.3"
TS3005d.D.argumentstructs.13,D,1513.21,1514.48,しかし、,NONE,NONE
TS3005d.B.argumentstructs.10,B,1514.8,1516.92,いいえ、曲線は実際には,NONE,NONE
TS3005d.D.argumentstructs.Daan.1,D,1516.06,1517.47,曲がると四角になります。,TS3005d.C.argumentstructs.Daan.1,NONE
TS3005d.B.argumentstructs.Daan.1,B,1518.09,1522.559,いいえ、テーブルから立ち上がらないでしょう。,TS3005d.C.argumentstructs.Daan.1,NONE
TS3005d.C.argumentstructs.Daan.2,C,1521.67,1532.8,分かりました。はい、それは S カーブの SCR を意味します。カーブは次元にあります。これをフラットにすると、カーブがなくなり、カーブがなくなります。分かりました。,TS3005d.C.argumentstructs.Daan.1,TS3005d.D.argumentstructs.Daan.2
TS3005d.D.argumentstructs.Daan.2,D,1521.74,1523.72,それは単一の曲線を意味しますか?,TS3005d.C.argumentstructs.Daan.2,TS3005d.B.argumentstructs.Daan.2
TS3005d.B.argumentstructs.Daan.2,B,1523.78,1524.05,うん。,TS3005d.D.argumentstructs.Daan.2,NONE
TS3005d.D.argumentstructs.14,D,1527.44,1528.27,わかった。,NONE,NONE
TS3005d.B.argumentstructs.11,B,1528.55,1529.11,それで,NONE,NONE
TS3005d.B.argumentstructs.Daan.3,B,1530.4,1531.38,これって負けちゃうの？,TS3005d.C.argumentstructs.Daan.1,"TS3005d.D.argumentstructs.Daan.3, TS3005d.B.argumentstructs.Daan.4"
TS3005d.D.argumentstructs.Daan.3,D,1531.41,1534.15,ええ、でもそれはただ一つだけです。,TS3005d.B.argumentstructs.Daan.3,TS3005d.C.argumentstructs.Daan.3
TS3005d.B.argumentstructs.Daan.4,B,1534.44,1536.04,ええ、少しはできるかもしれません。,TS3005d.B.argumentstructs.Daan.3,NONE
TS3005d.C.argumentstructs.Daan.3,C,1534.6,1535.03,いいえ、2つです。,TS3005d.D.argumentstructs.Daan.3,TS3005d.D.argumentstructs.Daan.4
TS3005d.D.argumentstructs.Daan.4,D,1536.44,1536.84,誰も。,TS3005d.C.argumentstructs.Daan.3,NONE
