ae_id,speaker,start_time,end_time,sentence,source,targets
TS3006c.B.argumentstructs.Daan.6,B,1726.59,1730.031,ディスプレイにはどの色を付けたらいいでしょうか？,NONE,"TS3006c.D.argumentstructs.Daan.11, TS3006c.C.argumentstructs.Daan.16, TS3006c.B.argumentstructs.Daan.7, TS3006c.D.argumentstructs.Daan.13, TS3006c.C.argumentstructs.Daan.18"
TS3006c.A.argumentstructs.39,A,1731.32,1731.73,誰が ？,NONE,NONE
TS3006c.D.argumentstructs.Daan.11,D,1732.77,1753.73,つまり、ディスプレイの背景の色ですか？ ああ、60、66、5000色にしないといけないわけではないので、高すぎます。だから、ただの青いバックライトか何かにしましょう。緑は古すぎます。でも、青なら大丈夫です。J,TS3006c.B.argumentstructs.Daan.6,TS3006c.A.argumentstructs.Daan.17
TS3006c.B.argumentstructs.21,B,1734.44,1748.67,うん。うん。うん。うーん。うん。,NONE,NONE
TS3006c.A.argumentstructs.Daan.17,A,1737.75,1739.75,そして黄色か何かを使うことができます。,TS3006c.D.argumentstructs.Daan.11,NONE
TS3006c.A.argumentstructs.40,A,1744.52,1777.57,そうです。こんな感じです。色盲ですね。,NONE,NONE
TS3006c.C.argumentstructs.Daan.16,C,1752.56,1760.68,背景色と前景色のコントラストを高くすれば、,TS3006c.B.argumentstructs.Daan.6,TS3006c.C.argumentstructs.Daan.17
TS3006c.B.argumentstructs.Daan.7,B,1758.36,1761.55,ええ、たぶん白いバックライトでしょうか?,TS3006c.B.argumentstructs.Daan.6,TS3006c.D.argumentstructs.Daan.12
TS3006c.D.argumentstructs.32,D,1762.36,1763.61,バックライトは白く、暗いです。,NONE,NONE
TS3006c.B.argumentstructs.22,B,1764.24,1773.99,暗い文字、うん。うん。うん。,NONE,NONE
TS3006c.D.argumentstructs.Daan.12,D,1765.72,1775.09,ええ。目に見えるものなら何でも。明るい状況でテストした方がいいのは分かっています。つまり、わかりにくいので、わかりません。,TS3006c.B.argumentstructs.Daan.7,NONE
TS3006c.C.argumentstructs.Daan.17,C,1774.14,1777.38,また、色弱の人にも役立ちます。,TS3006c.C.argumentstructs.Daan.16,TS3006c.A.argumentstructs.Daan.18
TS3006c.D.argumentstructs.33,D,1777.94,1779.43,ええ、本当です。,NONE,NONE
TS3006c.A.argumentstructs.Daan.18,A,1778.7,1781.05,いいえ、ほとんどが赤と緑だと思います。,TS3006c.C.argumentstructs.Daan.17,NONE
TS3006c.D.argumentstructs.Daan.13,D,1781.4,1784.29,ボタンの色はどれにすべきでしょうか?,TS3006c.B.argumentstructs.Daan.6,"TS3006c.B.argumentstructs.Daan.8, TS3006c.D.argumentstructs.Daan.15"
TS3006c.B.argumentstructs.Daan.8,B,1785.52,1786.58,それは調整可能です。,TS3006c.D.argumentstructs.Daan.13,"TS3006c.D.argumentstructs.Daan.14, TS3006c.A.argumentstructs.Daan.19, TS3006c.B.argumentstructs.Daan.10"
TS3006c.A.argumentstructs.41,A,1787.75,1788.25,うわあ。,NONE,NONE
TS3006c.D.argumentstructs.Daan.14,D,1789.12,1789.94,なぜ調整可能か,TS3006c.B.argumentstructs.Daan.8,NONE
TS3006c.A.argumentstructs.Daan.19,A,1789.21,1790.42,すべてのボタン？,TS3006c.B.argumentstructs.Daan.8,TS3006c.B.argumentstructs.Daan.9
TS3006c.D.argumentstructs.34,D,1789.94,1792.3,？いいえ、ええ,NONE,NONE
TS3006c.B.argumentstructs.Daan.9,B,1790.55,1792.18,ええ？そうでもないかも。,TS3006c.A.argumentstructs.Daan.19,TS3006c.A.argumentstructs.Daan.20
TS3006c.A.argumentstructs.Daan.20,A,1791.51,1792.24,わかった。,TS3006c.B.argumentstructs.Daan.9,NONE
TS3006c.B.argumentstructs.Daan.10,B,1793.73,1796.09,そうすることで、もっとトレンディにしていくつもりです。,TS3006c.B.argumentstructs.Daan.8,TS3006c.B.argumentstructs.Daan.11
TS3006c.B.argumentstructs.Daan.11,B,1797.42,1799.914,それとも高すぎるでしょうか？,TS3006c.B.argumentstructs.Daan.10,NONE
TS3006c.D.argumentstructs.Daan.15,D,1797.56,1805.673,でも、色は必要ですよね？背景が濃い青だったら,TS3006c.D.argumentstructs.Daan.13,"TS3006c.A.argumentstructs.Daan.21, TS3006c.A.argumentstructs.Daan.22"
TS3006c.A.argumentstructs.42,A,1800.4,1801.97,それは難しい。,NONE,NONE
TS3006c.A.argumentstructs.Daan.21,A,1804.38,1804.89,青。,TS3006c.D.argumentstructs.Daan.15,NONE
TS3006c.A.argumentstructs.Daan.22,A,1805.98,1806.73,たぶん緑。,TS3006c.D.argumentstructs.Daan.15,NONE
TS3006c.C.argumentstructs.Daan.18,C,1806.96,1819.91,でも、背景を明るい色にしたくないですか？ そうすれば、全体がとても明るくなりますよね？ 皆さんにお見せした写真のように。 それらはすべて明るい赤、明るい赤、派手な感じでした。,TS3006c.B.argumentstructs.Daan.6,NONE
TS3006c.D.argumentstructs.35,D,1815.56,1821.23,うん？だから,NONE,NONE
TS3006c.A.argumentstructs.43,A,1817.83,1823.73,うん、派手。うん、ブー。,NONE,NONE
