ae_id,speaker,start_time,end_time,sentence,source,targets
TS3006c.A.argumentstructs.Daan.5,A,1177.59,1185.03,ええと、二重曲線の代わりに、一重曲線を採用します。そうすることで、一般の人々全員にもう少しアピールできるのです。,NONE,"TS3006c.C.argumentstructs.Daan.5, TS3006c.C.argumentstructs.Daan.5"
TS3006c.D.argumentstructs.27,D,1182.74,1183.15,だから,NONE,NONE
TS3006c.C.argumentstructs.Daan.5,C,1183.36,1186.26,これは、ええと、単一の曲線になりますか？,TS3006c.A.argumentstructs.Daan.5,TS3006c.D.argumentstructs.Daan.4
TS3006c.A.argumentstructs.32,A,1186.28,1192.46,うん。そうだね。あと。,NONE,NONE
TS3006c.D.argumentstructs.Daan.4,D,1186.45,1195.99,ええ、この次元には 1 つしかありません。このように。曲線かどうかはわかりません。ええ、では単一の曲線のままにしておきますね。,TS3006c.C.argumentstructs.Daan.5,"TS3006c.C.argumentstructs.Daan.6, TS3006c.A.argumentstructs.Daan.6"
TS3006c.C.argumentstructs.27,C,1189.75,1190.12,うん。,NONE,NONE
TS3006c.C.argumentstructs.Daan.6,C,1191.9,1194.11,ええ、その通りです。その通りです。,TS3006c.D.argumentstructs.Daan.4,NONE
TS3006c.A.argumentstructs.Daan.6,A,1195.94,1198.26,はい、それは選択肢の一つです。あなたがどう思うかは分かりません。,TS3006c.D.argumentstructs.Daan.4,TS3006c.C.argumentstructs.Daan.7
TS3006c.D.argumentstructs.28,D,1198.6,1219.19,うん。うん。うん。,NONE,NONE
TS3006c.C.argumentstructs.Daan.7,C,1198.88,1221.251,私たちの目標は何か違うものを作ることだと思います。新しいものを作ることです。私はダブルカーブを選びます。そして、親指の形をした描画パレットを考えています。それで、それはうまく保持されます。まあ、これは本当にあなたの決定ですが,TS3006c.A.argumentstructs.Daan.6,"TS3006c.A.argumentstructs.Daan.7, TS3006c.B.argumentstructs.Daan.3"
TS3006c.A.argumentstructs.33,A,1205.03,1207.09,うん。わかりました。,NONE,NONE
TS3006c.A.argumentstructs.Daan.7,A,1208.12,1208.95,はい、同意します。,TS3006c.C.argumentstructs.Daan.7,NONE
TS3006c.A.argumentstructs.34,A,1213.91,1214.36,うんうん。,NONE,NONE
TS3006c.B.argumentstructs.Daan.3,B,1218.33,1233.0,そうですが、もっとカーブさせれば、ボタンのオプションをもっと増やすことができます。手に持った場合、ボタンを押すのに 1 つの次元だけでなく、他の次元も使用できます。,TS3006c.C.argumentstructs.Daan.7,NONE
